,rxns_added
0,EX_asp__L_e: asp__L_e <=> 
1,ASPte: asp__L_c --> asp__L_e
2,EX_g6p_e: g6p_e <=> 
3,H2Ot: h2o_e <=> h2o_c
4,CELASE2: cell6_c + 2.0 h2o_c --> 3.0 cellb_c
5,EX_f6p_e: f6p_e <=> 
6,H2Ot: h2o_e <=> h2o_c
7,CELASE2: cell6_c + 2.0 h2o_c --> 3.0 cellb_c
8,EX_asn__L_e: asn__L_e <=> 
9,r2532: asn__L_e --> asn__L_c
10,EX_ile__L_e: ile__L_e <=> 
11,PETHMT_c: amet_c + ethamp_c --> ahcys_c + h_c + methamp_c
12,PLIPA1E160: h2o_c + pe160_c --> 2agpe160_c + h_c + hdca_c
13,CYSTS: hcys__L_c + ser__L_c --> cyst__L_c + h2o_c
14,HXCT: accoa_c + hxa_c --> ac_c + hxcoa_c
15,AGPATCOA_HDE_HDE_c: 1hdec9eg3p_c + hdcoa_c --> coa_c + pa161_c
16,G3PAT141: glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c
17,ERTHMMOR: nad_c + r3mmal_c --> 2obut_c + co2_c + nadh_c
18,DSMSTOLR: dsmsterol_c + h_c + nadph_c --> chsterol_c + nadp_c
19,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
20,PSSA141: cdpdtdec7eg_c + ser__L_c --> cmp_c + h_c + ps141_c
21,lipid5: pe_c <=> pe120_c + pe140_c + pe141_c + pe160_c + pe161_c + pe180_c + pe181_c
22,PSD120: h_c + ps120_c --> co2_c + pe120_c
23,lipid6: Rtotal_e <=> dca_e + ddca_e + hdca_e + hdcea_e + hxa_e + ocdca_e + ocdcea_e + octa_e + ttdca_e + ttdcea_e
24,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
25,ETHAPT_MYRS_MYRS_c: 12dgr140_c + cdpea_c --> cmp_c + h_c + pe140_c
26,r1600: cys__L_c + met__L_e --> cys__L_e + met__L_c
27,ETHAPT_PALM_PALM_c: 12dgr160_c + cdpea_c --> cmp_c + h_c + pe160_c
28,CITCIa: citm_c --> citac_c + h2o_c
29,SMS: crm_hs_c + pchol_hs_c --> dag_hs_c + sphmyln_hs_c
30,DSAT: Rtotalcoa_c + sphgn_c --> coa_c + dhcrm_hs_c + h_c
31,3DSPHR: 3dsphgn_c + h_c + nadph_c --> nadp_c + sphgn_c
32,DAGCPT: cdpchol_c + 0.01 dag_c --> cmp_c + h_c + 0.01 pc_c
33,PAPA161: h2o_c + pa161_c --> 12dgr161_c + pi_c
34,G3PAT180: glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c
35,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
36,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
37,HMR_0657: M02758_c + amet_c --> ahcys_c + pchol_hs_c
38,CELASE2: cell6_c + 2.0 h2o_c --> 3.0 cellb_c
39,acoa_prod8: malcoa_c --> acoa_c
40,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
41,FACOAE141: h2o_c + tdecoa_c --> coa_c + h_c + ttdcea_c
42,ETHAPT: cdpea_c + 0.01 dag_c <=> cmp_c + h_c + 0.01 pe_c
43,RTOTALt: Rtotal_e --> Rtotal_c
44,ARTFR31: stcoa_c --> 1.125 R3coa_hs_c
45,G3PAT181: glyc3p_c + octeACP_c --> 1odec11eg3p_c + ACP_c
46,PLA2PE_STC_OLE_c: h2o_c + pe1801819Z_c --> 1agpe180_c + h_c + ocdcea_c
47,DHCRD1: dhcrm_hs_c + nadp_c --> crm_hs_c + h_c + nadph_c
48,PSD181: h_c + ps181_c --> co2_c + pe181_c
49,AGPATCOA_MYRS_MYRS_c: 1tdecg3p_c + tdcoa_c --> coa_c + pa140_c
50,ETHAPT_STC_STC_c: 12dgr180_c + cdpea_c --> cmp_c + h_c + pe180_c
51,G3PAT1619Z_c: glyc3p_c + hdcoa_c --> 1hdec9eg3p_c + coa_c
52,PETHDMT_c: amet_c + methamp_c --> ahcys_c + ethadmp_c + h_c
53,PSSA120: cdpdddecg_c + ser__L_c --> cmp_c + h_c + ps120_c
54,2_7_8_3: cdpchol_c + crm_c + h_c --> cmp_c + sphmyln_c
55,DAGK120: 12dgr120_c + atp_c --> adp_c + h_c + pa120_c
56,PGSA160: cdpdhdecg_c + glyc3p_c --> cmp_c + h_c + pgp160_c
57,DAGK181: 12dgr181_c + atp_c --> adp_c + h_c + pa181_c
58,acylpg_prod4: apg160_c --> all_apg_c
59,CEPTE: cdpea_c + dag_hs_c --> cmp_c + h_c + pe_hs_c
60,CHLSTI_1: zymst_c --> chlstol_c
61,AGPAT120: 1ddecg3p_c + ddcaACP_c --> ACP_c + pa120_c
62,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
63,HMR_0653: amet_c + pe_hs_c --> M02686_c + ahcys_c + 2.0 h_c
64,pc_prod: pc_c --> all_pc_c
65,PSD141: h_c + ps141_c --> co2_c + pe141_c
66,CO2t: co2_e <=> co2_c
67,GAT_c: acoa_c + dag_c --> coa_c + tag_c
68,RTOT3: R3coa_hs_c --> Rtotalcoa_c
69,PETOHM_SC: amet_c + 0.01 pe_SC_c --> ahcys_c + h_c + 0.01 ptdmeeta_SC_c
70,LPLIPAL2ATE160: 2agpe160_c + pg160_c --> apg160_c + g3pe_c
71,AGPATCOA_PALM_PALM_c: 1hdecg3p_c + pmtcoa_c --> coa_c + pa160_c
72,CITMS: accoa_c + h2o_c + pyr_c --> citm_c + coa_c + h_c
73,pail_uptake: pail_e <=> pail_c
74,r2444: ddca_e --> ddca_c
75,PGPP160: h2o_c + pgp160_c --> pg160_c + pi_c
76,HMR_0654: M02686_c + amet_c --> M02758_c + ahcys_c + h_c
77,PAPA140: h2o_c + pa140_c --> 12dgr140_c + pi_c
