,rxns_added
0,EX_ile__L_e: ile__L_e <=> 
1,pail_uptake: pail_e <=> pail_c
2,ETHAPT_PALM_PALM_c: 12dgr160_c + cdpea_c --> cmp_c + h_c + pe160_c
3,CHLSTI_1: zymst_c --> chlstol_c
4,DAGK181: 12dgr181_c + atp_c --> adp_c + h_c + pa181_c
5,PAPA140: h2o_c + pa140_c --> 12dgr140_c + pi_c
6,lipid3: dag_c <=> 12dgr120_c + 12dgr140_c + 12dgr141_c + 12dgr160_c + 12dgr161_c + 12dgr180_c + 12dgr181_c
7,DHCRD1: dhcrm_hs_c + nadp_c --> crm_hs_c + h_c + nadph_c
8,ETHAPT_STC_STC_c: 12dgr180_c + cdpea_c --> cmp_c + h_c + pe180_c
9,PSSA181: cdpdodec11eg_c + ser__L_c --> cmp_c + h_c + ps181_c
10,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
11,HXAt: hxa_e <=> hxa_c
12,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
13,DSAT: Rtotalcoa_c + sphgn_c --> coa_c + dhcrm_hs_c + h_c
14,G3PAT141: glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c
15,DDSMSTOLD: chlstol_c + fad_c --> ddsmsterol_c + fadh2_c
16,HMR_0657: M02758_c + amet_c --> ahcys_c + pchol_hs_c
17,r1600: cys__L_c + met__L_e --> cys__L_e + met__L_c
18,AGPAT141: 1tdec7eg3p_c + tdeACP_c --> ACP_c + pa141_c
19,PETHMT_c: amet_c + ethamp_c --> ahcys_c + h_c + methamp_c
20,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
21,PGPP160: h2o_c + pgp160_c --> pg160_c + pi_c
22,pc_prod: pc_c --> all_pc_c
23,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
24,PMETM_SC: amet_c + 0.01 ptd2meeta_SC_c --> ahcys_c + h_c + 0.01 pc_SC_c
25,HXCT: accoa_c + hxa_c --> ac_c + hxcoa_c
26,PTRCTA: akg_c + ptrc_c --> 4abutn_c + glu__L_c
27,pi_prod4: pail_c --> all_pi_c
28,G3PAT160_1: glyc3p_c + pmtcoa_c --> 1hdecg3p_c + coa_c
29,HMR_0654: M02686_c + amet_c --> M02758_c + ahcys_c + h_c
30,PLIPA1E160: h2o_c + pe160_c --> 2agpe160_c + h_c + hdca_c
31,GLUt2r: glu__L_e + h_e <=> glu__L_c + h_c
32,RTOTALt: Rtotal_e --> Rtotal_c
33,CEPTE: cdpea_c + dag_hs_c --> cmp_c + h_c + pe_hs_c
34,PETOHM_SC: amet_c + 0.01 pe_SC_c --> ahcys_c + h_c + 0.01 ptdmeeta_SC_c
35,SMS: crm_hs_c + pchol_hs_c --> dag_hs_c + sphmyln_hs_c
36,CO2t: co2_e <=> co2_c
37,ETHAPT_HDE_HDE_c: 12dgr161_c + cdpea_c --> cmp_c + h_c + pe161_c
38,MFAPS_SC: amet_c + 0.01 ptdmeeta_SC_c --> ahcys_c + h_c + 0.01 ptd2meeta_SC_c
39,G3PAT1619Z_c: glyc3p_c + hdcoa_c --> 1hdec9eg3p_c + coa_c
40,r2444: ddca_e --> ddca_c
41,G3PAT120: ddcaACP_c + glyc3p_c --> 1ddecg3p_c + ACP_c
42,AGPATCOA_STC_OLE_c: 1odecg3p_c + odecoa_c --> coa_c + pa1801819Z_c
43,CELASE2: cell6_c + 2.0 h2o_c --> 3.0 cellb_c
44,r2048: cys__L_c + his__L_e --> cys__L_e + his__L_c
45,G3PAT140_c: glyc3p_c + tdcoa_c --> 1tdecg3p_c + coa_c
46,PSD120: h_c + ps120_c --> co2_c + pe120_c
