,rxns_added
0,EX_pdx5p_e: pdx5p_e <=> 
1,EX_fum_e: fum_e <=> 
2,EX_coa_e: coa_e <=> 
3,EX_pydxn_e: pydxn_e <=> 
4,EX_tag_e: tag_e <=> 
5,EX_5fthf_e: 5fthf_e <=> 
6,5FTHFt2_1: 5fthf_e + h2o_c --> 5fthf_c + h2o_e
7,EX_succ_e: succ_e <=> 
8,FRD: fadh2_c + fum_c --> fad_c + succ_c
9,FRD7: fum_c + q8h2_c --> q8_c + succ_c
10,FRDx: fum_c + h_c + nadh_c --> nad_c + succ_c
11,AKO: akg_c + fad_c + h2o_c --> co2_c + fadh2_c + succ_c
12,EX_lipoate_e: lipoate_e <=> 
13,LIPOti: atp_c + h2o_c + lipoate_e + 2.0 na1_e --> adp_c + h_c + lipoate_c + 2.0 na1_c + pi_c
14,EX_CE5022_e: CE5022_e <=> 
15,EX_citr__L_e: citr__L_e <=> 
16,EX_ipdp_e: ipdp_e <=> 
17,EX_5mthf_e: 5mthf_e <=> 
18,5MTHFt: 5mthf_e --> 5mthf_c
19,EX_mal__L_e: mal__L_e <=> 
20,LPASE_18_1: h2o_c + lpchol_hs_18_1_c --> g3pc_c + h_c + ocdcea_c
21,DAGK_STC_DHA_c: 12dgr180226n3_c + atp_c --> adp_c + h_c + pa180226n3_c
22,ETHAPT_LNA_ARA_c: 12dgr182n6204n6_c + cdpea_c --> cmp_c + h_c + pe182n6204n6_c
23,PLDAGAT_MYRS_EPA_LNA_PC_4_c: 12dgr140205n3_c + pc180182n6_c --> 1agpc180_c + tag140205n3182n6_c
24,ETHAPT_LNA_DHA_c: 12dgr182n6226n3_c + cdpea_c --> cmp_c + h_c + pe182n6226n3_c
25,DAGAH_STC_HDE_c: 12dgr1801619Z_c + h2o_c --> h_c + hdcea_c + mag180_c
26,HMGL_1: hmgcoa_m --> acac_m + accoa_m + h_m
27,PLDAGAT_HDE_EPA_LNA_PC_4_c: 12dgr1619Z205n3_c + pc180182n6_c --> 1agpc180_c + tag1619Z205n3182n6_c
28,PLDAGAT_LNA_EPA_LNA_PC_8_c: 12dgr182n6205n3_c + pc226n3182n6_c --> 1agpc226_c + tag182n6205n3182n6_c
29,APH181: h2o_c + ocdceap_c --> 2.0 h_c + ocdcea_c + pi_c
30,DAGAH_LNA_DHA_c: 12dgr182n6226n3_c + h2o_c --> crvnc_c + h_c + mag182n6_c
31,PLDAGAT_HDE_PALM_LNA_PC_8_c: 12dgr1619Z160_c + pc226n3182n6_c --> 1agpc226_c + tag1619Z160182n6_c
32,PLDAGAT_EPA_EPA_ARA_PC_8_c: 12dgr205n3_c + pc226n3204n6_c --> 1agpc226_c + tag205n3205n3204n6_c
33,PLDAGAT_HDE_EPA_LNA_PC_7_c: 12dgr1619Z205n3_c + pc205n3182n6_c --> 1agpc205_c + tag1619Z205n3182n6_c
34,PLDAGAT_LNA_EPA_GLNA_PC_2_c: 12dgr182n6205n3_c + pc160183n6_c --> 1agpc160_c + tag182n6205n3183n6_c
35,PLA2_2_18_1_18_1: h2o_c + pchol_hs_18_1_18_1_c --> h_c + lpchol_hs_18_1_c + ocdcea_c
36,PCD6DS_EPA_GLNA_sn2_c: 2.0 ficytb5_c + 2.0 nadh_c + o2_c + pc205n3182n6_c --> 2.0 focytb5_c + 2.0 h2o_c + 2.0 nad_c + pc205n3183n6_c
37,PLDAGAT_LNA_EPA_LNA_PE_11_c: 12dgr182n6205n3_c + pe1619Z182n6_c --> 1agpe161_c + tag182n6205n3182n6_c
38,ACOADAGAT_OLE_PALM_HDE_c: 12dgr1819Z160_c + hdcoa_c --> coa_c + tag1819Z1601619Z_c
39,PLDAGAT_MYRS_EPA_LNA_PE_11_c: 12dgr140205n3_c + pe1619Z182n6_c --> 1agpe161_c + tag140205n3182n6_c
40,MGCHrm: 3mgcoa_m + h2o_m --> hmgcoa_m
41,CHOPT_STC_HDE_c: 12dgr1801619Z_c + cdpchol_c --> cmp_c + h_c + pc1801619Z_c
42,LPCH160_sn1_c: 1agpc160_c + h2o_c --> g3pc_c + h_c + hdca_c
43,PCD6DS_OLE_GLNA_sn2_c: 2.0 ficytb5_c + 2.0 nadh_c + o2_c + pc1819Z182n6_c --> 2.0 focytb5_c + 2.0 h2o_c + 2.0 nad_c + pc1819Z183n6_c
44,PLDAGAT_HDE_PALM_LNA_PC_6_c: 12dgr1619Z160_c + pc1819Z182n6_c --> 1agpc181_c + tag1619Z160182n6_c
45,PLA2PC_DHA_ARA_c: h2o_c + pc226n3204n6_c --> 1agpc226_c + arachd_c + h_c
46,ACACtm: acac_c --> acac_m
47,PLDPE_PALM_GLNA_c: h2o_c + pe160183n6_c --> etha_c + h_c + pa160183n6_c
48,G2PP: glyc2p_c + h2o_c --> glyc_c + pi_c
49,LPS2_18_1_18_1: dag_hs_18_1_18_1_c + h2o_c --> h_c + mag_hs_18_1_c + ocdcea_c
50,LPS3_hs_18_1: h2o_c + mag_hs_18_1_c --> glyc_c + h_c + ocdcea_c
51,PLDPE_STC_DHA_c: h2o_c + pe180226n3_c --> etha_c + h_c + pa180226n3_c
52,PLDAGAT_HDE_EPA_DHA_PE_16_c: 12dgr1619Z205n3_c + pe182n6226n3_c --> 1agpe182_c + tag1619Z205n3226n3_c
53,PLDAGAT_OLE_PALM_HDE_PC_4_c: 12dgr1819Z160_c + pc1801619Z_c --> 1agpc180_c + tag1819Z1601619Z_c
54,DAGAH_LNA_ARA_c: 12dgr182n6204n6_c + h2o_c --> arachd_c + h_c + mag182n6_c
55,APG3PAT181: glyc3p_c + ocdceap_c --> 1odec11eg3p_c + h_c + pi_c
56,PLDPC_PALM_GLNA_c: h2o_c + pc160183n6_c --> chol_c + h_c + pa160183n6_c
57,3MGLUTACtm: 3mglutac_m --> 3mglutac_c
58,GLYC2P3Pc: glyc2p_c --> glyc3p_c
59,ACACCT: acac_c + accoa_c --> aacoa_c + ac_c
60,3MGLUTACc: 3mgcoa_m + h2o_m --> 3mglutac_m + coa_m + h_m
61,PLDAGAT_LNA_EPA_GLNA_PC_6_c: 12dgr182n6205n3_c + pc1819Z183n6_c --> 1agpc181_c + tag182n6205n3183n6_c
62,PLDAGAT_EPA_EPA_ARA_PE_13_c: 12dgr205n3_c + pe182n6204n6_c --> 1agpe182_c + tag205n3205n3204n6_c
63,PLDAGAT_HDE_MYRS_GLNA_PE_10_c: 12dgr1619Z140_c + pe160183n6_c --> 1agpe160_c + tag1619Z140183n6_c
64,CEPTC_18_1_18_1: cdpchol_c + dag_hs_18_1_18_1_c --> cmp_c + h_c + pchol_hs_18_1_18_1_c
65,PLDAGAT_HDE_MYRS_GLNA_PC_7_c: 12dgr1619Z140_c + pc205n3183n6_c --> 1agpc205_c + tag1619Z140183n6_c
66,LPCH180_sn1_c: 1agpc180_c + h2o_c --> g3pc_c + h_c + ocdca_c
67,DAGAH_STC_DHA_c: 12dgr180226n3_c + h2o_c --> crvnc_c + h_c + mag180_c
68,PLDAGAT_HDE_EPA_DHA_PE_12_c: 12dgr1619Z205n3_c + pe180226n3_c --> 1agpe180_c + tag1619Z205n3226n3_c
69,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
70,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
71,THRD_L: thr__L_c --> 2obut_c + nh4_c
72,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
73,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
74,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
75,ILEtec: ile__L_e --> ile__L_c
76,EX_atp_e: atp_e <=> 
77,EX_avite1_e: avite1_e <=> 
78,GGDPR: ggdp_c + 3.0 h_c + 3.0 nadph_c --> 3.0 nadp_c + phdp_c
79,MPBQ: 2m6phol_c + amet_c --> 23dmphol_c + ahcys_c + h_c
80,34HPPOR: 34hpp_c + o2_c --> co2_c + hgentis_c
81,HGPHT: h_c + hgentis_c + phdp_c --> 2m6phol_c + co2_c + ppi_c
82,TOCOPHOM1: amet_c + gtocophe_c --> ahcys_c + avite1_c + h_c
83,TOCOPHS1: 23dmphol_c --> gtocophe_c
