,rxns_added
0,EX_CE5022_e: CE5022_e <=> 
1,EX_pdx5p_e: pdx5p_e <=> 
2,EX_coa_e: coa_e <=> 
3,EX_pydxn_e: pydxn_e <=> 
4,EX_5mthf_e: 5mthf_e <=> 
5,5MTHFt: 5mthf_e --> 5mthf_c
6,EX_succ_e: succ_e <=> 
7,FRD: fadh2_c + fum_c --> fad_c + succ_c
8,AKO: akg_c + fad_c + h2o_c --> co2_c + fadh2_c + succ_c
9,THRD_L: thr__L_c --> 2obut_c + nh4_c
10,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
11,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
12,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
13,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
14,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
15,ILEtec: ile__L_e --> ile__L_c
16,EX_atp_e: atp_e <=> 
17,EX_citr__L_e: citr__L_e <=> 
18,PETHTMT_c: amet_c + ethadmp_c --> ahcys_c + cholp_c + h_c
19,NPHBDC: 3nphb_c + amet_c + h2o_c + nad_c --> 2m6sbenzq_c + ahcys_c + co2_c + h_c + nadh_c
20,HBZNPT: 4hbz_c + npdp_c --> 3nphb_c + ppi_c
21,PETHMT_c: amet_c + ethamp_c --> ahcys_c + h_c + methamp_c
22,4HBHYOX: 4hbz_c + h_c + nadph_c + o2_c --> 34dhbz_c + h2o_c + nadp_c
23,PETHDMT_c: amet_c + methamp_c --> ahcys_c + ethadmp_c + h_c
24,MSBENZMT: 2m6sbenzq_c + amet_c --> ahcys_c + h_c + pqh2_c
25,NPDPS: grdp_c + 7.0 ipdp_c --> npdp_c + 7.0 ppi_c
26,PCADYOX: 34dhbz_c + o2_c --> CCbuttc_c + 2.0 h_c
27,EX_ipdp_e: ipdp_e <=> 
28,EX_tag_e: tag_e <=> 
29,EX_fum_e: fum_e <=> 
30,EX_lipoate_e: lipoate_e <=> 
31,LIPOti_1: atp_c + h2o_c + lipoate_e + na1_e --> adp_c + h_c + lipoate_c + na1_c + pi_c
32,EX_5fthf_e: 5fthf_e <=> 
33,5FTHFt2: 5fthf_e + oh1_c --> 5fthf_c + oh1_e
34,EX_avite1_e: avite1_e <=> 
35,34HPPOR: 34hpp_c + o2_c --> co2_c + hgentis_c
36,HGPHT: h_c + hgentis_c + phdp_c --> 2m6phol_c + co2_c + ppi_c
37,TOCOPHOM1: amet_c + gtocophe_c --> ahcys_c + avite1_c + h_c
38,GGDPR: ggdp_c + 3.0 h_c + 3.0 nadph_c --> 3.0 nadp_c + phdp_c
39,TOCOPHS1: 23dmphol_c --> gtocophe_c
40,MPBQ: 2m6phol_c + amet_c --> 23dmphol_c + ahcys_c + h_c
41,EX_mal__L_e: mal__L_e <=> 
