,rxns_added
0,EX_cit_e: cit_e <=> 
1,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
2,ARTPLM1: Rtotalcoa_c --> pmtcoa_c
3,GLYCK2: atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
4,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
5,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
6,BIOMASS_Ecoli_core_w_GAM: 1.496 3pg_c + 3.7478 accoa_c + 59.81 atp_c + 0.361 e4p_c + 0.0709 f6p_c + 0.129 g3p_c + 0.205 g6p_c + 0.2557 gln__L_c + 4.9414 glu__L_c + 59.81 h2o_c + 3.547 nad_c + 13.0279 nadph_c + 1.7867 oaa_c + 0.5191 pep_c + 2.8328 pyr_c + 0.8977 r5p_c --> 59.81 adp_c + 4.1182 akg_c + 3.7478 coa_c + 59.81 h_c + 3.547 nadh_c + 13.0279 nadp_c + 59.81 pi_c
7,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
8,EX_fum_e: fum_e <=> 
9,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
10,ARTPLM1: Rtotalcoa_c --> pmtcoa_c
11,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
12,PPS: atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
13,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
14,BIOMASS_Ecoli_core_w_GAM: 1.496 3pg_c + 3.7478 accoa_c + 59.81 atp_c + 0.361 e4p_c + 0.0709 f6p_c + 0.129 g3p_c + 0.205 g6p_c + 0.2557 gln__L_c + 4.9414 glu__L_c + 59.81 h2o_c + 3.547 nad_c + 13.0279 nadph_c + 1.7867 oaa_c + 0.5191 pep_c + 2.8328 pyr_c + 0.8977 r5p_c --> 59.81 adp_c + 4.1182 akg_c + 3.7478 coa_c + 59.81 h_c + 3.547 nadh_c + 13.0279 nadp_c + 59.81 pi_c
15,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
16,EX_lipoate_e: lipoate_e <=> 
17,LIPOti_1: atp_c + h2o_c + lipoate_e + na1_e --> adp_c + h_c + lipoate_c + na1_c + pi_c
18,EX_ser__L_e: ser__L_e <=> 
19,r2526: ser__L_e --> ser__L_c
20,EX_gal__L_e: gal__L_e <=> 
21,EX_man_e: man_e <=> 
22,MANt1r: man_e <=> man_c
23,EX_lac__L_e: lac__L_e <=> 
24,LALDO3: h_c + mthgxl_c + nadph_c --> lald__L_c + nadp_c
25,mthgxl_s: dhap_c --> mthgxl_c
26,ARGN: arg__L_c + h2o_c --> orn_c + urea_c
27,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
28,ARTPLM1: Rtotalcoa_c --> pmtcoa_c
29,GLYCK2: atp_c + glyc__R_c --> 2pg_c + adp_c + h_c
30,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
31,UREA: h2o_c + 2.0 h_c + urea_c --> co2_c + 2.0 nh4_c
32,BIOMASS_Ecoli_core_w_GAM: 1.496 3pg_c + 3.7478 accoa_c + 59.81 atp_c + 0.361 e4p_c + 0.0709 f6p_c + 0.129 g3p_c + 0.205 g6p_c + 0.2557 gln__L_c + 4.9414 glu__L_c + 59.81 h2o_c + 3.547 nad_c + 13.0279 nadph_c + 1.7867 oaa_c + 0.5191 pep_c + 2.8328 pyr_c + 0.8977 r5p_c --> 59.81 adp_c + 4.1182 akg_c + 3.7478 coa_c + 59.81 h_c + 3.547 nadh_c + 13.0279 nadp_c + 59.81 pi_c
33,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
34,HCO3E: co2_c + h2o_c --> h_c + hco3_c
35,ORNt: orn_e --> orn_c
36,EX_mal__D_e: mal__D_e <=> 
37,EX_crm_e: crm_e <=> 
38,EX_spmd_e: spmd_e <=> 
39,ADMDC: amet_c + h_c --> ametam_c + co2_c
40,SPMS: ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
41,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
42,DKMPPD2: dkmpp_c + 3.0 h2o_c --> 2kmb_c + for_c + 6.0 h_c + pi_c
43,MDRPD: 5mdru1p_c --> dkmpp_c + h2o_c
44,ARTPLM1: Rtotalcoa_c --> pmtcoa_c
45,CLFORtex: cl_e + 2.0 for_c --> cl_c + 2.0 for_e
46,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
47,SO4CLtex: 2.0 cl_c + so4_e --> 2.0 cl_e + so4_c
48,MTAP: 5mta_c + pi_c --> 5mdr1p_c + ade_c
49,BIOMASS_Ecoli_core_w_GAM: 1.496 3pg_c + 3.7478 accoa_c + 59.81 atp_c + 0.361 e4p_c + 0.0709 f6p_c + 0.129 g3p_c + 0.205 g6p_c + 0.2557 gln__L_c + 4.9414 glu__L_c + 59.81 h2o_c + 3.547 nad_c + 13.0279 nadph_c + 1.7867 oaa_c + 0.5191 pep_c + 2.8328 pyr_c + 0.8977 r5p_c --> 59.81 adp_c + 4.1182 akg_c + 3.7478 coa_c + 59.81 h_c + 3.547 nadh_c + 13.0279 nadp_c + 59.81 pi_c
50,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
51,HCO3E: co2_c + h2o_c --> h_c + hco3_c
52,EX_4abut_e: 4abut_e <=> 
53,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
54,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
55,PTRCTA: akg_c + ptrc_c --> 4abutn_c + glu__L_c
