,rxns_added
0,EX_cit_e: cit_e <=> 
1,FERIRDe: 2.0 fe3_e + qh2_c --> 2.0 fe2_e + 2.0 h_e + q_c
2,HCO3E: co2_c + h2o_c --> h_c + hco3_c
3,PFK_ppi: f6p_c + ppi_c --> fdp_c + h_c + pi_c
4,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
5,O2tmt: o2_m <=> o2_c
6,EX_asp__L_e: asp__L_e <=> 
7,HCO3E: co2_c + h2o_c --> h_c + hco3_c
8,O2tm: o2_c --> o2_m
9,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
10,ASNGLNNaEx: asn__L_e + gln__L_c + na1_e --> asn__L_c + gln__L_e + na1_c
11,PFK: atp_c + f6p_c --> adp_c + fdp_c + h_c
12,EX_sphmyln_e: sphmyln_e <=> 
13,FAOXC1811603m: 5.0 coa_m + 4.0 fad_m + 5.0 h2o_m + 5.0 nad_m + odecoa_m --> 5.0 accoa_m + 4.0 fadh2_m + 5.0 h_m + 5.0 nadh_m + occoa_m
14,ARTFR32_cho: 0.125 coa_m + fadh2_m + odecoa_c --> 1.125 R3coa_cho_c + fad_m
15,SMS: crm_hs_c + pchol_hs_c --> dag_hs_c + sphmyln_hs_c
16,GPDDA3: g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c
17,CEPTC: cdpchol_c + dag_hs_c --> cmp_c + h_c + pchol_hs_c
18,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
19,ARTFR41_cho: fadh2_m + hdcoa_c --> R4coa_cho_c + fad_m
20,CLFORtex: cl_e + 2.0 for_c --> cl_c + 2.0 for_e
21,RTOT4_cho: R4coa_cho_c --> Rtotalcoa_c
22,SO4CLtex: 2.0 cl_c + so4_e --> 2.0 cl_e + so4_c
23,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
24,2_7_8_3: cdpchol_c + crm_c + h_c --> cmp_c + sphmyln_c
25,DHCRD1: dhcrm_hs_c + nadp_c --> crm_hs_c + h_c + nadph_c
26,DSAT: Rtotalcoa_c + sphgn_c --> coa_c + dhcrm_hs_c + h_c
27,CHOLK: atp_c + chol_c --> adp_c + cholp_c + h_c
28,FAOXC80: 3.0 coa_m + 3.0 fad_m + 3.0 h2o_m + 3.0 nad_m + occoa_m --> 4.0 accoa_m + 3.0 fadh2_m + 3.0 h_m + 3.0 nadh_m
29,r1467: odecoa_c --> odecoa_m
30,RTOT3_cho: R3coa_cho_c --> Rtotalcoa_c
31,SMPD3l_host: h2o_c + sphmyln_hs_c --> cholp_c + crm_c + h_c
