,rxns_added
0,EX_val__L_e: val__L_e <=> 
1,VALtec: val__L_e --> val__L_c
2,EX_gal__L_e: gal__L_e <=> 
3,CLFORtex: cl_e + 2.0 for_c --> cl_c + 2.0 for_e
4,SO4CLtex: 2.0 cl_c + so4_e --> 2.0 cl_e + so4_c
5,HCO3E: co2_c + h2o_c --> h_c + hco3_c
6,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
7,FORAMD: frmd_c + h2o_c --> for_c + nh4_c
8,HISD_c: 3.0 h2o_c + his__L_c --> frmd_c + glu__L_c + nh4_c
9,PUTA3: glu5sa_c + h2o_c + nad_c --> glu__L_c + 2.0 h_c + nadh_c
10,GLNt: gln__L_e --> gln__L_c
11,EX_etha_e: etha_e <=> 
12,ETHAt: etha_e --> etha_c
13,EX_citr__L_e: citr__L_e <=> 
14,OCT: cbp_c + orn_c --> citr__L_c + pi_c
15,NODOy: nadph_c + 2.0 no_c + 2.0 o2_c --> h_c + nadp_c + 2.0 no3_c
16,CBMKr: atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
17,ARGDI: arg__L_c + h2o_c + h_c --> citr__L_c + nh4_c
18,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
19,r0817: citr__L_c --> citr__L_e
20,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
21,BIOMASS_Ecoli_core_w_GAM: 1.496 3pg_c + 3.7478 accoa_c + 59.81 atp_c + 0.361 e4p_c + 0.0709 f6p_c + 0.129 g3p_c + 0.205 g6p_c + 0.2557 gln__L_c + 4.9414 glu__L_c + 59.81 h2o_c + 3.547 nad_c + 13.0279 nadph_c + 1.7867 oaa_c + 0.5191 pep_c + 2.8328 pyr_c + 0.8977 r5p_c --> 59.81 adp_c + 4.1182 akg_c + 3.7478 coa_c + 59.81 h_c + 3.547 nadh_c + 13.0279 nadp_c + 59.81 pi_c
22,SO3R: 5.0 h_c + 3.0 nadh_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nad_c
23,HCO3E: co2_c + h2o_c --> h_c + hco3_c
24,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
25,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
26,UREA: h2o_c + 2.0 h_c + urea_c --> co2_c + 2.0 nh4_c
27,ARGN: arg__L_c + h2o_c --> orn_c + urea_c
28,ORNt: orn_e --> orn_c
29,EX_chsterol_e: chsterol_e <=> 
30,CHOLESTTDe: chsterol_c --> chsterol_e
31,EX_pyr_e: pyr_e <=> 
32,O2tm: o2_c --> o2_m
33,PFK_ppi: f6p_c + ppi_c --> fdp_c + h_c + pi_c
