,rxns_added
0,LPLIPAL2E180
1,ACChex
2,ACOAD20
3,TYRt
4,DAGCPT
5,EX_cys__L_e
6,EX_yvite_e
7,GLNt
8,CYSLY3
9,NH4t
10,EX_argarg_e
11,PPDK
12,5MTHFt
13,PRO1y
14,EX_avite1_e
15,L_LACt2r
16,CITt2r
17,FAO141p_oddc
18,SPODMe
19,FBA
20,EX_pydxn_e
21,AHALc
22,ACGKm
23,YVITEt
24,4ABUTD
25,UREA
26,ARGARGr
27,SO4t_e
28,EX_ser__L_e
29,METMETILEt
30,LEULEULAPc
31,DEDOLR
32,H2O2t
33,ERGSTESTH_SCe
34,GUAD_1
35,DGTPtmc
36,EX_mal__L_e
37,MTHFR
38,EX_glu__L_e
39,EX_ergstest_SC_e
40,ASPMETASPt
41,R_group_phosphotase_1
42,GAT_c
43,ASADHc
44,PTRCTA
45,LEULEUPEPT1tc
46,DHDDS
47,EX_citr__L_e
48,G3POc
49,EX_tyrphetyr_e
50,HCO3E
51,XAND
52,EX_thrthrarg_e
53,OCDCYAt
54,ACOTAim
55,ASPTA
56,EX_CE5022_e
57,SSALy
58,PHEPHEt
59,ARTCOAL1_cho
60,PUTA3
61,CITabc
62,EX_gly_e
63,SMPD3l
64,VALVALr
65,PNTOte
66,EX_thr__L_e
67,R07456
68,LDH_D
69,FACOAE100
70,ARTFR52_cho
71,ASPMETASPr
72,EX_tag_e
73,FA141ACPHi
74,PPS
75,FDH7
76,GLYDHDA
77,OCT
78,EX_lys__L_e
79,SSALx
80,ACAFDOR
81,MTHFR3
82,TOCOPHOM1
83,EX_leuleu_e
84,EX_ile__L_e
85,PSP_L
86,EX_metmetile_e
87,HSST
88,URIC
89,EX_phe__L_e
90,PROPROPROt
91,CYSDS
92,EX_lipoate_e
93,ARTPLM1
94,LPLIPAL2E181
95,ASPTA6
96,OCDCAt
97,FERIRDe
98,HMR_4700
99,DEDOLP2
100,DHAD2
101,SARCOX
102,EX_succ_e
103,EX_epistest_SC_e
104,FACOAE60
105,METMETILEr
106,r1557
107,ARGARGt
108,EX_pdx5p_e
109,MALS
110,EX_aspmetasp_e
111,EX_pnto__R_e
112,HXCT
113,HSDxi
114,FACOAE141
115,GART
116,HYXNt
117,GLYVESSEC
118,CITACt
119,PGLc
120,FAO2
121,EX_thm_e
122,FGFTmc
123,EX_5mthf_e
124,EX_fecostest_SC_e
125,METS_1
126,EX_hxan_e
127,PPM2
128,TRPILETRPr
129,SUCOAACTr
130,THD1m
131,HMR_4957
132,METtec
133,PRUK
134,GTHPe
135,SHSL2
136,TSULR3e
137,ASNASNARGr
138,RBPC
139,HMR_0180
140,ORNt3m
141,ECOAH11pc
142,BCTAhc
143,EX_5fthf_e
144,GLYabc
145,GTHAMPOR
146,FldAct
147,EX_glnhishis_e
148,EX_valval_e
149,r1116
150,PLBPC_SCe
151,EX_trpiletrp_e
152,HDCAt
153,PSERT
154,GTHOXti
155,AMETt
156,ECOAH9ir
157,PGCD
158,CYStec
159,LPLIPAL2E140
160,PYDXO
161,AMETt2
162,EX_ipdp_e
163,SULO
164,SUCD3
165,EX_propropro_e
166,EX_adn_e
167,SMS
168,ABUTD
169,O2tm
170,G3PCt
171,FRUt1r
172,GLNHISHISr
173,FECOSTESTH_SCe
174,HACD10pc
175,CYSTBLc
176,EX_asn__L_e
177,EX_lyslyslys_e
178,NTRIR3ppc
179,LYSLYSLYSr
180,ACALD
181,PUNP4
182,TYRPHETYRt
183,EX_zymstest_SC_e
184,EX_pc_SC_e
185,HMT
186,FRDx
187,EX_glc__D_e
188,PROPROPROr
189,NADFADOR
190,EX_atp_e
191,GLS2e
192,LPLIPAL2A120
193,EX_leu__L_e
194,UGLYCH
195,ALAPAT4te
196,GLUabc
197,ZYMSTESTH_SCe
198,FACOAE120
199,DEDOLP1
200,EX_amet_e
201,LPS
202,EX_arg__L_e
203,EX_coa_e
204,LIPOti
205,CHOLD
206,GLS2
207,KARA2
208,OCTAt
209,FBA3
210,EX_glucan1500_e
211,THFGLUH
212,ARGDI
213,MACCOAT
214,PRO1x
