,rxns_added
0,EX_CE5022_e
1,UGLYCH
2,PRUK
3,EX_thr__L_e
4,PItap
5,LPEH1819Z_sn1_c
6,HXCT
7,EX_asncyscys_e
8,AGAT_LLA
9,EX_pydxn_e
10,FAO11
11,4ABUTD
12,CYStec
13,BHMT
14,HSDHc
15,EX_glucan1500_e
16,EX_5mthf_e
17,AMETt
18,FBA
19,TYRt
20,METMETILEr
21,lipid1
22,CHOPT_HDE_DHA_c
23,DAGK161
24,r1457
25,EX_propropro_e
26,NADFADOR
27,ETHAPT
28,CITt4_4
29,FABM2
30,G3PCt
31,EX_5fthf_e
32,AGPAT141_ap
33,EX_ser__L_e
34,EX_asp__L_e
35,VALVALr
36,GART
37,IPC126PLC_SC
38,THMtrbc
39,GLUDym
40,ARTPLM1
41,NTRIR3ppc
42,LDH_D
43,FGFTmc
44,TTDCEAt
45,PROPROPROt
46,EX_pc_SC_e
47,ASNCYSCYSt
48,3OAS80_ap
49,EX_ipdp_e
50,EX_thrhishis_e
51,MAGAH1619Z_c
52,PLDPE_HDE_HDE_c
53,EX_asnasnarg_e
54,METS_1
55,APH141
56,CHOPT_HDE_HDE_c
57,FAO161p_oddc
58,EX_gln__L_e
59,EX_cys__L_e
60,ASNASNARGt
61,HMR_0188
62,KAS15_ap
63,COAtap
64,NADPtap
65,NAt5
66,PSP_L
67,EX_adn_e
68,EX_metmetile_e
69,EX_orn_e
70,ARGt5r
71,NH4t
72,DHAPtap
73,EX_ile__L_e
74,LPLIPAL1E141
75,PHEPHEr
76,BPNT
77,HEXCt
78,GLPASE2
79,EX_arg__L_e
80,ABUTD
81,PYDXO
82,SSALy
83,RTOTALt
84,pe_prod4
85,HMT
86,PSD140
87,FAO3
88,EX_3mop_e
89,PROtm_1
90,CITL
91,NADtap
92,ILEARGILEr
93,GDPMEP_c
94,AGPRim
95,HACD9
96,VALVALt
97,PLA2PC_HDE_HDE_c
98,GAT_c
99,PGMfc
100,PHEPHEt
101,FBA3
102,GLYVESSEC
103,EX_trp__L_e
104,GLYC2P3Pc
105,PDYXPT_c
106,PA141tap
107,PLA2PC_HDE_DHA_c
108,H2Ot
109,r0186
110,DCTPD2
111,DHAD2
112,EX_thrthrarg_e
113,EX_phephe_e
114,L_LACt2r
115,EX_valval_e
116,ME2m
117,GLS2
118,EX_glc__D_e
119,ADNt
120,PRO1xm
121,ASNASNARGr
122,NADPHtap
123,FAO182p_oddoddc
124,METtec
125,LPS
126,MACCOAT
127,EX_hxan_e
128,HSDxi
129,LEULEULAPc
130,L_LACt4r
131,CO2tap
132,CDAPPA120
133,NADHDH
134,APG3PAT141
135,PRO1x
136,EX_yvite_e
137,PCt
138,PUNP7
139,THRHISHISr
140,PSERT
141,EX_glnhishis_e
142,ACAFDOR
143,EX_lanostest_SC_e
144,MALS
145,3MOPt
146,HYXNt
147,CITt3
148,DGTPtmc
149,FAO181p_oddc
150,r0398
151,5MTHFt
152,SPHPL
153,PLIPA2A181
154,MCOATA_ap
155,MTHFR
156,PGSA120
157,EX_ileargile_e
158,EX_his__L_e
159,r1116
160,DAGK120
161,PE120abcppc
162,r1557
163,ORNt3m
164,PUTA3
165,THRTHRARGr
166,FAO1
167,ACHBS
168,r2444
169,TTDCAFATPc
170,SSALx
171,PPDK
172,BCTAhc
173,FACOAE120
174,MTHFD
175,PLIPA2E120
176,CITt4_1
177,EX_glu__L_e
178,HODHL8
179,PROPROPROr
180,FACOAL161t2ppc
181,R_group_phosphotase_1
182,lipid2
183,PGCD
184,YVITEt
185,EX_galman600_e
186,CYSTBLc
187,G3POc
188,SARCOX
189,PTRCTA
190,SUCD3
191,EX_tag_e
192,THD1m
193,EX_fum_e
194,HSST
195,TSULR3e
196,DAGK181
197,AMETt2
198,PE180abcppc
199,GTHOXte
200,OAAtmt
201,LYSLYSLYSt
202,PPS
203,EAR141x_ap
204,CBMKr
205,EX_aspmetasp_e
206,PLBPC_SCe
207,AHALc
208,GALKr
209,PGSA180
210,ACPS2
211,ARTCOAL3_cho
212,GLCt1
213,TRPILETRPr
214,LPLIPAL1E120
215,O2tm
216,ASPSEc
217,FA181COAabcpc
218,ALAPAT4te
219,ATPtap
220,FAO10
221,SMPD3l
222,FACOAE100
223,SUCOAACTr
224,ILEtec
225,PYDXOR
226,GLNHISHISt
227,HMR_4701
228,EX_trpiletrp_e
229,ILEARGILEt
230,GLPASE2a
231,LIPOti
232,lipid10
233,SMS
234,PLA2PE_HDE_HDE_c
235,PE141abcppc
236,THRS
237,CITt2r
238,EX_leuleu_e
239,EX_dag_e
240,EX_lipoate_e
241,FACOAE60
242,PE161abcppc
243,ASPMETASPr
244,5FTHFt2_1
245,PE140abcppc
246,EX_amet_e
247,EX_tyrphetyr_e
248,GAT1_LLA
249,ACCOAC_ap
250,THRHISHISt
251,ARTCOAL1_cho
