,rxns_added
0,EX_citr__L_e
1,EX_pnto__R_e
2,DGTPtmc
3,EX_chsterol_e
4,ORNt
5,SPMS
6,RBK
7,CEPTCnhs
8,GUAD_1
9,2dr_p
10,SO4CLtex
11,SMSnhs
12,PFK
13,FACOAE60
14,GLYK
15,ARGARGt
16,PRO1x
17,ORNDC
18,RBPC
19,CHOLK
20,ASNASNARGr
21,r0817
22,PDYXPT_c
23,HMR_4957
24,EX_glc__D_e
25,lipid2
26,PULLe
27,MGSA
28,ACOAR5mc
29,GLCt1
30,HYD4pp
31,SO4t_e
32,MANt1r
33,EX_lac__L_e
34,EX_ptrc_e
35,FA181ACPH
36,ICL
37,CBPAH
38,ILEtec
39,ARGN_1
40,VALtec
41,r2526
42,LEUtec
43,ARTPLM1
44,GLUDC
45,EX_pullulan1200_e
46,EX_4abut_e
47,GLS2e
48,R07456
49,FA141COAabcpc
50,ACOAR7mc
51,EX_ser__L_e
52,H2Ot
53,SUCD3
54,ETHAt
55,ACGKm
56,EX_glucan1500_e
57,CBMKr
58,r2110
59,PUNP4
60,ARTCOAL1
61,2_7_8_3
62,GLYCK
63,ACOAR4mc
64,FACOAE161
65,HYDFDN2r
66,MALTTRabc
67,SBTRph
68,FA181COAabcpc
69,LIPOti
70,ARGN
71,PUTA3
72,ASAPTc
73,EX_fru_e
74,ALLTAMH
75,XAND
76,GLUCAN2abc
77,FERIRDe
78,AGDInc
79,FA161COAabcpc
80,HCO3E
81,PRO1y
82,FDH7
83,TSULR3e
84,ACOAR3mc
85,EX_gal__L_e
86,MALS
87,SPRMti
88,GLUt2r
89,EX_spmd_e
90,EX_lipoate_e
91,ACAFDOR
92,TRPt
93,H2tpp
94,FRUt1r
95,EX_sprm_e
96,PTRCTA
97,EX_pyr_e
98,EX_man_e
99,THFGLUH
100,EX_crm_enhs
101,UREA
102,THD1m
103,ORNTACim
104,ACOAR6mc
105,AGPRim
106,PRUK
107,EX_ala__L_e
108,EX_crm_e
109,MGSA2
110,lipid1
111,PNTOte
112,OCT
113,ATNAHc
114,FACOAE140
115,EX_cit_e
116,PTRCtex2
117,ARGARGr
118,CRMtenhs
119,EX_succ_e
120,ASNASNARGt
121,GLYCK2
122,EX_etha_e
123,FACOAE120
124,URIC
125,ARGDI
126,SPHMYLNt
127,GLS2
128,ABTA
129,G3POc
130,FACOAE141
131,LDH_D
132,PYDXO
133,SMPD3l_host
134,EX_asnasnarg_e
135,PYR5CDmc
136,EX_argarg_e
137,EX_trp__L_e
138,r0191
139,EX_val__L_e
140,EX_gln__L_e
141,RE1342C
142,GLNt
143,PFK_ppi
144,SPRMt2i
145,FACOAE100
146,EX_fum_e
147,ASPTA6
148,EX_mal__L_e
149,SUCOAACTr
150,ORNt3m
151,EX_ile__L_e
152,EX_sphmyln_e
153,CHOLESTTDe
154,EX_leu__L_e
155,P5CD
156,EX_orn_e
157,CLFORtex
158,FACOAE80
159,EX_asp__L_e
160,LALDO3
