,rxns_added
0,HACD3
1,SK_trnaala_c
2,PHEMEtm
3,SK_trnaval_c
4,OPHHXm
5,NNDPR
6,SK_trnapro_c
7,SK_trnagln_c
8,T4HCINNMFM
9,DROPPRx
10,RIBFSc
11,HBZOPTm
12,SK_trnathr_c
13,34HPLtm
14,HMR_6782
15,UDPGtnic
16,ACOAD3f
17,QULNS
18,SK_trnaglu_c
19,ASPO6_1
20,GLPASE1
21,SK_trnacys_c
22,GLDBRAN
23,GLPASE2a
24,GTPCII
25,SK_trnaleu_c
26,R5PFLc
27,SK_trnaphe_c
28,GLBRAN
29,COUCOAFm
30,ECOAH3
31,SK_trnatyr_c
32,GGNG
33,SK_trnatrp_c
34,4HBZCOAFm
35,SK_trnagly_c
36,NADK
37,AMPt_m
38,SK_trnaarg_c
39,GLGNS1
40,SK_trnamet_c
41,OPHBDCm
42,SK_trnaile_c
43,4HBZFm
44,SK_trnalys_c
45,PMDPHT
46,SK_trnaasn_c
47,CO2tmt
48,MTHFC_1
49,RBFSa
50,KAT3
51,SK_trnaser_c
52,SK_trnahis_c
53,SK_trnaasp_c
54,OCTDPtmt
