,rxns_added
0,SK_trnaarg_c
1,SK_trnaile_c
2,RIBFSc
3,COUCOAFm
4,4HBZCOAFm
5,OPHHXm
6,SK_trnaasp_c
7,SK_trnaglu_c
8,OCTDPtmt
9,4HBZFm
10,PINOS
11,NADK
12,RBFSa
13,QULNS
14,SK_trnagln_c
15,SK_trnalys_c
16,ASPO3_1
17,SK_trnatrp_c
18,EX_ptd1ino_e
19,r0853
20,lipid4
21,R5PFLc
22,SK_trnagly_c
23,PHEMEtm
24,SK_trnahis_c
25,SK_trnacys_c
26,UPP3S
27,SK_trnapro_c
28,r1971
29,SK_trnaphe_c
30,34HPPt2m
31,34HPLFM
32,SK_trnatyr_c
33,DROPPRx
34,MTHFC_1
35,SK_trnaala_c
36,T4HCINNMFM
37,SK_trnamet_c
38,NNDPR
39,SK_trnaval_c
40,PTD1INOt
41,SK_trnaasn_c
42,SK_trnaleu_c
43,SK_trnathr_c
44,OPHBDCm
45,PMDPHT
46,SK_trnaser_c
47,GTPCII
48,ALASmc
49,HBZOPTm
