,rxns_added
0,DIPEPabc9c
1,PTRCTA
2,GLUt2r
3,G3PD2
4,EX_metsox_S__L_e
5,EX_asp__L_e
6,DAGCPT
7,DBRC
8,GLGNS1
9,EX_glyc3p_e
10,EX_mal__L_e
11,NMNP
12,EX_tyr__L_e
13,PRO1y
14,HISD_c
15,EX_ala__L_e
16,EX_g1p_e
17,HACD9
18,EX_trpiletrp_e
19,EX_ileargile_e
20,OCDCAt
21,GLPASE1
22,THFGLUS
23,CO2t
24,ARGt2r
25,pail_uptake
26,TYRt
27,ACGAMPM
28,G3POc
29,GLYDHDA
30,ILEARGILEr
31,CELASE2
32,FRD
33,FPGS_tm
34,H2Ot
35,EX_trp__L_e
36,CITt2r
37,EX_thr__L_e
38,EX_2pg_e
39,FBA2
40,r2532
41,EX_ptd1ino_e
42,PINOS
43,UREA
44,DMGDH
45,EX_csn_e
46,PTD1INOt
47,MCITLmc
48,LAAL36
49,DAGK180
50,DAGK161
51,LAAL35
52,ABUTt4_2_r
53,PHEtec
54,DIPEPabc2c
55,DAGK140
56,TRPILETRPt
57,OROTGLUt
58,GLBRAN
59,ACOADH1
60,P5CD
61,DMBZIDS
62,TRPILETRPr
63,EX_leu__L_e
64,EX_phe__L_e
65,GLPASE2a
66,SMPD3l
67,BHMT
68,r2534
69,PIPLC
70,r0354
71,PGCD
72,PYDXO
73,EX_dhap_e
74,DAGK181
75,PDYXPT_c
76,GABAVESSEC
77,EX_g6p_e
78,FORAMD
79,r2526
80,EX_ser__L_e
81,DAGK120
82,DAGK141
83,MCITS
84,lipid3
85,BETALDHy
86,PRUK
87,RIBabc1
88,ECOAH9ir
89,ABUTt2r
90,FUMt3
91,GNMT
92,ABTA
93,ILEARGILEt
94,SARCOX
95,ASPte
96,LEUtec
97,GLDBRAN
98,GGNG
99,HEX1
100,PSERT
101,CS
102,EX_asn__L_e
103,GAPD
104,METOX1s
105,EX_pail_e
106,TRPt
107,lipid4
108,EX_s7p_e
109,NMNDA
110,MALS
111,SMS
112,FATP3t
113,EX_acgam1p_e
114,EX_pser__L_e
115,NTRIR2y
116,EX_tyrtyr_e
117,ILEtec
118,MACCOAT
119,TYRTYRt
120,GAPP
121,RBPC
122,CEPA
123,EX_ile__L_e
124,EX_acgam6p_e
125,TYRTYRr
126,EX_f6p_e
127,UGP_PGM_c
128,FAO181p_oddc
129,ASPTA6
