,rxns_added
0,EX_g6p_e
1,GLPASE2a
2,PGCD
3,DAGK180
4,SUCDi
5,EX_glyc3p_e
6,r2534
7,PDYXPT_c
8,ARGt2r
9,EX_ala__L_e
10,GLPASE1
11,DAGK141
12,lipid3
13,r2526
14,EX_pail_e
15,ALAALACNc
16,DAGK140
17,EX_thr__L_e
18,PHETHPTOX
19,PTRCTA
20,EX_csn_e
21,TYRTYRt
22,TYRPHETYRt
23,FBA
24,TRPILETRPt
25,G3POc
26,r1557
27,GLYVESSEC
28,EX_trp__L_e
29,ACGAMPM
30,EX_tyrphetyr_e
31,GLDBRAN
32,SULR_1
33,DHPR
34,PHEtec
35,TRPt
36,EX_g1p_e
37,EX_phe__L_e
38,EX_acgam6p_e
39,TYRTYRr
40,METOX1s
41,G3PD4
42,EX_2pg_e
43,G3PD2
44,ASPte
45,EX_metsox_S__L_e
46,TYRPHETYRr
47,NTRIR3ppc
48,UREA
49,EX_trpiletrp_e
50,MALS
51,ICL
52,EX_mal__L_e
53,PINOS
54,ILEARGILEt
55,GLUt4
56,HEX1
57,H2OGLYAQPt
58,EX_s7p_e
59,pail_uptake
60,OCDCAt
61,SBT_Dt
62,r1641
63,EX_asn__L_e
64,GLBRAN
65,PTD1INOt
66,PIPLC
67,FRUt1r
68,EX_ser__L_e
69,ILEARGILEr
70,EX_asp__L_e
71,RBPC
72,PSERT
73,EX_tyrtyr_e
74,GAPD
75,EX_ptd1ino_e
76,r2532
77,EX_f6p_e
78,FBA2
79,TRPILETRPr
80,GLGNS1
81,CITt2r
82,DAGK181
83,ASPTA6
84,PRUK
85,EX_dhap_e
86,DAGK120
87,EX_acgam1p_e
88,CS
89,GGNG
90,DAGK161
91,EX_ileargile_e
92,EX_pser__L_e
93,SBTRph
94,PYDXO
95,UGP_PGM_c
96,ABTA
97,lipid4
