,rxns_added
0,GLYCDy
1,r2532
2,METOX1s
3,EX_indole_e
4,LEUtec
5,AGPAT181
6,AGPAT141
7,NTRIRfx
8,NTD7e
9,EX_phe__L_e
10,DHPR
11,ICDHx
12,GLUSx
13,SBT_Dt
14,TRPt
15,NH4t
16,EX_tyrtyr_e
17,AGPATCOA_PALM_PALM_c
18,TYRPHETYRr
19,EX_metsox_S__L_e
20,GLCS2
21,EX_tyr__L_e
22,EX_dhap_e
23,CO2t
24,r1116
25,FBA3
26,PHETHPTOX
27,EX_acgam1p_e
28,MCITS
29,TSR
30,GLYGS
31,EX_tyrphetyr_e
32,EX_asn__L_e
33,ECOAH9ir
34,EX_acgam6p_e
35,PYDXS
36,EX_trpiletrp_e
37,G3POc
38,G3PAT140_c
39,TYRt
40,PAPSSH
41,EX_pser__L_e
42,PSCVT
43,r2016
44,EX_ala__L_e
45,PIt
46,FRD2
47,FORA
48,GLCDBRAN3
49,ANPRT
50,CITt2r
51,MCITLmc
52,G3PAT141
53,INDOLEt2r
54,TYRPHETYRt
55,G3PAT161
56,AGPAT120
57,ARGt5r
58,G3PAT160_1
59,EX_ileargile_e
60,EX_ptd1ino_e
61,H2Ot
62,ACOAD20
63,EX_g6p_e
64,G3PD2
65,MALTt1r
66,EX_leu__L_e
67,ASPte
68,r2534
69,ILEARGILEr
70,CYSTGLUex
71,SULR
72,CELASE2
73,MACCOAT
74,SULR_2
75,DDPA
76,UREA
77,ILEtec
78,ACAFDOR
79,OCDCAt
80,SO3R
81,AAMYL
82,F6PA
83,ADNt
84,ACGAMPM
85,GLUt2r
86,MMSAD3
87,r1600
88,PTD1INOt
89,ACONT
90,ACOADH1
91,EX_mal__L_e
92,EX_s7p_e
93,PHEtec
94,CYSTBLc
95,PYDXO
96,r2010
97,EX_thr__L_e
98,PRAIi
99,ILEARGILEt
100,PINOS
101,EX_2pg_e
102,PGSA141
103,TRPS2
104,GLNt2r
105,HACD9
106,FRD
107,ASPTA6
108,R07456
109,HISD_c
110,CS
111,AGPATCOA_MYRS_MYRS_c
112,TRPILETRPr
113,NTRIR3ppc
114,SHK3Dr
115,TRPS1
116,AGPAT161
117,G3PAT181
118,ANS2
119,CHORS
120,SHKK
121,TRPILETRPt
122,SBTRph
123,G3PAT180
124,DHQS
125,TYRTYRt
126,EX_f6p_e
127,PSP_L
128,EX_ile__L_e
129,IGPS
130,r2526
131,ARGt2r
132,CYSt2r
133,EX_ser__L_e
134,EX_trp__L_e
135,GLUVESSEC
136,FBA
137,GBEZY
138,lipid4
139,EX_glyc3p_e
140,AGPAT180
141,EX_g1p_e
142,PDYXPT_c
143,SULR_1
144,FBA2
145,ACALDCD
146,EX_csn_e
147,ATPH1e
148,GLYCDx
149,CITACt
150,EX_asp__L_e
151,FRD7
152,NAt5
153,TYRTYRr
154,TGBPA
155,FRUt1r
156,G3PAT120
