,rxns_added
0,SHK3Dr
1,CITt2r
2,PGSA160
3,lipid4
4,AGPAT141
5,SMPD3l
6,EX_ileargile_e
7,BCTAhc
8,DAGCPT
9,TRPILETRPr
10,PETHMT_c
11,AGPAT120
12,IGPS
13,SMS
14,DHPR
15,SUCCt2r
16,PTD1INOt
17,FPGS_tm
18,EX_g6p_e
19,r2019
20,AGPATCOA_STC_OLE_c
21,ASPTA6
22,EX_metsox_S__L_e
23,PGSA181
24,EX_tyr__L_e
25,PETHDMT_c
26,PINOS
27,PGSA141
28,NTRIR3ppc
29,EX_s7p_e
30,EX_thr__L_e
31,GLUt6
32,EX_ser__L_e
33,MCITS
34,r2526
35,r1923
36,AGPATCOA_PALM_PALM_c
37,PLDPE_STC_STC_c
38,TRPt
39,EX_pser__L_e
40,G3PAT1619Z_c
41,THFGLUS
42,MACCOAT
43,G3PAT180
44,SHKK
45,EX_tyrphetyr_e
46,AGPAT180
47,EX_pail_e
48,ACOAD20
49,r2534
50,SO4HCOtex
51,ACHBS
52,G3PAT141
53,EX_leu__L_e
54,HACD9
55,EX_ptd1ino_e
56,EX_trp__L_e
57,AAMYL
58,GLCS2
59,EX_csn_e
60,PHETHPTOX
61,PIPLC
62,ANS2
63,AGPAT181
64,CELASE2
65,TYRPHETYRt
66,ASPte
67,GLBRAN
68,lipid5
69,CHORS
70,EX_ile__L_e
71,ARGt2r
72,ACGAMPM
73,PIt
74,ASNt2r
75,CS
76,PSCVT
77,r1600
78,ILEARGILEt
79,G3PAT120
80,EX_2pg_e
81,TYRPHETYRr
82,TRPILETRPt
83,TRPS1
84,MCITLmc
85,r2532
86,METOX1s
87,GABAVESSEC
88,EX_acgam1p_e
89,GGNG
90,EX_phe__L_e
91,AGPATCOA_HDE_HDE_c
92,LEUtec
93,EX_dhap_e
94,OCDCAt
95,PYDXO
96,PHEtec
97,PETHTMT_c
98,ETHAPT
99,O2t
100,GLPASE2a
101,DHQS
102,ILEtec
103,GLCDBRAN3
104,ILEARGILEr
105,PRAIi
106,KARA2
107,EX_g1p_e
108,UGP_PGM_c
109,GLDBRAN
110,ECOAH9ir
111,DHAD2
112,EX_trpiletrp_e
113,EX_acgam6p_e
114,G3PAT140_c
115,EX_glyc3p_e
116,G3PAT181
117,GLGNS1
118,EX_f6p_e
119,EX_ala__L_e
120,TYRt
121,DDPA
122,EX_mal__L_e
123,UREA
124,G3PAT160_1
125,AGPATCOA_MYRS_MYRS_c
126,pail_uptake
127,GLPASE1
