,rxns_added
0,G5SD
1,EX_ser__L_e
2,GTHRDH_syn
3,EX_asp__L_e
4,EX_tyrphetyr_e
5,acoa_prod10
6,MTHFR5
7,HMR_4701
8,VALVALt
9,H2O2t
10,RBPC
11,ACGKm
12,PNTOte
13,ACChex
14,SUCOAACTr
15,EX_pydxn_e
16,EX_valval_e
17,EX_cyssermet_e
18,TRPILETRPt
19,MCITLmc
20,PTRCOX1
21,SMS
22,PRUK
23,SERTRPHISt
24,HCO3E
25,THFGLUH
26,lipid2
27,PUTA3
28,PGMfc
29,DAGCPT
30,ORNt
31,PTRCTA
32,GLS2
33,ABUTD
34,GLYDHDA
35,AGPRim
36,PRO1xm
37,EX_his__L_e
38,EX_thr__L_e
39,LYSLYSLYSt
40,AMETt
41,ICL
42,EX_leuleu_e
43,SARCOX
44,CHOLD
45,EX_dag_e
46,NDH1_3uc
47,ILEARGILEt
48,FACOAE80
49,PGCD
50,PYDXOR
51,EX_trpiletrp_e
52,PDYXPT_c
53,KARA2
54,GLNt
55,EX_gln__L_e
56,GLU5K
57,EX_glucan1500_e
58,ACOTAim
59,EX_CE5022_e
60,H2OGLYAQPt
61,GLUt4
62,ILEtec
63,METMETILEr
64,ORNt3m
65,ACOAD20
66,POAThc
67,PHETHPTOX
68,UREA
69,EX_leu__L_e
70,lipid1
71,HACD9
72,LYSLYSLYSr
73,EX_gly_e
74,FRD5
75,CITL
76,R07456
77,NCNt
78,FACOAE141
79,EX_propropro_e
80,GLUCAN2abc
81,EX_citr__L_e
82,EX_fum_e
83,EX_glu__L_e
84,EX_pc_SC_e
85,PLBPC_SCe
86,EX_pdx5p_e
87,NTRIR3ppc
88,THRTHRARGr
89,EX_ileargile_e
90,PROPROPROt
91,EX_avite1_e
92,r1116
93,5MTHFt
94,EX_fru_e
95,GTHOXti
96,EX_tyr__L_e
97,AKO
98,H2Ot
99,ALAPAT4te
100,TYRPHETYRt
101,FACOAE60
102,VOR3b
103,BETALDHx
104,EX_glnhishis_e
105,BETALDHy
106,YVITEt
107,LPS
108,EX_atp_e
109,PRO1x
110,SSALx
111,PHEPHEt
112,CBMKr
113,EX_mal__L_e
114,EX_hxan_e
115,EX_succ_e
116,FRUt1r
117,GLNHISHISt
118,EX_ala__L_e
119,TYRPHETYRr
120,LAAL35
121,GTHRDt2
122,CO2t
123,EX_tag_e
124,O2tm
125,ARTPLM1
126,ORNTACim
127,SSALy
128,VALVALr
129,EX_ipdp_e
130,LIPOti_1
131,ILEARGILEr
132,EX_val__L_e
133,SULO
134,ALCD19
135,TRPILETRPr
136,EX_argarg_e
137,EX_pnto__R_e
138,HISD_c
139,CYSTBLc
140,OAAtmt
141,O2t
142,FBA3
143,EX_asn__L_e
144,L_LACt2r
145,DIPEPabc9c
146,ARGARGr
147,P5CD
148,PYDXO
149,GLS2e
150,SERTRPHISr
151,D_LACDHmc
152,PHEPHEr
153,CITt4_1
154,CITt4_4
155,LEULEULAPc
156,G5SADs
157,EX_pc_e
158,CITabc
159,EX_lys__L_e
160,EX_sertrphis_e
161,CYSSERMETr
162,METGL
163,CYSLY3
164,SMPD3l
165,EX_phephe_e
166,EX_amet_e
167,CYSSERMETt
168,ASPTA
169,HMR_4700
170,r1934
171,EX_metmetile_e
172,TRPAS1
173,4ABUTD
174,EX_lipoate_e
175,GAT_c
176,FldAct
177,PPS
178,METS_1
179,ECOAH9ir
180,EX_ile__L_e
181,PROPROPROr
182,GLNHISHISr
183,EX_5mthf_e
184,PSERT
185,ARGt5r
186,DHAD2
187,THRTHRARGt
188,r1677
189,GLYO1
190,BHMT
191,MACCOAT
192,FBA
193,EX_arg__L_e
194,R_group_phosphotase_1
195,EX_phe__L_e
196,FACOAE120
197,FDMO2
198,ARTCOAL1
199,CITt2r
200,GLYVESSEC
201,EX_coa_e
202,METMETILEt
203,CITACt
204,P5CDm
205,FAO182p_oddoddc
206,r1914
207,TOCOPHOM1
208,GTHPe
209,PPDK
210,FRD
211,ASPTA6
212,EX_cys__L_e
213,EX_yvite_e
214,OCT
215,PCt
216,FACOAE100
217,5FTHFt2_1
218,TYRt
219,FDH7
220,PSP_L
221,LEULEUPEPT1tc
222,LDH_D
223,EX_trp__L_e
224,MTHFR
225,FAO181p_oddc
226,G3PCt
227,HYXNt
228,MSULR
229,ARGARGt
230,MALS
231,PGMmc
232,CYStec
233,PROtm
234,EX_thrthrarg_e
235,EX_5fthf_e
236,FBAhc
237,EX_lyslyslys_e
238,ACHBS
239,OCDCYAt
240,araphe2
241,r0398
242,TSULR3e
