,rxns_added
0,O2tm
1,LYSLYSLYSt
2,FACOAE100
3,PCt
4,EX_val__L_e
5,EX_pc_SC_e
6,EX_lyslyslys_e
7,CYSLY3
8,SERTRPHISr
9,PRO1x
10,EX_lys__L_e
11,MTHFR
12,VOR3b
13,araphe2
14,GTHOXti
15,GLNt
16,ARGARGt
17,CBMKr
18,ORNt3m
19,NDH1_3uc
20,EX_pc_e
21,EX_amet_e
22,EX_pdx5p_e
23,ARTCOAL1
24,SMS
25,DAGCPT
26,r0085
27,SSALy
28,NTRIR3ppc
29,PPDK
30,OCT
31,CHOLD2
32,SSALx
33,PHEPHEr
34,EX_glnhishis_e
35,ICL
36,EX_fru_e
37,EX_avite1_e
38,r0156
39,EX_valval_e
40,YVITEt
41,G5SD2
42,POAThc
43,GLNHISHISt
44,EX_ser__L_e
45,FAO181p_oddc
46,GTHRDt2
47,TRPILETRPt
48,SUCOAACTr
49,EX_his__L_e
50,EX_leu__L_e
51,HISD_c
52,BETALDHx
53,GAT_c
54,EX_succ_e
55,HACD9
56,EX_citr__L_e
57,PPS
58,ACOTAim
59,CYSTBLc
60,GLYVESSEC
61,FDMO2
62,CITt4_1
63,H2OGLYAQPt
64,AKO
65,SMPD3l
66,L_LACt2r
67,HYXNt
68,D_LACDHmc
69,METMETILEt
70,LDH_D
71,PRO1xm
72,EX_metmetile_e
73,PROtm
74,METGL
75,ACHBS
76,5MTHFt
77,EX_tag_e
78,PGMfc
79,BETALDHy
80,G5SD
81,PROPROPROt
82,SARCOX
83,PUTA3
84,PRUK
85,PTRCOX1
86,EX_5mthf_e
87,THFGLUH
88,EX_pnto__R_e
89,FACOAE80
90,GLNHISHISr
91,KARA2
92,CITt4_4
93,TYRt
94,PHETHPTOX
95,FBAfc
96,r1116
97,EX_CE5022_e
98,AGPRim
99,HMR_4701
100,ORNTACim
101,EX_glu__L_e
102,EX_hxan_e
103,EX_lipoate_e
104,FACOAE120
105,FACOAE60
106,HMR_4700
107,ECOAH9ir
108,TRPILETRPr
109,FldAct
110,ARGARGr
111,LEULEUPEPT1tc
112,R07456
113,EX_dag_e
114,EX_argarg_e
115,CYSSERMETr
116,METMETILEr
117,EX_ile__L_e
118,ASPTA6
119,HCO3E
120,FRD5
121,EX_tyrphetyr_e
122,r0398
123,EX_pydxn_e
124,ALAPAT4te
125,CYSSERMETt
126,FDH7
127,EX_gly_e
128,PNTOte
129,SULO
130,CO2t
131,EX_thr__L_e
132,FBA
133,TYRPHETYRt
134,EX_yvite_e
135,ILEtec
136,PGCD
137,UREA
138,PYDXOR
139,EX_leuleu_e
140,OCDCYAt
141,EX_phe__L_e
142,LIPOti
143,GLS2e
144,ORNt
145,CITt2r
146,GLS2
147,EX_phephe_e
148,r1934
149,METS
150,EX_fum_e
151,CITL
152,GTHPe
153,EX_asp__L_e
154,CYSTGLUex
155,GLYDHDA
156,EX_sertrphis_e
157,LYSLYSLYSr
158,G5SADs
159,RBPC
160,FBA3
161,THRTHRARGr
162,MALS
163,BHMT
164,THRTHRARGt
165,H2O2t
166,EX_coa_e
167,MCITLmc
168,EX_arg__L_e
169,ACOAD20
170,PYDXO
171,ARTPLM1
172,EX_glucan1500_e
173,EX_cys__L_e
174,EX_mal__L_e
175,FRD7
176,EX_trp__L_e
177,DHAD2
178,MSULR
179,PSP_L
180,PTRCTA
181,R_group_phosphotase_1
182,CITt3
183,5FTHFt2_1
184,ACGKm
185,acoa_prod10
186,FACOAE141
187,ALCD19
188,AMETt
189,PHEPHEt
190,ASPTA
191,ILEARGILEr
192,ABUTD
193,ACChex
194,ILEARGILEt
195,EX_cyssermet_e
196,EX_atp_e
197,EX_gln__L_e
198,EX_ala__L_e
199,ALAGLYexR
200,G3PCt
201,EX_5fthf_e
202,P5CDm
203,EX_tyr__L_e
204,PSERT
205,MACCOAT
206,r1914
207,LPS
208,LEULEULAPc
209,CHOLD
210,TOCOPHOM1
211,EX_trpiletrp_e
212,H2Ot
213,EX_propropro_e
214,FRUt1r
215,TSULR3e
216,4ABUTD
217,TYRPHETYRr
218,SERTRPHISt
219,GLUCAN2abc
220,VALVALr
221,EX_thrthrarg_e
222,GLU5K
223,MTHFR5
224,NCNt
225,GLYO1
226,ALCD19y
227,EX_ipdp_e
228,EX_asn__L_e
229,PROPROPROr
230,OAAtmt
231,ARGt5r
232,CITACt
233,VALVALt
234,HMR_4957
235,GTHRDH_syn
236,EX_ileargile_e
237,CYStec
238,CYSDS
239,PDYXPT_c
240,lipid2
241,lipid1
242,O2t
243,PLBPC_SCe
244,P5CD
