,rxns_added
0,PHEPHEr
1,EX_ile__L_e
2,TYRPHETYRr
3,PSERT
4,LEULEULAPc
5,EX_lys__L_e
6,EX_ileargile_e
7,HSDxi
8,EX_citr__L_e
9,GLNHISHISr
10,ARGARGt
11,PDYXPT_c
12,EX_coa_e
13,OCBT
14,O2tmt
15,G3PCabcppc
16,METS_1
17,FRUpts
18,EX_hxan_e
19,PGCD
20,EX_lipoate_e
21,CYStec
22,L_LACt4r_2
23,SHSL2r
24,ORNt3m
25,METMETILEr
26,HYXNt
27,ASPK
28,EX_glu__L_e
29,ILEARGILEr
30,R07456
31,HSST
32,FACOAE80
33,GLNt
34,r2028
35,EX_pnto__R_e
36,EX_val__L_e
37,r0398
38,lipid2
39,EX_valval_e
40,EX_tag_e
41,TOCOPHOM1
42,EX_pc_SC_e
43,ARGARGMETr
44,r1116
45,FBA
46,THFGLUH
47,PYDXO
48,FAO181p_evenc
49,TYRt
50,ARGSS_1
51,EX_pdx5p_e
52,ICL
53,HXAt3
54,YVITEt
55,EX_5fthf_e
56,LYSLYSLYSr
57,5FTHFt
58,METMETILEt
59,ACOTAim
60,FRUt1r
61,AMETt
62,EX_phe__L_e
63,EX_succ_e
64,ARGSL
65,HMR_4701
66,HMT
67,FACOAE60
68,ORNCD
69,SMPD3l
70,EX_gly_e
71,EX_cys__L_e
72,FAO80pc
73,MTHFR
74,R_group_phosphotase_1
75,ORNt
76,EX_fum_e
77,EX_dag_e
78,EX_ser__L_e
79,SARCOX
80,FACOAE141
81,HACD9
82,GLNHISHISt
83,5MTHFt
84,HMR_4957
85,SO4HCOtex
86,EX_ins_e
87,RTOT3nhs
88,SMS
89,CITt2r
90,ORNTACim
91,EX_glnhishis_e
92,CITt3
93,FAO182p_oddoddc
94,MACCOAT
95,O2tm
96,ARGt5r
97,THRS
98,EX_pc_e
99,PLBPC_SCe
100,GLYO1
101,BHMT
102,HSERTA
103,GLUABUTt7
104,ILEtec
105,VALVALt
106,ACOAD20
107,lipid1
108,EX_ipdp_e
109,EX_yvite_e
110,EX_arg__L_e
111,EX_leuleu_e
112,ACChex
113,EX_ala__L_e
114,ACGKm
115,MCITLmc
116,EX_asp__L_e
117,EX_phephe_e
118,PGLc
119,EX_tyrphetyr_e
120,EX_amet_e
121,NH4t
122,EX_CE5022_e
123,r1544
124,TRPILETRPt
125,BETALDHy
126,FAO141p_oddc
127,GTHRDt2
128,HMR_9608
129,THRTHRARGr
130,IMPtr
131,EX_argarg_e
132,EX_argargmet_e
133,ALAPAT4te
134,EX_his__L_e
135,ASADHc
136,LEULEUPEPT1tc
137,OCDCYAt
138,ARGARGr
139,NTRIR4ppc
140,PCt
141,PHEPHEt
142,ARTFR31nhs
143,H2OGLYAQPt
144,EX_gln__L_e
145,EX_mal__L_e
146,ADNt
147,EX_thrthrarg_e
148,FACOAE100
149,AMPt
150,GLYVESSEC
151,L_LACt2r
152,FAO181p_oddc
153,HSK
154,ECOAH9ir
155,CYSTBLc
156,EX_asn__L_e
157,r1914
158,ALCD19y
159,EX_thr__L_e
160,SUCOAACTr
161,EX_adn_e
162,EX_5mthf_e
163,AGPRim
164,TRPILETRPr
165,DAGCPT
166,NH4t3r
167,THRTHRARGt
168,EX_trp__L_e
169,NTRIR3ppc
170,FAO3
171,3HCO3_NAt
172,VALVALr
173,MALS
174,ARGARGMETt
175,GTHRDH_syn
176,EX_leu__L_e
177,ILEARGILEt
178,FBA3
179,PNTOte
180,LYSLYSLYSt
181,ASPTA
182,EX_lyslyslys_e
183,FBAfc
184,TYRPHETYRt
185,EX_trpiletrp_e
186,MDHm
187,PYR5CDmc
188,HMR_4700
189,INSt
190,PYDXOR
191,EX_tyr__L_e
192,ATPH1e
193,CHOLD
194,EX_metmetile_e
195,EX_pydxn_e
196,EX_avite1_e
197,PHETHPTOX
198,AKO
