,rxns_added
0,PHETHPTOX
1,r1914
2,EX_CE5022_e
3,LEULEUPEPT1tc
4,EX_val__L_e
5,EX_cys__L_e
6,EX_lipoate_e
7,EX_phe__L_e
8,r1116
9,PSERT
10,TYRt
11,OAAtmt
12,ALCD19y
13,FBA3
14,EX_tag_e
15,EX_gly_e
16,EX_avite1_e
17,EX_pdx5p_e
18,EX_metmetile_e
19,YVITEt
20,FAO3
21,EX_ipdp_e
22,ASADHc
23,FAO141p_oddc
24,HMR_4701
25,EX_5fthf_e
26,ORNCD
27,EX_mal__L_e
28,PHEPHEr
29,EX_lys__L_e
30,ARGSS
31,lipid1
32,H2OGLYAQPt
33,TRPILETRPr
34,DPCOAPPe
35,GTHRDt2
36,FRUt1r
37,AKO
38,GLUPROASCT1
39,PYDXO
40,GTHRDH_syn
41,TYRPHETYRr
42,FAO181p_oddc
43,EX_thrthrarg_e
44,NH4ti
45,EX_argarg_e
46,EX_succ_e
47,SMPD3l
48,VALVALt
49,EX_phephe_e
50,RTOT3nhs
51,MACCOAT
52,ACOAD20
53,FACOAE141
54,ICL
55,PCt
56,THRTHRARGt
57,3HCO3_NAt
58,TYRPHETYRt
59,AMPt
60,SO4HCOtex
61,EX_adn_e
62,PYDXOR
63,ALAPAT4te
64,EX_citr__L_e
65,EX_ile__L_e
66,ARGSL
67,EX_leu__L_e
68,R_group_phosphotase_1
69,ILEtec
70,ARGARGMETt
71,GLNHISHISt
72,MCITLmc
73,PYR5CDmc
74,HSK
75,ILEARGILEt
76,FBAfc
77,ARGARGt
78,ACOTAim
79,GLNHISHISr
80,HACD9
81,MTHFR
82,EX_asn__L_e
83,EX_tyrphetyr_e
84,EX_ins_e
85,FAO182p_oddoddc
86,ORNt
87,PGCD
88,EX_gln__L_e
89,NTRIR4ppc
90,ARGARGMETr
91,EX_asp__L_e
92,r2040
93,CYSTBLc
94,OCT
95,PLBPC_SCe
96,5FTHFt2_1
97,EX_pnto__R_e
98,ARGt5r
99,OCDCYAt
100,5MTHFt
101,NH4t
102,EX_valval_e
103,SMS
104,LEULEULAPc
105,SARCOX
106,EX_trpiletrp_e
107,GLNt
108,THRTHRARGr
109,EX_fum_e
110,MALS
111,AMETt
112,INSt
113,METMETILEr
114,lipid2
115,FACOAE80
116,ORNTACim
117,EX_yvite_e
118,ADNt
119,FBA
120,SUCOAACTr
121,CITt2r
122,BHMT
123,EX_glu__L_e
124,GLYO1
125,CYStec
126,NTRIR3ppc
127,EX_leuleu_e
128,EX_arg__L_e
129,EX_argargmet_e
130,EX_coa_e
131,R07456
132,EX_ala__L_e
133,ACChex
134,IMPtr
135,HSST
136,ILEARGILEr
137,r2028
138,EX_tyr__L_e
139,EX_hxan_e
140,r0398
141,ECOAH9ir
142,METMETILEt
143,TRPILETRPt
144,TOCOPHOM1
145,EX_glnhishis_e
146,BETALDHy
147,EX_his__L_e
148,O2tmt
149,EX_pydxn_e
150,PDYXPT_c
151,ARGARGr
152,HXAt
153,ARTFR31nhs
154,L_LACt4r_2
155,PHEPHEt
156,THFGLUH
157,HMT
158,EX_thr__L_e
159,HMR_4700
160,LIPOti_1
161,THRS
162,EX_pc_e
163,L_LACt2r
164,FACOAE60
165,EX_5mthf_e
166,EX_ser__L_e
167,VALVALr
168,PNTOte
169,EX_ileargile_e
170,ORNt3m
171,FACOAE100
172,FAO80pc
173,CHOLD
174,LYSLYSLYSt
175,HSERTA
176,HSDxi
177,ASPTA
178,EX_lyslyslys_e
179,EX_amet_e
180,EX_trp__L_e
181,PGLc
182,ACGKm
183,AGPRim
184,SHSL2
185,LYSLYSLYSr
186,EX_dag_e
187,ASPK
188,EX_pc_SC_e
189,O2tm
190,HYXNt
191,MDHm
192,DAGCPT
193,GLYVESSEC
194,G3PCt
195,METS
