,rxns_added
0,EX_tyr__L_e: tyr__L_e <=> 
1,ICL: icit_c --> glx_c + succ_c
2,O2tm: o2_c --> o2_m
3,SUCOAACTr: ac_c + succoa_c --> accoa_c + succ_c
4,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
5,CHORM: chor_c --> pphn_c
6,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
7,CO2t: co2_e <=> co2_c
8,H2Ot: h2o_e <=> h2o_c
9,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
10,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
11,H2O2t: h2o2_e <=> h2o2_c
12,GTHRDH_syn: gthrd_c + h2o_c --> cgly_c + glu__L_c
13,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
14,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
15,DHQS: 2dda7p_c --> 3dhq_c + pi_c
16,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
17,GTHOXti: gthox_e --> gthox_c
18,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
19,TRPAS1: cys__L_c + h2o_c --> h2s_c + h_c + nh4_c + pyr_c
20,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
21,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
22,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
23,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
24,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
25,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
26,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
27,TYRt: tyr__L_e --> tyr__L_c
28,ACOTAim: acg5sa_m + glu__L_m --> acorn_m + akg_m
29,SSALx: h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c
30,ORNTACim: acorn_m + glu__L_m --> acglu_m + orn_m
31,HMR_4957: cit_m --> cit_c
32,P5CDm: 1pyr5c_m + 2.0 h2o_m + nad_m --> glu__L_m + h_m + nadh_m
33,ORNt3m: h_c + orn_m --> h_m + orn_c
34,FAO10: atp_c + 9.0 coa_c + 7.0 fad_c + 8.0 h2o_c + 8.0 nad_c + ocdcea_c --> 9.0 accoa_c + amp_c + 7.0 fadh2_c + 8.0 h_c + 8.0 nadh_c + ppi_c
35,P5CD: 1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c
36,AGPRim: acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m
