,rxns_added
0,METS_1
1,SSALy
2,ALCD19y
3,EX_asn__L_e
4,GLNt
5,EX_thrthrarg_e
6,ILEARGILEt
7,ACOAD20
8,PGCD
9,CYSLY3
10,PGMmc
11,THRTHRARGt
12,LPS
13,CYSSERMETr
14,G5SD
15,EX_5fthf_e
16,GLNHISHISr
17,EX_lys__L_e
18,EX_sertrphis_e
19,ICL
20,EX_pc_e
21,YVITEt
22,ARTPLM1
23,GLUCAN2abc
24,FBAfc
25,PTRCOX1
26,SERTRPHISr
27,HYXNt
28,PSP_L
29,FldAct
30,PPDK
31,TYRPHETYRr
32,ARGARGr
33,UREA
34,CITL
35,MALS
36,RBPC
37,5FTHFt2_1
38,EX_lyslyslys_e
39,TRPAS1
40,ORNTACim
41,FACOAE80
42,r0156
43,ARGt5r
44,EX_yvite_e
45,EX_pydxn_e
46,FACOAE60
47,GLYDHDA
48,EX_gly_e
49,MACCOAT
50,EX_fum_e
51,TOCOPHOM1
52,EX_pnto__R_e
53,ACGKm
54,EX_ala__L_e
55,MTHFR5
56,BETALDHx
57,OAAtmt
58,PROtm
59,FBA3
60,EX_ileargile_e
61,H2O2t
62,PHEPHEr
63,O2t
64,EX_CE5022_e
65,NAt5
66,AMETt
67,G3PCt
68,EX_succ_e
69,GTHOXti
70,PRO1x
71,GLYO1
72,GLU5K
73,acoa_prod10
74,ABUTD
75,EX_avite1_e
76,EX_pdx5p_e
77,r1934
78,VALVALt
79,MSULR
80,CO2t
81,lipid1
82,EX_metmetile_e
83,CYSSERMETt
84,TYRt
85,EX_ipdp_e
86,AKO
87,P5CD
88,EX_his__L_e
89,r0085
90,EX_tyrphetyr_e
91,GLUt2r
92,LYSLYSLYSt
93,CYSTBLc
94,EX_tyr__L_e
95,CBMKr
96,SARCOX
97,PYDXOR
98,ALAPAT4te
99,HMR_4700
100,EX_ile__L_e
101,HMR_4701
102,FRUt1r
103,TSULR3e
104,DHAD2
105,PUTA3
106,EX_citr__L_e
107,FDMO2
108,THRTHRARGr
109,EX_val__L_e
110,EX_5mthf_e
111,EX_glnhishis_e
112,EX_dag_e
113,ILEARGILEr
114,PCt
115,5MTHFt
116,FBA
117,ECOAH9ir
118,PLBPC_SCe
119,BETALDHy
120,EX_fru_e
121,GLS2
122,THFGLUH
123,GTHPe
124,EX_cyssermet_e
125,G5SADs
126,HISD_c
127,H2Ot
128,H2OGLYAQPt
129,ALCD19
130,SMPD3l
131,PROPROPROt
132,FRD7
133,EX_atp_e
134,FACOAE100
135,GTHRDt2
136,HMR_4957
137,MTHFR
138,CITt3
139,NDH1_3uc
140,EX_argarg_e
141,NTRIR3ppc
142,EX_arg__L_e
143,PSERT
144,PRUK
145,SUCOAACTr
146,SMS
147,LYSLYSLYSr
148,EX_amet_e
149,GLNHISHISt
150,SSALx
151,HCO3E
152,EX_thr__L_e
153,EX_lipoate_e
154,O2tmt
155,GLYVESSEC
156,PDYXPT_c
157,PGMfc
158,CITt4_1
159,EX_leu__L_e
160,P5CDm
161,lipid2
162,EX_cys__L_e
163,GLS2e
164,GTHRDH_syn
165,TRPILETRPt
166,EX_asp__L_e
167,FACOAE141
168,GAT_c
169,FACOAE120
170,METGL
171,HACD9
172,OCDCYAt
173,4ABUTD
174,D_LACDHmc
175,POAThc
176,R07456
177,EX_gln__L_e
178,EX_glucan1500_e
179,VALVALr
180,ACChex
181,CITt2r
182,r1914
183,PRO1xm
184,TRPILETRPr
185,ARTCOAL1
186,ACHBS
187,ILEtec
188,PTRCTA
189,ACOTAim
190,PYDXO
191,CYStec
192,AGPRim
193,SERTRPHISt
194,HMR_9608
195,PHETHPTOX
196,PHEPHEt
197,EX_pc_SC_e
198,O2tm
199,EX_leuleu_e
200,EX_valval_e
201,LEULEULAPc
202,ASPTA
203,FRDx
204,TYRPHETYRt
205,OCT
206,METMETILEr
207,VOR3b
208,PPS
209,EX_coa_e
210,EX_tag_e
211,CITACt
212,L_LACt4r
213,CHOLD
214,FDH7
215,KARA2
216,R_group_phosphotase_1
217,FAO181p_oddc
218,ASPTA6
219,EX_phephe_e
220,EX_hxan_e
221,EX_trp__L_e
222,ARGARGt
223,EX_ser__L_e
224,PNTOte
225,DAGCPT
226,r1116
227,LEULEUPEPT1tc
228,SULO
229,ORNt3m
230,MCITLmc
231,PROPROPROr
232,LDH_D
233,METMETILEt
234,r0398
235,L_LACt2r
236,BHMT
237,ORNt
238,EX_mal__L_e
239,EX_trpiletrp_e
240,araphe2
241,r1992
242,EX_propropro_e
243,EX_glu__L_e
244,EX_phe__L_e
