,rxns_added
0,EX_glu__L_e: glu__L_e <=> 
1,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
2,O2tmt: o2_m <=> o2_c
3,PPS: atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
4,PRO1y: nadp_c + pro__L_c --> 1pyr5c_c + 2.0 h_c + nadph_c
5,P5CD: 1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c
6,GLUt2r: glu__L_e + h_e <=> glu__L_c + h_c
7,EX_dag_e: dag_e <=> 
8,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
9,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
10,PAPA141: h2o_c + pa141_c --> 12dgr141_c + pi_c
11,H2Ot: h2o_e <=> h2o_c
12,PAPA181: h2o_c + pa181_c --> 12dgr181_c + pi_c
13,r2444: ddca_e --> ddca_c
14,PAPA120: h2o_c + pa120_c --> 12dgr120_c + pi_c
15,PAPA160: h2o_c + pa160_c --> 12dgr160_c + pi_c
16,PAPA140: h2o_c + pa140_c --> 12dgr140_c + pi_c
17,FACOAE141: h2o_c + tdecoa_c --> coa_c + h_c + ttdcea_c
18,PAPA161: h2o_c + pa161_c --> 12dgr161_c + pi_c
19,lipid3: dag_c <=> 12dgr120_c + 12dgr140_c + 12dgr141_c + 12dgr160_c + 12dgr161_c + 12dgr180_c + 12dgr181_c
20,ACChex: coa_c + h_c + hexc_c --> h2o_c + hexccoa_c
21,ALCD19y: glyald_c + h_c + nadph_c <=> glyc_c + nadp_c
22,TSR: h2_c + tsul_c --> h2s_c + so3_c
23,PAPA180: h2o_c + pa180_c --> 12dgr180_c + pi_c
24,TSULR3e: 2.0 gthrd_c + tsul_c --> gthox_c + h2s_c + so3_c
25,EX_lys__L_e: lys__L_e <=> 
26,FAO10: atp_c + 9.0 coa_c + 7.0 fad_c + 8.0 h2o_c + 8.0 nad_c + ocdcea_c --> 9.0 accoa_c + amp_c + 7.0 fadh2_c + 8.0 h_c + 8.0 nadh_c + ppi_c
27,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
28,PUTA3: glu5sa_c + h2o_c + nad_c --> glu__L_c + 2.0 h_c + nadh_c
29,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
30,CO2t: co2_e <=> co2_c
31,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
32,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
33,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
34,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
35,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
36,CO2tmt: co2_m <=> co2_c
37,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
38,HACNHm: b124tc_m + h2o_m --> hicit_m
39,O2tm: o2_c --> o2_m
40,AKG_na_tm: akg_c + na1_c --> akg_m + na1_m
41,ACChex: coa_c + h_c + hexc_c --> h2o_c + hexccoa_c
42,PRO1x: nad_c + pro__L_c --> 1pyr5c_c + 2.0 h_c + nadh_c
43,MCITDm: hcit_m --> b124tc_m + h2o_m
44,AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c
45,P5CD: 1pyr5c_c + 2.0 h2o_c + nad_c --> glu__L_c + h_c + nadh_c
46,ORNt: orn_e --> orn_c
