,rxns_added
0,EX_man_e
1,PTRCTA
2,GPDDA3
3,ARTPLM1
4,VALtec
5,FAOXC80
6,PNTOte
7,GLUDC
8,TSR
9,EX_spmd_e
10,LIPOti
11,SO4CLtex
12,ORNTACim
13,TSULR3e
14,CITt2r
15,EX_crm_e
16,FAOXC1811603m
17,EX_lipoate_e
18,CHOLK
19,EX_trp__L_e
20,TRPt
21,ACGKm
22,EX_gal__L_e
23,SPRMt2i
24,ARGDI
25,NODOy
26,EX_4abut_e
27,PROtm_1
28,ASAPTc
29,DSAT
30,EX_pyr_e
31,ARGSS
32,EX_asp__L_e
33,GLYCt
34,EX_ser__L_e
35,MANt1r
36,EX_cit_e
37,PUTA3
38,HMR_9805
39,ARGSL
40,P5CDm
41,EX_citr__L_e
42,2_7_8_3
43,EX_chsterol_e
44,EX_sprm_e
45,EX_sphmyln_e
46,SO4HCOtex
47,HMR_4957
48,PYDXO
49,HCO3E
50,DHCRD2
51,DHCRD1
52,MGSA
53,SPRMti
54,SPHMYLNt
55,ETHAt
56,SPMS
57,r0817
58,EX_val__L_e
59,CBMKr
60,ARTFR42_cho
61,AGPRim
62,lipid2
63,EX_ala__L_e
64,EX_fum_e
65,ARTFR41_cho
66,CLFORtex
67,ACOAR7mc
68,EX_etha_e
69,EX_mal__L_e
70,EX_lac__L_e
71,HISD_c
72,r2526
73,LALDO3
74,MALS
75,EX_pnto__R_e
76,OCT
77,RTOT4_cho
78,EX_glu__L_e
79,ICL
80,ORNt3m
81,FORAMD
82,FE3DCITexs
83,ARGN
84,EX_succ_e
85,r1467
86,UREA
87,CHOLESTTDe
