,rxns_added
0,EX_succ_e
1,DSAT
2,SPRMti
3,OXGDC
4,ORNt
5,EX_asp__L_e
6,GLUDC
7,MANt1r
8,TRPt
9,EX_crm_e
10,CHOLK
11,DHCRD1
12,2_7_8_3
13,EX_fum_e
14,EX_ser__L_e
15,EX_ala__L_e
16,SPHMYLNt
17,EX_man_e
18,EX_val__L_e
19,EX_mal__L_e
20,EX_glu__L_e
21,lipid2
22,VALtec
23,EX_gal__L_e
24,EX_trp__L_e
25,ARGARGt
26,HMR_9608
27,FRD2
28,PYDXO
29,EX_4abut_e
30,CHOLESTTDe
31,PTRCTA
32,EX_orn_e
33,r0817
34,EX_argarg_e
35,EX_lac__L_e
36,ARGARGr
37,EX_chsterol_e
38,CSPMDDC
39,CSPMDDH
40,EX_sprm_e
41,EX_citr__L_e
42,EX_pnto__R_e
43,EX_sphmyln_e
44,PNTOte
45,EX_pyr_e
46,ETHAt
47,EX_lipoate_e
48,EX_etha_e
