,rxns_added
0,MANt1r
1,EX_man_e
2,EX_crm_e
3,DHCRD1
4,EX_sprm_e
5,DSAT
6,ARGARGt
7,EX_asp__L_e
8,PNTOte
9,TRPt
10,GLUDC
11,CSPMDDC
12,PYDXO
13,CHOLESTTDe
14,EX_gal__L_e
15,EX_cit_e
16,CSPMDDH
17,ARGARGr
18,EX_etha_e
19,EX_pnto__R_e
20,EX_orn_e
21,EX_chsterol_e
22,SPRMti
23,EX_4abut_e
24,EX_lac__L_e
25,HMR_9805
26,HMR_9608
27,EX_mal__L_e
28,ORNt
29,2_7_8_3
30,EX_trp__L_e
31,EX_succ_e
32,PTRCTA
33,EX_argarg_e
34,EX_lipoate_e
35,EX_citr__L_e
36,r0817
37,SPHMYLNt
38,EX_fum_e
39,EX_val__L_e
40,OXGDC
41,EX_ala__L_e
42,VALtec
43,EX_ser__L_e
44,EX_pyr_e
45,EX_sphmyln_e
46,FRD2
47,lipid2
