,rxns_added
0,ARGARGr
1,EX_ala__L_e
2,SPRMti
3,EX_sphmyln_e
4,PYDXO
5,ARGDI
6,DSAT
7,LALDO3
8,TRPt
9,ORNt
10,CHOLESTTDe
11,ARGARGt
12,EX_succ_e
13,ACGKm
14,EX_fum_e
15,EX_asp__L_e
16,EX_sprm_e
17,EX_pyr_e
18,ARTPLM1
19,2_7_8_3
20,UREA
21,EX_gal__L_e
22,FE3DCITexs
23,r2526
24,LIPOti
25,HMR_4957
26,ACOAR7mc
27,EX_crm_e
28,RTOT4_cho
29,PTRCTA
30,SO4HCOtex
31,ASAPTc
32,ORNTACim
33,EX_mal__L_e
34,ICL
35,GLYCt
36,r0817
37,TSULR3e
38,MANt1r
39,EX_trp__L_e
40,SPRMt2i
41,PNTOte
42,EX_val__L_e
43,DHCRD1
44,EX_lipoate_e
45,EX_orn_e
46,GPDDA3
47,MALS
48,EX_lac__L_e
49,NODOy
50,ORNt3m
51,EX_ser__L_e
52,ARGN
53,GLUDC
54,CHOLK
55,EX_pnto__R_e
56,EX_etha_e
57,SPHMYLNt
58,lipid2
59,EX_spmd_e
60,ARTFR41_cho
61,ASNGLNNaEx
62,VALtec
63,EX_cit_e
64,DHCRD2
65,MGSA
66,HCO3E
67,ETHAt
68,CITt2r
69,EX_argarg_e
70,AGPRim
71,EX_4abut_e
72,EX_man_e
73,EX_chsterol_e
74,SPMS
75,EX_citr__L_e
76,HMR_9805
