,rxns_added
0,ALAD_L
1,RPE_pf
2,EX_lipoate_e
3,4HBCOAH
4,TTDCPT2
5,FAO1
6,EX_pdima_e
7,ACACT6r
8,GLYCLTDy
9,LGTHL
10,ADK1
11,HXCT
12,EX_pnto__R_e
13,ACCOAtm_1
14,EX_etha_e
15,LEUtec
16,HMR_0180
17,XYLI2
18,ECOAH5
19,ARACHTA
20,MALS
21,EX_val__L_e
22,PREPHACPH
23,PHTHS
24,ACOTAim
25,MTHFR5
26,P5CDm
27,ECOAH3
28,FASm240
29,EX_glucan1500_e
30,FRD7
31,ACOAR7mc
32,SUCDi
33,FAOXC140
34,CYOR_q8_mc
35,ACOAR3mc
36,GCLDHc
37,SPRMti
38,OCOAT3r
39,CYTBO3
40,FAS180COA
41,ATP_3h_tm
42,SUCptspp_1
43,ICL
44,HMR_4701
45,MDH4
46,SMPD3l_host
47,EX_tartr__L_e
48,PYDXO
49,LPS
50,EX_sprm_e
51,HISGLUGLNt
52,ACOAH
53,MDHm
54,SER_AL
55,FRUt1r
56,HMR_0200
57,PHTHDLS
58,GLNtm
59,SUCCtmt
60,CHOLESTTDe
61,EX_trp__L_e
62,MANt1r
63,EX_gal__L_e
64,ACCOAhic
65,SBP
66,TRDRf
67,ARGN
68,EX_fum_e
69,SUCOASm
70,SULR_1
71,SPHMYLNt
72,EX_cit_e
73,OOR3r
74,ASPTA6
75,HACD2
76,PKETF
77,C226CPT1
78,CHLPCTD
79,CYOO3
80,FASm220
81,CEPTCnhs
82,PI45BPP
83,ARGGLUGLUr
84,HCO3E
85,r2386
86,TTDCRNt
87,FAS200
88,MALtm
89,EX_hisglugln_e
90,HMR_2611
91,GluForTx
92,RE0567C
93,HMR_4700
94,CRNtim
95,EX_arggluglu_e
96,EX_lipid_c
97,CKc_cho
98,HACD6
99,NADHNQRc
100,ASPTA
101,EX_lac__L_e
102,TRSARr
103,NADH2_u10m
104,FDH7
105,ATP2t_m
106,EX_fru_e
107,ACACT2r
108,CODH_ACS
109,GLS2e
110,ACONTa
111,MTHFD
112,ASPT
113,PYDXS
114,PROPROARGr
115,MALSm
116,EX_aspasnglu_e
117,PPItm
118,SPODMm
119,LCADi
120,O2Stm
121,ARGARGt
122,CRVNCtr
123,ACONTb
124,r1467
125,HISDr
126,ARGt5r
127,PRO1xm
128,G6PDH1
129,GACMTRc
130,PIN4K
131,YUMPS
132,NADPt2_c
133,PPA_1
134,EX_leu__L_e
135,OOR2r
136,ACOAD2
137,GLUDy_pf
138,EX_asp__L_e
139,FRD
140,EX_spmd_e
141,EX_chsterol_e
142,PREPTHS
143,EX_gluglu_e
144,SUCFUMtm
145,PDIMAS
146,EX_crm_e
147,GLUGLUr
148,GLCt1
149,PTRCt3i
150,FACOAL80
151,disulfide_protein_m
152,HACD7
153,LDH_D
154,RTOT2_cho
155,PROPROARGt
156,CAT
157,HACD4
158,CITt4_1
159,ASNN
160,ASPASNGLUr
161,GLYCLTD_m
162,VALtec
163,ORNTACim
164,TRSARyr
165,URCN_1
166,ARGGLUGLUt
167,EX_sphmyln_e
168,H2Ot
169,FBA
170,PYK4
171,Stress_protein_c
172,GLUGLUt
173,GLCRD
174,AKGICITtm
175,HYDFDN2r
176,EX_chol_e
177,r2514m
178,r0819
179,FACOAL181
180,ACITL
181,CYSTBLc
182,HISGLUGLNr
183,ATPS3m
184,GHMT2r
185,EX_ala__L_e
