,rxns_added
0,FE3DCITexs
1,GPDDA3
2,LALDO3
3,SO3R
4,AGPRim
5,HMR_9805
6,EX_sphmyln_e
7,ORNTACim
8,CBMKr
9,EX_gal__L_e
10,ORNCT
11,SO4CLtex
12,EX_asp__L_e
13,SPHMYLNt
14,RTOT4_cho
15,SULR3
16,ASPTA6
17,EX_succ_e
18,OCT
19,ACOAR4mc
20,DSAT
21,PNTOte
22,HCO3E
23,PYR5CDmc
24,r0817
25,ACOAR7mc
26,EX_lac__L_e
27,CLFORtex
28,ORNt3m
29,ICL
30,EX_ala__L_e
31,DHCRD1
32,VALtec
33,CHOLK
34,SULR_2
35,CITt2r
36,EX_etha_e
37,MGSA
38,GLYCt
39,ASNGLNNaEx
40,r2526
41,EX_mal__L_e
42,2_7_8_3
43,EX_4abut_e
44,ETHAt
45,EX_ser__L_e
46,EX_spmd_e
47,ACOAR5mc
48,CHOLESTTDe
49,ARGSS
50,EX_lipoate_e
51,SPMS
52,EX_pyr_e
53,MALS
54,ARGSL
55,NTRIR4ppc
56,ARGDI
57,TRPt
58,NODOx
59,ACGKm
60,lipid2
61,MALLAC
62,PDYXPT_c
63,ARTPLM1
64,EX_trp__L_e
65,O2tmt
66,EX_citr__L_e
67,EX_chsterol_e
68,CYSGLNNaEx
69,EX_fum_e
70,SPRMt2i
71,EX_cit_e
72,PYDXO
73,LIPOti_1
74,EX_pnto__R_e
75,ARTFR41_cho
76,O2tm
77,GLUDC
78,GLTS_m
79,EX_glu__L_e
80,EX_sprm_e
81,EX_man_e
82,ACOAR3mc
83,PTRCTA
84,NAt5
85,MANt1r
86,FDH7
87,EX_crm_e
88,SPRMti
89,ASAPTc
90,EX_val__L_e
