,rxns_added
0,EX_4abut_e
1,EX_asp__L_e
2,ARGDI
3,SPHMYLNt
4,EX_cit_e
5,SPMS
6,EX_fum_e
7,PUTA3
8,CHOLESTTDe
9,EX_sprm_e
10,EX_gal__L_e
11,NODOy
12,EX_citr__L_e
13,AGPRim
14,RTOT4_cho
15,r0817
16,EX_spmd_e
17,ORNt3m
18,GLUDC
19,ORNTACim
20,EX_mal__L_e
21,ARGN
22,TSR
23,MGSA
24,VALtec
25,EX_sphmyln_e
26,LALDO3
27,CITt2r
28,EX_ser__L_e
29,EX_etha_e
30,HCO3E
31,EX_pyr_e
32,ACOAR7mc
33,ASP4DC
34,UREA
35,LIPOti_1
36,DSAT
37,PYDXO
38,ARTPLM1
39,HISD_c
40,CYSLY3
41,OCT
42,TSULR3e
43,GPDDA3
44,GLYCt
45,ARGSS
46,r2526
47,FE3DCITexs
48,EX_succ_e
49,ACGKm
50,PTRCTA
51,EX_lac__L_e
52,SO4CLtex
53,EX_trp__L_e
54,2_7_8_3
55,ASAPTc
56,CLFORtex
57,HMR_4957
58,EX_crm_e
59,EX_val__L_e
60,DHCRD1
61,EX_lipoate_e
62,HMR_9805
63,EX_pnto__R_e
64,EX_glu__L_e
65,ARGSL
66,ARTFR41_cho
67,CBMKr
68,lipid2
69,SPRMti
70,CHOLK
71,EX_ala__L_e
72,MALS
73,TRPt
74,SO4HCOtex
75,FORAMD
76,EX_man_e
77,PNTOte
78,EX_chsterol_e
79,ETHAt
80,SPRMt2i
81,MANt1r
82,ICL
