,rxns_added
0,UREA
1,r2526
2,TRPt
3,EX_sprm_e
4,EX_pnto__R_e
5,FE3DCITexs
6,CYSLY3
7,ETHAt
8,SPRMt2i
9,r0817
10,MANt1r
11,FORAMD
12,ACOAR4mc
13,NTRIR4ppc
14,TSULR3e
15,MALLAC
16,EX_val__L_e
17,ARTFR41_cho
18,EX_4abut_e
19,VALtec
20,GLYCt
21,lipid2
22,EX_mal__L_e
23,GPDDA3
24,ARGN
25,MGSA
26,EX_succ_e
27,OXGDC
28,EX_cit_e
29,SULR3
30,CLFORtex
31,HMR_9805
32,PYDXO
33,PNTOte
34,ARTPLM1
35,ARGSL
36,EX_fum_e
37,EX_man_e
38,OCT
39,SO3R
40,LALDO3
41,ICL
42,EX_etha_e
43,ASNGLNNaEx
44,CHOLESTTDe
45,EX_lac__L_e
46,EX_gal__L_e
47,HISD_c
48,RTOT4_cho
49,ACOAR3mc
50,EX_citr__L_e
51,CITt2r
52,NH4t
53,NTRIR2y
54,EX_asp__L_e
55,SULR
56,EX_sphmyln_e
57,MALS
58,ASAPTc
59,SULR_2
60,NODOx
61,EX_pyr_e
62,CBMKr
63,SPHMYLNt
64,ARGDI
65,EX_ala__L_e
66,SPMS
67,SPRMti
68,FDH7
69,CHOLK
70,EX_trp__L_e
71,SO4CLtex
72,EX_ser__L_e
73,EX_crm_e
74,NODOy
75,ACOAR7mc
76,2_7_8_3
77,NTRIR2x
78,DHCRD1
79,EX_lipoate_e
80,ARGSS
81,DSAT
82,HCO3E
83,ASP4DC
84,EX_chsterol_e
85,PTRCOX1
86,CYSGLUexR
87,GLUDC
88,LIPOti_1
