,rxns_added
0,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
1,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
2,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
3,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
4,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
5,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
6,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
7,THRS: h2o_c + phom_c --> pi_c + thr__L_c
8,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
9,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
10,DXYTST: dxyl5p_c + imgly_c + thissh_c --> 2c4mthzep_c + 2.0 h2o_c + h_c + this_c
11,EX_inositol: ptd1ino_e <=> 
12,PEDS18111Z1829Z12Z: 2.0 nadh_c + o2_c + pe18111Z1819Z_c --> 2.0 h2o_c + 2.0 nad_c + pe18111Z1829Z12Z_c
13,trna_arg: trnaarg_c <=> 
14,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
15,trna_tyr: trnatyr_c <=> 
16,HMDHPS_c: ahdt_c + h2o_c --> 6hmhpt_c + ac_c + h_c + pppi_c
17,trna_val: trnaval_c <=> 
18,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
19,EX_his__L_e: his__L_e <=> 
20,trna_ser: trnaser_c <=> 
21,trna_leu: trnaleu_c <=> 
22,FACOAE160: h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
23,TMPK: atp_c + thmmp_c --> adp_c + thmpp_c
24,r2419: akg_c + pi_m --> akg_m + pi_c
25,trna_lys: trnalys_c <=> 
26,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
27,AASAD1: L2aadp_c + atp_c + h_c + nadph_c --> L2aadp6sa_c + amp_c + nadp_c + ppi_c
28,GALh: atp_h + glu__L_h + nh4_h --> adp_h + gln__L_h + h_h + pi_h
29,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
30,PEDS1819Z1829Z12Z: 2.0 nadh_c + o2_c + pe1819Z1819Z_c --> 2.0 h2o_c + 2.0 nad_c + pe1819Z1829Z12Z_c
31,MCITDm: hcit_m --> b124tc_m + h2o_m
32,FA160ACPH_m: h2o_m + palmACP_m --> ACP_m + h_m + hdca_m
33,PEPPIth: pep_c + pi_h --> pep_h + pi_c
34,ADCL: 4adcho_c --> 4abz_c + h_c + pyr_c
35,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
36,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
37,G3PAT140_c: glyc3p_c + tdcoa_c --> 1tdecg3p_c + coa_c
38,trna_met: trnamet_c <=> 
39,PRFGS: atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
40,trna_asn: trnaasn_c <=> 
41,CHORM: chor_c --> pphn_c
42,FACOAE100: dcacoa_c + h2o_c --> coa_c + dca_c + h_c
43,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
44,trna_his: trnahis_c <=> 
45,HXAt: hxa_e <=> hxa_c
46,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
47,Htu: h_h --> h_u
48,FBA: fdp_c <=> dhap_c + g3p_c
49,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
50,PHEMEtm: pheme_m <=> pheme_c
51,HPPK2: 6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c
52,PRAGSr: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c
53,AGPATCOA_PALM_PALM_c: 1hdecg3p_c + pmtcoa_c --> coa_c + pa160_c
54,FACOAE60: h2o_c + hxcoa_c --> coa_c + h_c + hxa_c
55,O2tm: o2_c --> o2_m
56,r2444: ddca_e --> ddca_c
57,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
58,GLUNA1th: glu__L_h + na1_h --> glu__L_c + na1_c
59,THISAT: atp_c + h_c + this_c --> athis_c + ppi_c
60,AMPMS: air_c + h2o_c --> 4ampm_c + 2.0 for_c + 4.0 h_c
61,CYSS_2: acser_c + h2s_c --> ac_c + cys__L_c
62,RTOT4: R4coa_hs_c --> Rtotalcoa_c
63,PAPA1819Z1819Z: h2o_c + pa1819Z1819Z_c --> 12dgr1819Z1819Z_c + pi_c
64,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
65,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
66,ASPO2: asp__L_c + nad_c --> 2.0 h_c + iasp_c + nadh_c
67,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
68,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
69,CHRPL: chor_c --> 4hbz_c + pyr_c
70,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
71,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
72,FAS100ACPm: 3.0 h_m + malACP_m + 2.0 nadph_m + ocACP_m --> ACP_m + co2_m + dcaACP_m + h2o_m + 2.0 nadp_m
73,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
74,H2Oth: h2o_c --> h2o_h
75,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
76,FACOAE141: h2o_c + tdecoa_c --> coa_c + h_c + ttdcea_c
77,lipid1: Rtotal_c <=> dca_c + ddca_c + hdca_c + hdcea_c + hxa_c + ocdca_c + ocdcea_c + octa_c + ttdca_c + ttdcea_c
78,OCTDPtmt: octdp_m <=> octdp_c
79,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
80,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
81,trna_thr: trnathr_c <=> 
82,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
83,3MOBtmt: 3mob_m <=> 3mob_c
84,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
85,H2Ot: h2o_e <=> h2o_c
86,CO2tmt: co2_m <=> co2_c
87,ARTFR210_cho: 0.125 coa_m + fadh2_m + h_m + lnlccoa_c + nadph_m --> 1.125 R2coa_cho_c + fad_m + nadp_m
88,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
89,GLYCOX1: gly_c + o2_c --> h2o2_c + imgly_c
90,MECDPS: 2p4c2me_c --> 2mecdp_c + cmp_c
91,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
92,NADK1: gtp_c + nad_c --> gdp_c + h_c + nadp_c
93,EX_leu__L_e: leu__L_e <=> 
94,FAS120ACPm: dcaACP_m + 3.0 h_m + malACP_m + 2.0 nadph_m --> ACP_m + co2_m + ddcaACP_m + h2o_m + 2.0 nadp_m
95,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
96,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
97,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
98,FAS80ACPxym_L: acACP_m + 9.0 h_m + 3.0 malACP_m + 3.0 nadh_m + 3.0 nadph_m --> 3.0 ACP_m + 3.0 co2_m + 3.0 h2o_m + 3.0 nad_m + 3.0 nadp_m + ocACP_m
99,NTRIR2y: 5.0 h_c + 3.0 nadph_c + no2_c --> 2.0 h2o_c + 3.0 nadp_c + nh4_c
100,D_LACtm: h_c + lac__D_c --> h_m + lac__D_m
101,HACNHm: b124tc_m + h2o_m --> hicit_m
102,trna_ile: trnaile_c <=> 
103,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
104,THII: athis_c + iscssh_c + nadph_c --> amp_c + iscsh_c + nadp_c + thissh_c
105,GMPt6: gmp_e + h_e --> gmp_c + h_c
106,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
107,ACSERthi: acser_h --> acser_c
108,FAS160ACPm: 3.0 h_m + malACP_m + myrsACP_m + 2.0 nadph_m --> ACP_m + co2_m + h2o_m + 2.0 nadp_m + palmACP_m
109,VALTA: akg_c + val__L_c <=> 3mob_c + glu__L_c
110,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
111,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
112,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
113,ARTFR41: fadh2_m + hdcoa_c --> R4coa_hs_c + fad_m
114,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
115,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
116,ARTCOAL1_cho: Rtotalcoa_c + h2o_c --> Rtotal_c + coa_c + h_c
117,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
118,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
119,RTOT2_cho: R2coa_cho_c --> Rtotalcoa_c
120,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
121,CO2t: co2_e <=> co2_c
122,SAT: accoa_h + ser__L_h --> acser_h + coa_h
123,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
124,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
125,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
126,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
127,4HBZtm: 4hbz_c --> 4hbz_m
128,TRNFE: 2.0 fe3_c + nadh_c --> 2.0 fe2_c + h_c + nad_c
129,FAS140ACPm: ddcaACP_m + 3.0 h_m + malACP_m + 2.0 nadph_m --> ACP_m + co2_m + h2o_m + myrsACP_m + 2.0 nadp_m
130,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
131,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
132,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
133,PINOS: 0.01 cdpdag_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_c
134,LEUtec: leu__L_e --> leu__L_c
135,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
136,trna_phe: trnaphe_c <=> 
137,PRAIi: pran_c --> 2cpr5p_c
138,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
139,HISSNAT5tc: h_c + his__L_e + na1_e --> h_e + his__L_c + na1_c
140,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
141,DHQS: 2dda7p_c --> 3dhq_c + pi_c
142,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
143,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
144,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
145,ASPNA1th: asp__L_c + na1_c --> asp__L_h + na1_h
146,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
147,GLNth: gln__L_c + h_c --> gln__L_h + h_h
148,PRFGCL: atp_c + fpram_c --> adp_c + air_c + pi_c
149,trna_gln: trnagln_c <=> 
150,trna_ala: trnaala_c <=> 
151,trna_cys: trnacys_c <=> 
152,PFLh: coa_h + pyr_h --> accoa_h + for_h
153,lipid4: cdpdag_c <=> cdpdddecg_c + cdpdhdec9eg_c + cdpdhdecg_c + cdpdodec11eg_c + cdpdodecg_c + cdpdtdec7eg_c + cdpdtdecg_c
154,R07456: g3p_c + gln__L_c + ru5p__D_c <=> glu__L_c + pydx5p_c
155,PHSERt_h: phom_h --> phom_c
156,HCO3Em: co2_m + h2o_m --> h_m + hco3_m
157,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
158,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
159,ASPK_1: asp__L_h + atp_h --> 4pasp_h + adp_h
160,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
161,THRAL: ser__L_h --> nh4_h + pyr_h
162,FACOAE180: h2o_c + stcoa_c --> coa_c + h_c + ocdca_c
163,PTD1INOt: ptd1ino_c <=> ptd1ino_e
164,HCO3E: co2_c + h2o_c --> h_c + hco3_c
165,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
166,G3PAT160_1: glyc3p_c + pmtcoa_c --> 1hdecg3p_c + coa_c
167,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
168,trna_gly: trnagly_c <=> 
169,DCTPD2: ctp_c + h2o_c + h_c --> nh4_c + utp_c
170,PYK_h: adp_h + h_h + pep_h --> atp_h + pyr_h
171,FldAct: fald_c + thf_c --> h2o_c + mlthf_c
172,TMPPP_1: 2mahmp_c + cthzp_c + 2.0 h_c --> co2_c + ppi_c + thmmp_c
173,MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c
174,THZT: 2c4mthzep_c --> cthzp_c
175,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
176,PMTCOAtm: pmtcoa_m --> pmtcoa_c
177,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
178,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
179,trna_asp: trnaasp_c <=> 
180,FACOAE120: ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c
181,GART: atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c
182,PIt_h: h_c + pi_c --> h_h + pi_h
183,PGLh: 6pgl_h + h2o_h --> 6pgc_h + h_h
184,CYSDES: cys__L_c + iscsh_c --> ala__L_c + h_c + iscssh_c
185,trna_trp: trnatrp_c <=> 
186,GLUth: glu__L_h + h_h --> glu__L_c + h_c
187,FORthi: for_h + h_h --> for_c + h_c
188,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
189,trna_pro: trnapro_c <=> 
190,AGPATCOA_MYRS_MYRS_c: 1tdecg3p_c + tdcoa_c --> coa_c + pa140_c
191,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
192,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
