,rxns_added
0,trna_gly: trnagly_c <=> 
1,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
2,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
3,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
4,4HBZtm: 4hbz_c --> 4hbz_m
5,trna_lys: trnalys_c <=> 
6,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
7,trna_leu: trnaleu_c <=> 
8,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
9,OCTDPtmt: octdp_m <=> octdp_c
10,NADK1: gtp_c + nad_c --> gdp_c + h_c + nadp_c
11,trna_asn: trnaasn_c <=> 
12,ASPO2y: asp__L_c + nadp_c --> 2.0 h_c + iasp_c + nadph_c
13,trna_met: trnamet_c <=> 
14,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
15,trna_asp: trnaasp_c <=> 
16,trna_trp: trnatrp_c <=> 
17,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
18,r2052: his__L_e + val__L_c --> his__L_c + val__L_e
19,MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c
20,PHEMEtm: pheme_m <=> pheme_c
21,PTD1INOt: ptd1ino_c <=> ptd1ino_e
22,trna_gln: trnagln_c <=> 
23,trna_phe: trnaphe_c <=> 
24,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
25,trna_ala: trnaala_c <=> 
26,trna_thr: trnathr_c <=> 
27,r1879: na1_e + thr__L_e + val__L_c --> na1_c + thr__L_c + val__L_e
28,trna_glu: trnaglu_c <=> 
29,trna_val: trnaval_c <=> 
30,trna_pro: trnapro_c <=> 
31,DCTPD2: ctp_c + h2o_c + h_c --> nh4_c + utp_c
32,trna_his: trnahis_c <=> 
33,CHRPL: chor_c --> 4hbz_c + pyr_c
34,r1818: leu__L_e + na1_e + val__L_c --> leu__L_c + na1_c + val__L_e
35,EX_inositol: ptd1ino_e <=> 
36,lipid4: cdpdag_c <=> cdpdddecg_c + cdpdhdec9eg_c + cdpdhdecg_c + cdpdodec11eg_c + cdpdodecg_c + cdpdtdec7eg_c + cdpdtdecg_c
37,trna_cys: trnacys_c <=> 
38,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
39,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
40,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
41,PINOS: 0.01 cdpdag_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_c
42,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
43,trna_arg: trnaarg_c <=> 
44,trna_ile: trnaile_c <=> 
45,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
46,trna_tyr: trnatyr_c <=> 
47,trna_ser: trnaser_c <=> 
