,rxns_added
0,trna_ile: trnaile_c <=> 
1,RBFSb_1: 2.0 dmlz_c --> 4r5au_c + h_c + ribflv_c
2,trna_cys: trnacys_c <=> 
3,trna_gln: trnagln_c <=> 
4,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
5,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
6,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
7,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
8,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
9,trna_leu: trnaleu_c <=> 
10,trna_glu: trnaglu_c <=> 
11,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
12,trna_thr: trnathr_c <=> 
13,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
14,trna_ser: trnaser_c <=> 
15,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
16,trna_his: trnahis_c <=> 
17,trna_met: trnamet_c <=> 
18,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
19,r1808: ala__L_c + leu__L_e + na1_e --> ala__L_e + leu__L_c + na1_c
20,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
21,PTD1INOt: ptd1ino_c <=> ptd1ino_e
22,PINOS: 0.01 cdpdag_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_c
23,MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c
24,trna_lys: trnalys_c <=> 
25,EX_inositol: ptd1ino_e <=> 
26,4HBZtm: 4hbz_c --> 4hbz_m
27,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
28,trna_pro: trnapro_c <=> 
29,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
30,trna_trp: trnatrp_c <=> 
31,trna_asn: trnaasn_c <=> 
32,r1810: leu__L_e + na1_e + ser__L_c --> leu__L_c + na1_c + ser__L_e
33,lipid4: cdpdag_c <=> cdpdddecg_c + cdpdhdec9eg_c + cdpdhdecg_c + cdpdodec11eg_c + cdpdodecg_c + cdpdtdec7eg_c + cdpdtdecg_c
34,trna_ala: trnaala_c <=> 
35,trna_asp: trnaasp_c <=> 
36,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
37,THRALANaEx: ala__L_c + na1_e + thr__L_e --> ala__L_e + na1_c + thr__L_c
38,ASPOcm: asp__L_c + fad_m --> fadh2_m + h_c + iasp_c
39,NADK1: gtp_c + nad_c --> gdp_c + h_c + nadp_c
40,trna_tyr: trnatyr_c <=> 
41,trna_val: trnaval_c <=> 
42,r2044: his__L_e + met__L_c --> his__L_c + met__L_e
43,OCTDPtmt: octdp_m <=> octdp_c
44,trna_gly: trnagly_c <=> 
45,trna_arg: trnaarg_c <=> 
46,PHEMEtm: pheme_m <=> pheme_c
47,CHRPL: chor_c --> 4hbz_c + pyr_c
48,trna_phe: trnaphe_c <=> 
