,rxns_added
0,ARTCOAL1_cho: Rtotalcoa_c + h2o_c --> Rtotal_c + coa_c + h_c
1,trna_pro: trnapro_c <=> 
2,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
3,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
4,FACOAE160: h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
5,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
6,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
7,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
8,ADCL: 4adcho_c --> 4abz_c + h_c + pyr_c
9,PYK_h: adp_h + h_h + pep_h --> atp_h + pyr_h
10,LEUtec: leu__L_e --> leu__L_c
11,trna_asn: trnaasn_c <=> 
12,MCITDm: hcit_m --> b124tc_m + h2o_m
13,trna_thr: trnathr_c <=> 
14,NADK1: gtp_c + nad_c --> gdp_c + h_c + nadp_c
15,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
16,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
17,G3PAT140_c: glyc3p_c + tdcoa_c --> 1tdecg3p_c + coa_c
18,CO2tmt: co2_m <=> co2_c
19,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
20,HXAt3: hxa_c --> hxa_e
21,RTOT2_cho: R2coa_cho_c --> Rtotalcoa_c
22,FACOAE180: h2o_c + stcoa_c --> coa_c + h_c + ocdca_c
23,lipid4: cdpdag_c <=> cdpdddecg_c + cdpdhdec9eg_c + cdpdhdecg_c + cdpdodec11eg_c + cdpdodecg_c + cdpdtdec7eg_c + cdpdtdecg_c
24,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
25,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
26,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
27,NO2tmt: no2_m <=> no2_c
28,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
29,CHRPL: chor_c --> 4hbz_c + pyr_c
30,PHEMEtm: pheme_m <=> pheme_c
31,HACNHm: b124tc_m + h2o_m --> hicit_m
32,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
33,THZT: 2c4mthzep_c --> cthzp_c
34,trna_ile: trnaile_c <=> 
35,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
36,PPND2: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c
37,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
38,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
39,THII: athis_c + iscssh_c + nadph_c --> amp_c + iscsh_c + nadp_c + thissh_c
40,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
41,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
42,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
43,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
44,AGPATCOA_PALM_PALM_c: 1hdecg3p_c + pmtcoa_c --> coa_c + pa160_c
45,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
46,CYSDES: cys__L_c + iscsh_c --> ala__L_c + h_c + iscssh_c
47,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
48,FAS140ACPm: ddcaACP_m + 3.0 h_m + malACP_m + 2.0 nadph_m --> ACP_m + co2_m + h2o_m + myrsACP_m + 2.0 nadp_m
49,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
50,GLUth: glu__L_h + h_h --> glu__L_c + h_c
51,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
52,MALtm: mal__L_c + pi_m --> mal__L_m + pi_c
53,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
54,GLYCOX1: gly_c + o2_c --> h2o2_c + imgly_c
55,FACOAE80: h2o_c + occoa_c --> coa_c + h_c + octa_c
56,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
57,PINOS: 0.01 cdpdag_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_c
58,H2Ot: h2o_e <=> h2o_c
59,ACSERL_c: acser_c + seln_c --> ac_c + selcys_c
60,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
61,FORthi: for_h + h_h --> for_c + h_c
62,EX_his__L_e: his__L_e <=> 
63,O2tm: o2_c --> o2_m
64,ASPth: asp__L_c + h_c --> asp__L_h + h_h
65,PFLh: coa_h + pyr_h --> accoa_h + for_h
66,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
67,trna_gln: trnagln_c <=> 
68,PEPPIth: pep_c + pi_h --> pep_h + pi_c
69,VALTA: akg_c + val__L_c <=> 3mob_c + glu__L_c
70,trna_his: trnahis_c <=> 
71,PRAIi: pran_c --> 2cpr5p_c
72,FBA: fdp_c <=> dhap_c + g3p_c
73,MI1PP: h2o_c + mi1p__D_c --> inost_c + pi_c
74,FAS100ACPm: 3.0 h_m + malACP_m + 2.0 nadph_m + ocACP_m --> ACP_m + co2_m + dcaACP_m + h2o_m + 2.0 nadp_m
75,FUMtm: fum_c + pi_m --> fum_m + pi_c
76,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
77,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
78,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
79,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
80,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
81,D_LACtm: h_c + lac__D_c --> h_m + lac__D_m
82,GARFT: 10fthf_c + gar_c --> fgam_c + h_c + thf_c
83,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
84,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
85,PRFGCL: atp_c + fpram_c --> adp_c + air_c + pi_c
86,4HBZtm: 4hbz_c --> 4hbz_m
87,PIt_h: h_c + pi_c --> h_h + pi_h
88,DCTPD: dctp_c + h2o_c + h_c --> dutp_c + nh4_c
89,trna_cys: trnacys_c <=> 
90,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
91,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
92,GMPt6: gmp_e + h_e --> gmp_c + h_c
93,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
94,HCO3Em: co2_m + h2o_m --> h_m + hco3_m
95,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
96,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
97,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
98,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
99,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
100,FldAct: fald_c + thf_c --> h2o_c + mlthf_c
101,NH4tmt: nh4_m <=> nh4_c
102,trna_phe: trnaphe_c <=> 
103,trna_leu: trnaleu_c <=> 
104,HCO3E: co2_c + h2o_c --> h_c + hco3_c
105,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
106,R07456: g3p_c + gln__L_c + ru5p__D_c <=> glu__L_c + pydx5p_c
107,ACCOAth: accoa_c + coa_h --> accoa_h + coa_c
108,ARTFR210_cho: 0.125 coa_m + fadh2_m + h_m + lnlccoa_c + nadph_m --> 1.125 R2coa_cho_c + fad_m + nadp_m
