,rxns_added
0,MEPCT: 2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c
1,trna_his: trnahis_c <=> 
2,MALT: h2o_c + malt_c --> 2.0 glc__D_c
3,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
4,trna_lys: trnalys_c <=> 
5,ASPth: asp__L_c + h_c --> asp__L_h + h_h
6,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
7,D_LACtm: h_c + lac__D_c --> h_m + lac__D_m
8,lipid4: cdpdag_c <=> cdpdddecg_c + cdpdhdec9eg_c + cdpdhdecg_c + cdpdodec11eg_c + cdpdodecg_c + cdpdtdec7eg_c + cdpdtdecg_c
9,LEUt4: leu__L_e + na1_e --> leu__L_c + na1_c
10,GLYCOX1: gly_c + o2_c --> h2o2_c + imgly_c
11,ARTFR41_cho: fadh2_m + hdcoa_c --> R4coa_cho_c + fad_m
12,TYRTAi: 34hpp_c + glu__L_c --> akg_c + tyr__L_c
13,PRAGSr: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c
14,GARFT: 10fthf_c + gar_c --> fgam_c + h_c + thf_c
15,ASPK_1: asp__L_h + atp_h --> 4pasp_h + adp_h
16,HYPTROX: 2.0 h_c + 2.0 hyptaur_c + o2_c --> 2.0 taur_c
17,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
18,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
19,CO2tmt: co2_m <=> co2_c
20,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
21,RE0935E: h2o_e + malthx_e --> glc__D_e + maltpt_e
22,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
23,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
24,MLTP2: malthx_c + pi_c --> g1p_c + maltpt_c
25,DXYTST: dxyl5p_c + imgly_c + thissh_c --> 2c4mthzep_c + 2.0 h2o_c + h_c + this_c
26,trna_ile: trnaile_c <=> 
27,GLUth: glu__L_h + h_h --> glu__L_c + h_c
28,FORthi: for_h + h_h --> for_c + h_c
29,TMPPP_1: 2mahmp_c + cthzp_c + 2.0 h_c --> co2_c + ppi_c + thmmp_c
30,SAT: accoa_h + ser__L_h --> acser_h + coa_h
31,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
32,FUMtm: fum_c + pi_m --> fum_m + pi_c
33,THRAL: ser__L_h --> nh4_h + pyr_h
34,PLA2PE_STC_OLE_c: h2o_c + pe1801819Z_c --> 1agpe180_c + h_c + ocdcea_c
35,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
36,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
37,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
38,ARTFR210_cho: 0.125 coa_m + fadh2_m + h_m + lnlccoa_c + nadph_m --> 1.125 R2coa_cho_c + fad_m + nadp_m
39,FACOAE60: h2o_c + hxcoa_c --> coa_c + h_c + hxa_c
40,trna_cys: trnacys_c <=> 
41,3MOBtmt: 3mob_m <=> 3mob_c
42,FOLt2_1: fol_e + h2o_c --> fol_c + h2o_e
43,MLTP1: maltpt_c + pi_c --> g1p_c + maltttr_c
44,EX_leu__L_e: leu__L_e <=> 
