,rxns_added
0,ORNt: orn_e --> orn_c
1,ARGSS: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
2,O2tmt: o2_m <=> o2_c
3,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
4,NTRIR2xm: 5.0 h_m + 3.0 nadh_m + no2_m --> 2.0 h2o_m + 3.0 nad_m + nh4_m
5,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
6,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
7,NTRIR2x: 5.0 h_c + 3.0 nadh_c + no2_c --> 2.0 h2o_c + 3.0 nad_c + nh4_c
8,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
9,CPS_m: 2.0 atp_m + co2_m + h2o_m + nh4_m --> 2.0 adp_m + cbp_m + 3.0 h_m + pi_m
10,r2412: citr__L_m + h_c + orn_c --> citr__L_c + h_m + orn_m
11,HACNHm: b124tc_m + h2o_m --> hicit_m
12,GLYDHDA: gly_c + h2o_c + nad_c --> glx_c + h_c + nadh_c + nh4_c
13,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
14,EX_his__L_e: his__L_e <=> 
15,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
16,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
17,GMPt6: gmp_e + h_e --> gmp_c + h_c
18,HIStN1: h_c + his__L_e + 2.0 na1_e --> h_e + his__L_c + 2.0 na1_c
19,UREA: h2o_c + 2.0 h_c + urea_c --> co2_c + 2.0 nh4_c
20,NO2tmt: no2_m <=> no2_c
21,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
22,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
23,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
24,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
25,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
26,CO2t: co2_e <=> co2_c
27,MCITDm: hcit_m --> b124tc_m + h2o_m
28,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
29,GLXtm: glx_c --> glx_m
30,MALSm: accoa_m + glx_m + h2o_m --> coa_m + h_m + mal__L_m
31,PYRt2m: h_c + pyr_c --> h_m + pyr_m
32,CHORM: chor_c --> pphn_c
33,FUMtm: fum_c + pi_m --> fum_m + pi_c
34,EX_thr__L_e: thr__L_e <=> 
35,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
36,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
37,H2O2t: h2o2_e <=> h2o2_c
38,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
39,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
40,EX_leu__L_e: leu__L_e <=> 
41,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
42,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
43,OCTm: cbp_m + orn_m --> citr__L_m + pi_m
44,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
45,CO2tmt: co2_m <=> co2_c
46,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
47,PRAIi: pran_c --> 2cpr5p_c
48,GTHOXti: gthox_e --> gthox_c
49,THRt4: na1_e + thr__L_e --> na1_c + thr__L_c
50,3MOBtmt: 3mob_m <=> 3mob_c
51,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
52,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
53,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
54,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
55,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
56,LEUt4: leu__L_e + na1_e --> leu__L_c + na1_c
57,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
58,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
59,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
60,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
61,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
62,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
