,rxns_added
0,ETHAPT_MYRS_MYRS_c: 12dgr140_c + cdpea_c --> cmp_c + h_c + pe140_c
1,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
2,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
3,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
4,G6PBDHh: g6p_B_h + nadp_h --> 6pgl_h + h_h + nadph_h
5,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
6,LEUtec: leu__L_e --> leu__L_c
7,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
8,PRUK_1: atp_h + ru5p__D_h --> adp_h + h_h + rb15bp_h
9,trna_met: trnamet_c <=> 
10,D_LACtm: h_c + lac__D_c --> h_m + lac__D_m
11,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
12,H2O2t: h2o2_e <=> h2o2_c
13,DAGK120: 12dgr120_c + atp_c --> adp_c + h_c + pa120_c
14,PSD181: h_c + ps181_c --> co2_c + pe181_c
15,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
16,PINOS: 0.01 cdpdag_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_c
17,CHORS: 3psme_c --> chor_c + pi_c
18,UREA: h2o_c + 2.0 h_c + urea_c --> co2_c + 2.0 nh4_c
19,NTRIR2y: 5.0 h_c + 3.0 nadph_c + no2_c --> 2.0 h2o_c + 3.0 nadp_c + nh4_c
20,EX_his__L_e: his__L_e <=> 
21,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
22,ADPT: ade_c + prpp_c --> amp_c + ppi_c
23,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
24,ps_prod3: ps141_c --> all_ps_c
25,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
26,ACAFDOR: acald_c + fdxo_42_c + h2o_c --> ac_c + fdxr_42_c + 3.0 h_c
27,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
28,LPLIPAL2E141: 2agpe141_c + h2o_c --> g3pe_c + h_c + ttdcea_c
29,PLDPC_PALM_PALM_c: h2o_c + pc160_c --> chol_c + h_c + pa160_c
30,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
31,THRAL: ser__L_h --> nh4_h + pyr_h
32,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
33,ARGSS_1: asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + 2.0 h_c + ppi_c
34,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
35,ASPK_1: asp__L_h + atp_h --> 4pasp_h + adp_h
36,DAGK141: 12dgr141_c + atp_c --> adp_c + h_c + pa141_c
37,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
38,aratyr2: 3mop_c + tyr__L_c --> 34hpp_c + ile__L_c
39,TMPK: atp_c + thmmp_c --> adp_c + thmpp_c
40,FAO11: atp_c + 8.0 coa_c + 6.0 fad_c + 7.0 h2o_c + hdcea_c + 7.0 nad_c --> 8.0 accoa_c + amp_c + 6.0 fadh2_c + 7.0 h_c + 7.0 nadh_c + ppi_c
41,OCTDPtmt: octdp_m <=> octdp_c
42,HACNHm: b124tc_m + h2o_m --> hicit_m
43,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
44,FE3Ri: fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c
45,trna_his: trnahis_c <=> 
46,FACOAE120: ddcacoa_c + h2o_c --> coa_c + ddca_c + h_c
47,trna_gly: trnagly_c <=> 
48,HCO3E: co2_c + h2o_c --> h_c + hco3_c
49,H2Oth: h2o_c --> h2o_h
50,PAPA161: h2o_c + pa161_c --> 12dgr161_c + pi_c
51,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
52,r2444: ddca_e --> ddca_c
53,CHRPL: chor_c --> 4hbz_c + pyr_c
54,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
55,FACOAE141: h2o_c + tdecoa_c --> coa_c + h_c + ttdcea_c
