,rxns_added
0,4HBZtm: 4hbz_c --> 4hbz_m
1,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
2,ASPK_1: asp__L_h + atp_h --> 4pasp_h + adp_h
3,CPS_m: 2.0 atp_m + co2_m + h2o_m + nh4_m --> 2.0 adp_m + cbp_m + 3.0 h_m + pi_m
4,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
5,r2412: citr__L_m + h_c + orn_c --> citr__L_c + h_m + orn_m
6,NADK1: gtp_c + nad_c --> gdp_c + h_c + nadp_c
7,ACCOAth: accoa_c + coa_h --> accoa_h + coa_c
8,CHORM: chor_c --> pphn_c
9,ASPO6_1: asp__L_c + o2_c --> h2o2_c + iasp_c
10,PIt_h: h_c + pi_c --> h_h + pi_h
11,PEPPIth: pep_c + pi_h --> pep_h + pi_c
12,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
13,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
14,PHEMEtm: pheme_m <=> pheme_c
15,HPPK2: 6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c
16,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
17,FACOAE80: h2o_c + occoa_c --> coa_c + h_c + octa_c
18,ORNCT: cbp_c + orn_c --> citr__L_c + pi_c
19,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
20,HMDHPS_c: ahdt_c + h2o_c --> 6hmhpt_c + ac_c + h_c + pppi_c
21,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
22,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
23,PEDS1819Z1829Z12Z: 2.0 nadh_c + o2_c + pe1819Z1819Z_c --> 2.0 h2o_c + 2.0 nad_c + pe1819Z1829Z12Z_c
24,MTAP: 5mta_c + pi_c --> 5mdr1p_c + ade_c
