,rxns_added
0,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
1,PRO1x: nad_c + pro__L_c --> 1pyr5c_c + 2.0 h_c + nadh_c
2,Htu: h_h --> h_u
3,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
4,r2444: ddca_e --> ddca_c
5,PFLh: coa_h + pyr_h --> accoa_h + for_h
6,THII: athis_c + iscssh_c + nadph_c --> amp_c + iscsh_c + nadp_c + thissh_c
7,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
8,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
9,VPAMTr: 3mob_c + ala__L_c --> pyr_c + val__L_c
10,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
11,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
12,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
13,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
14,r2412: citr__L_m + h_c + orn_c --> citr__L_c + h_m + orn_m
15,trna_asp: trnaasp_c <=> 
16,GLNth: gln__L_c + h_c --> gln__L_h + h_h
17,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
18,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
19,GTHPe: 2.0 gthrd_e + h2o2_e --> gthox_e + 2.0 h2o_e
20,EX_amet_e: amet_e <=> 
21,OPHHXm: 2oph_m + nadph_m + 0.5 o2_m --> 2ohph_m + h2o_m + nadp_m
22,trna_trp: trnatrp_c <=> 
23,ACSERthi: acser_h --> acser_c
24,OCTAt: octa_e <=> octa_c
25,3MOBtmt: 3mob_m <=> 3mob_c
26,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
27,FACOAE60: h2o_c + hxcoa_c --> coa_c + h_c + hxa_c
28,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
29,PRAIi: pran_c --> 2cpr5p_c
30,MTHFC: h2o_c + methf_c <=> 10fthf_c + h_c
31,FE3Ri: fadh2_c + 2.0 fe3_c --> fad_c + 2.0 fe2_c + 2.0 h_c
32,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
33,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
34,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
35,trna_thr: trnathr_c <=> 
36,OCTDPtmt: octdp_m <=> octdp_c
37,trna_leu: trnaleu_c <=> 
38,lipid4: cdpdag_c <=> cdpdddecg_c + cdpdhdec9eg_c + cdpdhdecg_c + cdpdodec11eg_c + cdpdodecg_c + cdpdtdec7eg_c + cdpdtdecg_c
39,CPS_m: 2.0 atp_m + co2_m + h2o_m + nh4_m --> 2.0 adp_m + cbp_m + 3.0 h_m + pi_m
40,RTOT2_cho: R2coa_cho_c --> Rtotalcoa_c
41,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
42,OCT: cbp_c + orn_c --> citr__L_c + pi_c
43,ACAFDOR: acald_c + fdxo_42_c + h2o_c --> ac_c + fdxr_42_c + 3.0 h_c
44,H2O2t: h2o2_e <=> h2o2_c
45,PTD1INOt: ptd1ino_c <=> ptd1ino_e
46,THRAL: ser__L_h --> nh4_h + pyr_h
47,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
48,ASPO6_1: asp__L_c + o2_c --> h2o2_c + iasp_c
49,PEDS18111Z1829Z12Z: 2.0 nadh_c + o2_c + pe18111Z1819Z_c --> 2.0 h2o_c + 2.0 nad_c + pe18111Z1829Z12Z_c
50,PRFGS: atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
51,FOLt2_1: fol_e + h2o_c --> fol_c + h2o_e
52,trna_lys: trnalys_c <=> 
53,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
54,THZT: 2c4mthzep_c --> cthzp_c
55,FACOAE141: h2o_c + tdecoa_c --> coa_c + h_c + ttdcea_c
56,CBMKr: atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
57,SAT: accoa_h + ser__L_h --> acser_h + coa_h
58,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
59,MCITDm: hcit_m --> b124tc_m + h2o_m
60,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
61,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
62,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
63,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
64,GLNGLU: adp_c + glntrna_c + glu__L_c + pi_c <=> atp_c + gln__L_c + glutrna_c
65,PAPt: pap_e <=> pap_c
66,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
67,trna_ala: trnaala_c <=> 
68,HCO3E: co2_c + h2o_c --> h_c + hco3_c
69,trna_ser: trnaser_c <=> 
70,trna_his: trnahis_c <=> 
71,DXYTST: dxyl5p_c + imgly_c + thissh_c --> 2c4mthzep_c + 2.0 h2o_c + h_c + this_c
72,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
73,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
74,LEUtec: leu__L_e --> leu__L_c
75,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
