,rxns_added
0,MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c
1,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
2,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
3,PPND: nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c
4,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
5,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
6,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
7,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
8,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
9,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
10,ACOAD1z: b2coa_c + fdxo_42_c + 2.0 nadh_c --> btcoa_c + fdxr_42_c + 2.0 nad_c
11,AMPMS: air_c + h2o_c --> 4ampm_c + 2.0 for_c + 4.0 h_c
12,LDHm: lac__D_m + nad_m --> h_m + nadh_m + pyr_m
13,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
14,THISAT: atp_c + h_c + this_c --> athis_c + ppi_c
15,CO2tmt: co2_m <=> co2_c
16,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
17,HMR_4957: cit_m --> cit_c
18,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
19,DDPGAm: 4h2oglt_m --> glx_m + pyr_m
20,PINOS: 0.01 cdpdag_c + inost_c --> cmp_c + h_c + 0.01 ptd1ino_c
21,CBMKr: atp_c + co2_c + nh4_c --> adp_c + cbp_c + 2.0 h_c
22,LALGP: LalaLglu_c + h2o_c --> ala__L_c + glu__L_c
23,trna_pro: trnapro_c <=> 
24,CHORM: chor_c --> pphn_c
25,ARTCOAL1: Rtotal_c + coa_c --> Rtotalcoa_c
26,DCTPD: dctp_c + h2o_c + h_c --> dutp_c + nh4_c
27,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
28,R07456: g3p_c + gln__L_c + ru5p__D_c <=> glu__L_c + pydx5p_c
29,O2tm: o2_c --> o2_m
30,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
31,trna_tyr: trnatyr_c <=> 
32,FDH7: co2_c + fdxr_42_c + h_c --> fdxo_42_c + for_c
33,FORthi: for_h + h_h --> for_c + h_c
34,HBZOPTm: 4hbz_m + octdp_m --> 3ophb_m + 2.0 ppi_m
35,PRAIi: pran_c --> 2cpr5p_c
36,trna_ala: trnaala_c <=> 
37,AGPATCOA_MYRS_MYRS_c: 1tdecg3p_c + tdcoa_c --> coa_c + pa140_c
38,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
39,ALCD19y: glyald_c + h_c + nadph_c <=> glyc_c + nadp_c
40,PTD1INOt: ptd1ino_c <=> ptd1ino_e
41,ALAGLUE: LalaDglu_c --> LalaLglu_c
42,trna_val: trnaval_c <=> 
43,ACOAD2: h_c + hx2coa_c + nadh_c --> hxcoa_c + nad_c
44,DXYTST: dxyl5p_c + imgly_c + thissh_c --> 2c4mthzep_c + 2.0 h2o_c + h_c + this_c
45,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
46,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
47,PHSERt_h: phom_h --> phom_c
48,HPROym: 4hpro_LT_m + nadp_m --> 1p3h5c_m + 2.0 h_m + nadph_m
49,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
50,GART: atp_c + for_c + gar_c --> adp_c + fgam_c + h_c + pi_c
51,FACOAE160: h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
52,trna_trp: trnatrp_c <=> 
53,trna_thr: trnathr_c <=> 
54,LEUtec: leu__L_e --> leu__L_c
55,lipid2: Rtotalcoa_c <=> dcacoa_c + ddcacoa_c + hdcoa_c + hxcoa_c + occoa_c + odecoa_c + pmtcoa_c + stcoa_c + tdcoa_c + tdecoa_c
56,GLUth: glu__L_h + h_h --> glu__L_c + h_c
57,Htu: h_h --> h_u
58,FACOAE180: h2o_c + stcoa_c --> coa_c + h_c + ocdca_c
59,QULNS_1: dhap_c + iasp_c --> 2.0 h2o_c + h_c + pi_c + quln_c
60,ARGSL: argsuc_c --> arg__L_c + fum_c
61,RBPCh: co2_h + h2o_h + rb15bp_h --> 2.0 3pg_h + 2.0 h_h
62,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
63,LADGMDH: LalaDgluMdap_c + h2o_c --> 26dap__M_c + LalaDglu_c
64,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
65,trna_his: trnahis_c <=> 
66,TMPK: atp_c + thmmp_c --> adp_c + thmpp_c
67,EX_leu__L_e: leu__L_e <=> 
68,GCALDDm: gcald_m + h2o_m + nad_m --> glyclt_m + 2.0 h_m + nadh_m
69,H2Ot: h2o_e <=> h2o_c
70,NTRIR2y: 5.0 h_c + 3.0 nadph_c + no2_c --> 2.0 h2o_c + 3.0 nadp_c + nh4_c
71,3MOBtmt: 3mob_m <=> 3mob_c
72,PRAGSr: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c
