,rxns_added
0,PDYXPT_c
1,FBA
2,AKO
3,H2Ot
4,PYDXO
5,TRPO2
6,MMSAD1
7,ECOAH12
8,ACOADH2
9,LYSLYSLYSr
10,FBA3
11,3HBCOAHL
12,AASAD1
13,LYSTYRILEt
14,HMGLB
15,MCITLmc
16,PSERT
17,LYSPHEILEr
18,AATA
19,HKYNH
20,HCO3E
21,FKYNH
22,EX_glycogen1500_e
23,G3PT
24,ILEARGILEr
25,EX_lyslyslys_e
26,THRASNTYRr
27,AM6SAD
28,LYSTYRILEr
29,SACCD1
30,EX_thrasntyr_e
31,EX_phethrlys_e
32,ASPTA6
33,ILEARGILEt
34,GTHOXti
35,ILEASNHISr
36,r1602
37,EX_lyspheile_e
38,EX_ileargile_e
39,GLYCOe
40,CYSLY3
41,PHETHRLYSt
42,KYN3OX
43,ADPRIBt
44,LPLIPAL2G160
45,ADPRDP
46,AMCOXO
47,MALTe
48,R5PP
49,H2O2t
50,HIBD
51,SULO
52,NADPPPS
53,GPDDA4
54,SACCD2
55,3HAO
56,HISD_c
57,PHETHRLYSr
58,PGCD
59,EX_lystyrile_e
60,GTHPe
61,EX_ileasnhis_e
62,QMO2
63,PCLAD
64,ILEASNHISt
65,QMO3
66,LYSPHEILEt
67,THRASNTYRt
68,GTHRDH_syn
69,PSP_L
70,LYSLYSLYSt
71,EX_adprib_e
