,rxns_added
0,r2411
1,4HBZCOAFm
2,UDPGtnic
3,SK_trnathr_c
4,SK_trnatyr_c
5,METHFtxc
6,SK_trnaile_c
7,SK_trnaser_c
8,34HPLtm
9,GTPCII
10,SK_trnagln_c
11,ATP2t_m
12,OCTDPtmt
13,HMR_4957
14,SK_trnaasn_c
15,4HBZFm
16,SK_trnacys_c
17,DROPPRy
18,SK_trnaala_c
19,RBFSa
20,SK_trnahis_c
21,RIBFSc
22,SK_trnapro_c
23,SK_trnaarg_c
24,NNDPR
25,SK_trnatrp_c
26,DTTPt
27,COUCOAFm
28,r2410
29,SK_trnaval_c
30,SK_trnamet_c
31,ARG_Ltm
32,SK_trnagly_c
33,O2tmt
34,ASPO2
35,SK_trnalys_c
36,OPHBDCm
37,SK_trnaleu_c
38,T4HCINNMFM
39,r2393
40,HMR_6782
41,SK_trnaphe_c
42,R5PFLc
43,SK_trnaasp_c
44,QULNS
45,PHEMEtm
