,rxns_added
0,LYSTYRILEr
1,HDCEAt
2,EX_lystyrile_e
3,EX_hislysthr_e
4,LYSLYSLYSt
5,LYSPHEILEt
6,AM6SAD
7,HISLYSILEt
8,AATA
9,SULO
10,PCLAD
11,AMCOXO
12,MALTe
13,PPDK
14,PSERT
15,ILEARGILEt
16,G3PT
17,TRPO2
18,EX_lyspheile_e
19,GPDDA4
20,CYSDS
21,QMO3
22,QMO2
23,FKYNH
24,GLYCOe
25,PYDXO
26,NADDP
27,HKYNH
28,ACOADH2
29,EX_hislysile_e
30,GTHRDH_syn
31,EX_lyslyslys_e
32,EX_glycogen1500_e
33,EX_adprib_e
34,ECOAH2c
35,MMSDHir
36,ASPTA
37,LYSPHEILEr
38,HISLYSTHRr
39,PGCD
40,r1602
41,ASPTA6
42,HISD_c
43,LYSLYSLYSr
44,HACOADr
45,SACCD2
46,3HAO
47,EX_ileargile_e
48,SACCD1
49,HIBHr
50,AKO
51,MCITLmc
52,R5PP
53,DBRC
54,KYN3OX
55,NMNDA
56,H2O2t
57,LPLIPAL2G160
58,HISLYSILEr
59,GTHPe
60,NADPPPS
61,ADPRDP
62,PSP_L
63,ILEARGILEr
64,CO2t
65,GTHOXti
66,LYSTYRILEt
67,HISLYSTHRt
68,ADPRIBt
69,AASAD2
70,DMBZIDS
71,HMGLB
