,rxns_added
0,ASPO2
1,SK_trnaglu_c
2,r0480
3,EX_thm_e
4,T4HCINNMFM
5,4HBZFm
6,SK_trnaval_c
7,METHFtxc
8,SK_trnaser_c
9,R5PFLc
10,OCTDPtmt
11,THMt2
12,SK_trnatyr_c
13,COUCOAFm
14,CO2tmt
15,MALCOAMT
16,SK_trnathr_c
17,r0788
18,O2tm
19,SK_trnaarg_c
20,SK_trnahis_c
21,DROPPRy
22,PHEMEtm
23,4HBZCOAFm
24,SK_trnaile_c
25,HMR_6782
26,SK_trnaleu_c
27,RBFSa
28,SK_trnalys_c
29,NNDPR
30,RIBFSc
31,SK_trnagly_c
32,SK_trnaphe_c
33,SK_trnagln_c
34,UDPGtnic
35,SK_trnapro_c
36,SK_trnamet_c
37,MECDPS
38,GTPCII
39,34HPLtm
40,SK_trnaala_c
41,SK_trnatrp_c
42,SK_trnaasp_c
43,SK_trnacys_c
44,QULNS
45,ATPt_m
46,OPHBDCm
47,SK_trnaasn_c
