,rxns_added
0,QMO2
1,FAOXC1811603m
2,OCTDPtmt
3,CO2tmt
4,NNDPR
5,SK_trnatyr_c
6,PMDPHT
7,SK_trnamet_c
8,SK_trnatrp_c
9,SK_trnaasn_c
10,THMt3
11,SK_trnaleu_c
12,SK_trnacys_c
13,FA180COAabcpc
14,SK_trnaval_c
15,PTRCt3i
16,FACOAE120
17,SK_trnaglu_c
18,FACOAE60
19,TALA
20,RBFSb_1
21,SK_trnapro_c
22,AKGt2n
23,SK_trnalys_c
24,SK_trnahis_c
25,DROPPRy
26,SK_trnaarg_c
27,ACCOAtm_1
28,FACOAE100
29,OPHBDCm
30,SHK3Dr
31,FAOXC80
32,FAOXC16180m
33,r1468
34,DDPA
35,SK_trnathr_c
36,ARTCOAL1
37,DLDLBTc
38,FACOAE80
39,4HBZtmt
40,SK_trnagly_c
41,PKETF
42,GTPCII
43,SK_trnagln_c
44,FAO141p_evenc
45,DHQS
46,SK_trnaala_c
47,ATPt_m
48,SK_trnaser_c
49,PHEMEtm
50,R5PFLc
51,r1467
52,ASPO2
53,SK_trnaile_c
54,EX_thm_e
55,METHFtxc
56,QULNS_1
57,SK_trnaphe_c
58,UDPGtnic
59,SK_trnaasp_c
