,rxns_added
0,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
1,LNLCt: lnlc_e --> lnlc_c
2,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
3,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
4,PRAGSr: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c
5,MAGAH2264Z7Z10Z13Z16Z19Z_c: h2o_c + mag226n3_c --> crvnc_c + glyc_c + h_c
6,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
7,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
8,GLYCOX1: gly_c + o2_c --> h2o2_c + imgly_c
9,FACOAL226: atp_c + coa_c + crvnc_c --> amp_c + c226coa_c + ppi_c
10,PRFGCL: atp_c + fpram_c --> adp_c + air_c + pi_c
11,ETHAPT_MYRS_DHA_c: 12dgr140226n3_c + cdpea_c --> cmp_c + h_c + pe140226n3_c
12,ASPO3_1: asp__L_c + q8_c --> iasp_c + q8h2_c
13,THII: athis_c + iscssh_c + nadph_c --> amp_c + iscsh_c + nadp_c + thissh_c
14,CHOPT_MYRS_DHA_c: 12dgr140226n3_c + cdpchol_c --> cmp_c + h_c + pc140226n3_c
15,ETHAPT_DHA_LNA_c: 12dgr226n3182n6_c + cdpea_c --> cmp_c + h_c + pe226n3182n6_c
16,PLA2PE_MYRS_DHA_c: h2o_c + pe140226n3_c --> 1agpe140_c + crvnc_c + h_c
17,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
18,RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c
19,LINOFATPtc: atp_c + coa_c + lnlc_e --> amp_c + lnlccoa_c + ppi_c
20,TMPPP_1: 2mahmp_c + cthzp_c + 2.0 h_c --> co2_c + ppi_c + thmmp_c
21,4HBZtm: 4hbz_c --> 4hbz_m
22,DROPPRx: 25dhpp_c + h_c + nadh_c --> 25dthpp_c + nad_c
23,PHEMEtm: pheme_m <=> pheme_c
24,C226CRNt: c226crn_c --> c226crn_m
25,THISAT: atp_c + h_c + this_c --> athis_c + ppi_c
26,AMPMS2: air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c
27,PROTEIN_BS: 0.6 ala__L_c + 0.377 arg__L_c + 0.2881 asn__L_c + 0.359 asp__L_c + 0.145 cys__L_c + 0.322 gln__L_c + 0.386 glu__L_c + 0.538 gly_c + 0.143 his__L_c + 0.324 ile__L_c + 0.564 leu__L_c + 0.57 lys__L_c + 0.138 met__L_c + 0.219 phe__L_c + 0.313 pro__L_c + 0.43 ser__L_c + 0.386 thr__L_c + 0.044 trp__L_c + 0.182 tyr__L_c + 0.416 val__L_c --> protein_c
28,CYSDES: cys__L_c + iscsh_c --> ala__L_c + h_c + iscssh_c
29,OCTDPtmt: octdp_m <=> octdp_c
30,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
31,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
32,PRFGS: atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
33,C226CPT1: c226coa_c + crn_c --> c226crn_c + coa_c
34,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
35,r2514m: crn_m + hdcea_c --> crn_c + hdcea_m
36,DAGAH_DHA_LNA_c: 12dgr226n3182n6_c + h2o_c --> h_c + lnlc_c + mag226n3_c
37,CO2tmt: co2_m <=> co2_c
38,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
39,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
40,QMO2: 2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c
41,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
42,FAOXC80: 3.0 coa_m + 3.0 fad_m + 3.0 h2o_m + 3.0 nad_m + occoa_m --> 4.0 accoa_m + 3.0 fadh2_m + 3.0 h_m + 3.0 nadh_m
43,FAOXC16180m: 4.0 coa_m + 3.0 fad_m + 4.0 h2o_m + hdcoa_m + 4.0 nad_m --> 4.0 accoa_m + 3.0 fadh2_m + 4.0 h_m + 4.0 nadh_m + occoa_m
44,DXYTST: dxyl5p_c + imgly_c + thissh_c --> 2c4mthzep_c + 2.0 h2o_c + h_c + this_c
45,GARFT: 10fthf_c + gar_c --> fgam_c + h_c + thf_c
46,THZT: 2c4mthzep_c --> cthzp_c
47,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
48,C226CPT2: c226crn_m + coa_m --> c226coa_m + crn_m
49,DHQS: 2dda7p_c --> 3dhq_c + pi_c
50,FAOXC226: c226coa_m + 10.0 coa_m + 4.0 fad_m + 10.0 h2o_m + 10.0 nad_m --> 11.0 accoa_m + 4.0 fadh2_m + 10.0 h_m + 10.0 nadh_m
