,rxns_added
0,T4HCINNMFM
1,GLDBRAN
2,SK_trnamet_c
3,DAGK_OLE_LNA_c
4,ASPO2y
5,SK_trnaleu_c
6,34HPLFM
7,OCTDPtmt
8,GLPASE1
9,PMDPHT
10,HBZOPTm
11,GLGNS1
12,SK_trnaasp_c
13,PAPA1819Z1819Z
14,RBFSb_1
15,FTHFLi
16,SK_trnathr_c
17,SK_trnalys_c
18,PHEMEtm
19,DROPPRx
20,SK_trnaala_c
21,SK_trnatrp_c
22,SK_trnagly_c
23,4HBZCOAFm
24,ETHAPT_OLE_LNA_c
25,SK_trnaval_c
26,SK_trnaglu_c
27,SK_trnacys_c
28,COUCOAFm
29,UDPGtnic
30,CO2tmt
31,DLDLBTc
32,SK_trnahis_c
33,SK_trnaasn_c
34,PLDAGAT18111Z1819Z1602
35,ACOADAGAT18111Z1819Z160
36,SK_trnaarg_c
37,PLDPE_OLE_LNA_c
38,GLBRAN
39,SK_trnapro_c
40,NADK1
41,GGNG
42,PGPS_OLE_PALM
43,MTHFC
44,QULNS_1
45,34HPPt2m
46,GTPCII
47,NNDPR
48,GLPASE2a
49,SK_trnaile_c
50,SK_trnaser_c
51,OPHBDCm
52,SK_trnatyr_c
53,SK_trnagln_c
54,OPHHXm
55,4HBZFm
56,R5PFLc
57,SK_trnaphe_c
