,rxns_added
0,NNDPR
1,GLBRAN
2,SK_trnaile_c
3,GLPASE1
4,PHEMEtm
5,GTPCII
6,4HBZFm
7,SK_trnatrp_c
8,GLPASE2
9,OPHHXm
10,FTHFLi
11,DATPDPm
12,GLGNS1
13,4HBZCOAFm
14,PMDPHT
15,SK_trnalys_c
16,DNDPt12m
17,SK_trnatyr_c
18,OPHBDCm
19,SK_trnahis_c
20,SK_trnagly_c
21,SK_trnamet_c
22,NADK
23,SK_trnaasp_c
24,GLDBRAN
25,OCTDPtmt
26,SK_trnaser_c
27,UDPGtnic
28,34HPPt2m
29,COUCOAFm
30,HBZOPTm
31,SK_trnaarg_c
32,ASPO3
33,SK_trnaasn_c
34,SK_trnaglu_c
35,SK_trnapro_c
36,NADPHtmt
37,GGNG
38,SK_trnathr_c
39,DATPtm_cho
40,R5PFLc
41,SK_trnaphe_c
42,34HPLFM
43,CO2tmt
44,DLDLBTc
45,SK_trnaala_c
46,QULNS_1
47,RBFSb_1
48,SK_trnaval_c
49,T4HCINNMFM
50,DROPPRx
51,SK_trnacys_c
52,SK_trnagln_c
53,FTHFI
54,SK_trnaleu_c
