,rxns_added
0,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
1,MI1PP: h2o_c + mi1p__D_c --> inost_c + pi_c
2,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
3,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
4,RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c
5,CO2tmt: co2_m <=> co2_c
6,ASPO2: asp__L_c + nad_c --> 2.0 h_c + iasp_c + nadh_c
7,PHEMEtm: pheme_m <=> pheme_c
8,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
9,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
10,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
11,RBFSb_1: 2.0 dmlz_c --> 4r5au_c + h_c + ribflv_c
12,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
13,OCTDPtmt: octdp_m <=> octdp_c
14,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
15,O2tm: o2_c --> o2_m
16,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
17,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
18,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
19,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
20,QULNS_1: dhap_c + iasp_c --> 2.0 h2o_c + h_c + pi_c + quln_c
21,DCTPD2: ctp_c + h2o_c + h_c --> nh4_c + utp_c
22,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
