,rxns_added
0,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
1,SULR_1: 3.0 h2o_c + h2s_c + 3.0 nadp_c --> 4.0 h_c + 3.0 nadph_c + so3_c
2,KARA2: 2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
3,ASPth: asp__L_c + h_c --> asp__L_h + h_h
4,PHSERt_h: phom_h --> phom_c
5,MCITDm: hcit_m --> b124tc_m + h2o_m
6,G3PT: glyc3p_c + h2o_c --> glyc_c + pi_c
7,trna_cys: trnacys_c <=> 
8,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
9,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
10,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
11,trna_ala: trnaala_c <=> 
12,VALTA: akg_c + val__L_c <=> 3mob_c + glu__L_c
13,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
14,PEPC_h: co2_h + h2o_h + pep_h --> h_h + oaa_h + pi_h
15,trna_arg: trnaarg_c <=> 
16,FAS140ACPm: ddcaACP_m + 3.0 h_m + malACP_m + 2.0 nadph_m --> ACP_m + co2_m + h2o_m + myrsACP_m + 2.0 nadp_m
17,trna_val: trnaval_c <=> 
18,PIt_h: h_c + pi_c --> h_h + pi_h
19,GMPt6: gmp_e + h_e --> gmp_c + h_c
20,EX_leu__L_e: leu__L_e <=> 
21,DHAD1m: 23dhmb_m --> 3mob_m + h2o_m
22,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
23,trna_met: trnamet_c <=> 
24,trna_tyr: trnatyr_c <=> 
25,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
26,trna_his: trnahis_c <=> 
27,FA160ACPH_m: h2o_m + palmACP_m --> ACP_m + h_m + hdca_m
28,FAS160ACPm: 3.0 h_m + malACP_m + myrsACP_m + 2.0 nadph_m --> ACP_m + co2_m + h2o_m + 2.0 nadp_m + palmACP_m
29,ACHBS: 2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
30,GLUth: glu__L_h + h_h --> glu__L_c + h_c
31,HACNHm: b124tc_m + h2o_m --> hicit_m
32,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
33,GLNth: gln__L_c + h_c --> gln__L_h + h_h
34,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
35,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
36,ALDD1: fald_c + h2o_c + nad_c --> for_c + 2.0 h_c + nadh_c
37,SAT: accoa_h + ser__L_h --> acser_h + coa_h
38,HIStiDF: his__L_e --> his__L_c
39,trna_ser: trnaser_c <=> 
40,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
41,O2tm: o2_c --> o2_m
42,H2Oth: h2o_c --> h2o_h
43,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
44,DHQS: 2dda7p_c --> 3dhq_c + pi_c
45,PFLh: coa_h + pyr_h --> accoa_h + for_h
46,FAS100ACPm: 3.0 h_m + malACP_m + 2.0 nadph_m + ocACP_m --> ACP_m + co2_m + dcaACP_m + h2o_m + 2.0 nadp_m
47,FAS120ACPm: dcaACP_m + 3.0 h_m + malACP_m + 2.0 nadph_m --> ACP_m + co2_m + ddcaACP_m + h2o_m + 2.0 nadp_m
48,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
49,PYRt2m: h_c + pyr_c --> h_m + pyr_m
50,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
51,EX_his__L_e: his__L_e <=> 
52,HCO3E: co2_c + h2o_c --> h_c + hco3_c
53,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
54,ASPK_1: asp__L_h + atp_h --> 4pasp_h + adp_h
55,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
56,ACCOAth: accoa_c + coa_h --> accoa_h + coa_c
57,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
58,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
59,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
60,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
61,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
62,trna_pro: trnapro_c <=> 
63,PPND2: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c
64,trna_asp: trnaasp_c <=> 
65,LDH_D: lac__D_c + nad_c --> h_c + nadh_c + pyr_c
66,FDMO2: fmnh2_c + mso3_c + o2_c --> fald_c + fmn_c + h2o_c + h_c + so3_c
67,araphe2: 3mop_c + phe__L_c --> ile__L_c + phpyr_c
68,THRS: h2o_c + phom_c --> pi_c + thr__L_c
69,FUMtm: fum_c + pi_m --> fum_m + pi_c
70,MDHh: h_h + nadh_h + oaa_h --> mal__L_h + nad_h
71,ANS2: chor_c + nh4_c --> anth_c + h2o_c + h_c + pyr_c
72,MALtm: mal__L_c + pi_m --> mal__L_m + pi_c
73,Htu: h_h --> h_u
74,PRAIi: pran_c --> 2cpr5p_c
75,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
76,PMTCOAtm: pmtcoa_m --> pmtcoa_c
77,trna_asn: trnaasn_c <=> 
78,trna_thr: trnathr_c <=> 
79,FldAct: fald_c + thf_c --> h2o_c + mlthf_c
80,trna_leu: trnaleu_c <=> 
81,3MOBtmt: 3mob_m <=> 3mob_c
82,MSULR: ch4s_c + 3.0 h2o_c + 3.0 nadp_c --> 4.0 h_c + mso3_c + 3.0 nadph_c
83,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
84,trna_phe: trnaphe_c <=> 
85,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
86,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
87,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
88,ACSERL_c: acser_c + seln_c --> ac_c + selcys_c
89,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
90,trna_gln: trnagln_c <=> 
91,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
92,METGL: h2o_c + met__L_c --> 2obut_c + ch4s_c + nh4_c
93,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
94,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
95,HCO3Em: co2_m + h2o_m --> h_m + hco3_m
96,trna_glu: trnaglu_c <=> 
97,trna_lys: trnalys_c <=> 
98,KARA1im: alac__S_m + h_m + nadph_m --> 23dhmb_m + nadp_m
99,CHORM: chor_c --> pphn_c
100,FAS80ACPxym_L: acACP_m + 9.0 h_m + 3.0 malACP_m + 3.0 nadh_m + 3.0 nadph_m --> 3.0 ACP_m + 3.0 co2_m + 3.0 h2o_m + 3.0 nad_m + 3.0 nadp_m + ocACP_m
101,trna_trp: trnatrp_c <=> 
102,MDHm: mal__L_m + nad_m <=> h_m + nadh_m + oaa_m
103,ACLSm: h_m + 2.0 pyr_m --> alac__S_m + co2_m
104,ACSERthi: acser_h --> acser_c
105,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
106,FACOAE160: h2o_c + pmtcoa_c --> coa_c + h_c + hdca_c
107,MDHC_nadp_hr: mal__L_h + nadp_h --> co2_h + nadph_h + pyr_h
108,PEPPIth: pep_c + pi_h --> pep_h + pi_c
109,CO2tmt: co2_m <=> co2_c
110,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
111,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
112,trna_ile: trnaile_c <=> 
113,DHAD2: 23dhmp_c --> 3mop_c + h2o_c
114,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
115,LEUtec: leu__L_e --> leu__L_c
116,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
117,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
118,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
119,trna_gly: trnagly_c <=> 
120,LPLIPAL2G160: 2agpg160_c + h2o_c --> g3pg_c + h_c + hdca_c
121,FORthi: for_h + h_h --> for_c + h_c
