,rxns_added
0,HACD5i
1,DIPEPabc6c
2,DAGK120
3,ATHRDHr
4,ACOAD5_1
5,LPCAT_STC_PALM_sn2_c
6,DSMSTOLR
7,PLDAGAT1819Z18111Z1819Z2
8,LYSTYRILEt
9,DAGAH_STC_DHA_c
10,GMPt6
11,NH4t_1
12,PAPA18111Z1819Z
13,THRASNTYRr
14,LAAL15
15,LYSLYSLYSr
16,3HAACOAT100
17,AM6SAD
18,PLDAGAT_MYRS_EPA_LNA_PC_6_c
19,ARTFR206_cho
20,HISD_c
21,LYSTYRILEr
22,XYLANabc
23,HMR_3690
24,ACOADH2
25,PLDAGAT_PALM_EPA_DHA_PE_12_c
26,PLDAGAT_HDE_EPA_LNA_PC_1_c
27,CHLP
28,H2O2t
29,ETHAPT_MYRS_DHA_c
30,CTBTt2rpp
31,PGCD
32,PLA2PE_EPA_STC_c
33,LPCH2264Z7Z10Z13Z16Z19Z_sn1_c
34,ILEASNHISt
35,LPCAT_STC_STC_sn2_c
36,ANDRSTRNtr
37,PDYXPT_c
38,NAPT
39,LPLIPAL2G181
40,PLA2PA_EPA_OLE_c
41,UDPGtnic
42,THRASNTYRt
43,r0936
44,PLDPE_EPA_STC_c
45,DESAT18_10
46,QUILSYN
47,COBALTt5
48,EX_ileargile_e
49,UMPK7
50,17AHPRGNLONEte
51,GMPR
52,HKYNH
53,GULND
54,RHACOAR100
55,DAGAH_PALM_PALM_c
56,FAH3_1
57,HSD17B2r
58,ACOADAGAT_MYRS_EPA_DHA_c
59,LPEAT_EPA_ALNA_sn2_c
60,LTHSTRLtr
61,PLIPA2E181
62,PLDPC_HDE_HDE_c
63,GLCURS1
64,PKETF
65,MALS
66,EDD
67,HMR_2861
68,DAGAH_MYRS_MYRS_c
69,CEPTE_18_2_18_2nhs
70,PLDAGAT_OLE_HDE_OLE_PC_6_c
71,PLA2PC_DHA_ALNA_c
72,PLDAGAT1819Z18111Z1819Z3
73,EX_xylan12_e
74,XYLI1
75,GTHOXti
76,PAPA1801819Z
77,CHOPT_HDE_HDE_c
78,CPC6R
79,MMSDHir
80,PETHDMT_c
81,PPS
82,LPS2_18_2_18_2nhs
83,LPEAT_PALM_ARA_sn2_c
84,ASPTA6
85,ACOADAGAT_HDE_EPA_LNA_c
86,RE1096C
87,EX_lipid_c
88,DGULND
89,EX_thrasntyr_e
90,HMR_2862
91,ILEARGILEr
92,PLDAGAT_OLE_HDE_OLE_PE_12_c
93,PLDAGAT_PALM_EPA_LNA_PC_6_c
94,SACCD1
95,CRNCDH
96,HMGLB
97,CPC5MT
98,CHLSTR
99,NTRIR3ppc
100,PLDAGAT_HDE_EPA_OLE_PE_12_c
101,QMO2
102,r1602
103,TRPO2
104,LPLIPAL2G160
105,XYL2e
106,MAGAH160
107,HMR_2014
108,DAGAH_PALM_ARA_c
109,XYLOS1
110,PCLAD
111,COCHL_1
112,ECOAH5_1
113,LPLIPAL2G141
114,GPDDA1
115,ETHAPT_PALM_ARA_c
116,CHOPT_STC_PALM_c
117,HMR_2983
118,ILEASNHISr
119,GTHPe
120,LPLIPAL2G120
121,FKYNH
122,ETHAPT_OLE_STC_c
123,NDH1_4pp
124,NMNN
125,ICL
126,LINKDEG2ly
127,LYSPHEILEt
128,GLYO1
129,FA100ACPHi
130,ARTCOAL1
131,LYSLYSLYSt
132,MAGAH1819Z_c
133,CPC8MM
134,r2507
135,ACOAR5mc
136,EX_lystyrile_e
137,PLA2PE_MYRS_MYRS_c
138,PLA2PE_PALM_PALM_c
139,ACOADAGAT_PALM_EPA_DHA_c
140,CYTK10
141,PAPA_EPA_OLE_c
142,PPAer
143,ETHAPT_EPA_ALNA_c
144,PLDPE_HDE_HDE_c
145,AASAD2
146,r1180
147,SO4tl
148,GTHRDH_syn
149,DAGAH_DHA_ALNA_c
150,HMR_2016
151,ACOAR7mc
152,PAPA1819Z1819Z
153,PGLc
154,ACACT6r_1
155,DAGK141
156,CITACt
157,FAOXC16OHC16r
158,PSERT
159,PLA2PC_DHA_STA_c
160,FACOAE60
161,CPC4MT
162,EX_17ahprgnlone_e
163,MAGAH140_c
164,GULN3D
165,CYRDAS
166,LPLIPAL2E181
167,CBFC2pp
168,PAPA_EPA_ALNA_c
169,PETHTMT_c
170,CO2tpp
171,THRA2
172,G6Pt6er
173,DDGLK
174,PLDPC_EPA_ALNA_c
175,EX_lyslyslys_e
176,XYLtly
177,ILEARGILEt
178,LPS3_18_2nhs
179,PROt3
180,GPDDA2
181,FACOAL260
182,MAGAH2264Z7Z10Z13Z16Z19Z_c
183,PLDAGAT_MYRS_EPA_DHA_PE_9_c
184,ETHAPT_DHA_ALNA_c
185,AATA
186,FAO161p_oddc
187,HIBHr
188,NADHtru
189,PLA2PC_EPA_ALNA_c
190,STRDNCCPT1
191,FBA
192,PKETX
193,AGPATCOA_EPA_STC_c
194,DCTPD2
195,PEFLIP
196,CPC6MT
197,r1173
198,CHOPT_EPA_OLE_c
199,PLDAGAT_MYRS_EPA_LNA_PC_1_c
200,PCD6DS_DHA_STA_sn2_c
201,OMHPALTD
202,CHOPT_STC_STC_c
203,ECOAH2c
204,SACCD2
205,KYN3OX
206,XYLTD_D
207,PSP_L
208,FDH6pp
209,DAGAH_STC_PALM_c
210,HMR_2982
211,RTOT2_cho
212,CITL
213,EX_lyspheile_e
214,AMCOXO
215,ETHAPT_STC_DHA_c
216,MCITLmc
217,FA80ACPHi
218,FBA3
219,DHCR242r
220,DAGAH_MYRS_DHA_c
221,EX_ileasnhis_e
222,PLIPA2A181
223,ETHAPT
224,HSD3A2r
225,RE3289R
226,H2Ot
227,HACOADr
228,SR5AR2r
229,ARTFR213_cho
230,r0784
231,HMR_3663
232,DAGAH_OLE_STC_c
233,PLDPC_STC_OLE_c
234,ARTPLM1
235,LPEAT_OLE_STC_sn2_c
236,AMPtr
237,LYSPHEILEr
238,r2510
239,NNDPR
240,r0987
241,HMR_2948
242,XYLe
243,GPDDA4
244,ARTFR202_cho
245,PYDXO
246,3HAACOAT140
247,RHACOAR140
248,HSD3B13
249,NDH1_3uc
250,CRNCBCT
251,PLDAGAT_HDE_EPA_OLE_PC_4_c
252,3HAO
253,NADPPPS
254,DAGK181
