,rxns_added
0,SK_trnagln_c
1,SK_trnacys_c
2,AMPt_m
3,O2tm
4,SK_trnaile_c
5,MET_SLV
6,NNDPR
7,DROPPRy
8,SK_trnaval_c
9,34HPLtm
10,SK_trnagly_c
11,PHEMEtm
12,GLUth
13,RBFSb_1
14,SK_trnathr_c
15,THMt3
16,OPHBDCm
17,OCTDPtmt
18,SK_trnaasp_c
19,METHFtxc
20,4HBZFm
21,GTPCII
22,SK_trnatyr_c
23,ASPO6
24,COUCOAFm
25,HMR_6782
26,CO2tmt
27,DLDLBTc
28,SK_trnapro_c
29,SK_trnaleu_c
30,SK_trnaala_c
31,PMDPHT
32,SK_trnaarg_c
33,R5PFLc
34,UDPGtnic
35,SK_trnamet_c
36,SK_trnalys_c
37,SK_trnaser_c
38,SK_trnaasn_c
39,T4HCINNMFM
40,EX_thm_e
41,SK_trnahis_c
42,SK_trnatrp_c
43,SK_trnaphe_c
44,4HBZCOAFm
45,QULNS_1
