,rxns_added
0,PROTEIN_BS: 0.6 ala__L_c + 0.377 arg__L_c + 0.2881 asn__L_c + 0.359 asp__L_c + 0.145 cys__L_c + 0.322 gln__L_c + 0.386 glu__L_c + 0.538 gly_c + 0.143 his__L_c + 0.324 ile__L_c + 0.564 leu__L_c + 0.57 lys__L_c + 0.138 met__L_c + 0.219 phe__L_c + 0.313 pro__L_c + 0.43 ser__L_c + 0.386 thr__L_c + 0.044 trp__L_c + 0.182 tyr__L_c + 0.416 val__L_c --> protein_c
1,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
2,THII: athis_c + iscssh_c + nadph_c --> amp_c + iscsh_c + nadp_c + thissh_c
3,GARFT: 10fthf_c + gar_c --> fgam_c + h_c + thf_c
4,PLDAGAT_PALM_EPA_EPA_PE_9_c: 12dgr160205n3_c + pe140205n3_c --> 1agpe140_c + tag160205n3205n3_c
5,PEDS1801829Z12Z: 2.0 nadh_c + o2_c + pe1801819Z_c --> 2.0 h2o_c + 2.0 nad_c + pe1801829Z12Z_c
6,PIPLC_LNA_LNA_c: h2o_c + pail45p182_9_12_c --> 12dgr182_9_12_c + h_c + mi145p_c
7,GLYCOX1: gly_c + o2_c --> h2o2_c + imgly_c
8,DHQS: 2dda7p_c --> 3dhq_c + pi_c
9,PIP3K_LNA_LNA_c: atp_c + pail182_9_12_c --> adp_c + h_c + pail3p182_9_12_c
10,PRFGS: atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c
11,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
12,THZT: 2c4mthzep_c --> cthzp_c
13,OCTDPtmt: octdp_m <=> octdp_c
14,MI1PP: h2o_c + mi1p__D_c --> inost_c + pi_c
15,PLBPC_SC: h2o_c + 0.005 pc_SC_c --> 0.02 dca_c + 0.06 ddca_c + 0.5 g3pc_c + h_c + 0.27 hdca_c + 0.17 hdcea_c + 0.05 ocdca_c + 0.24 ocdcea_c + 0.09 ocdcya_c + 0.1 ttdca_c
16,DAGAH_LNA_DHA_c: 12dgr182n6226n3_c + h2o_c --> crvnc_c + h_c + mag182n6_c
17,TMPPP_1: 2mahmp_c + cthzp_c + 2.0 h_c --> co2_c + ppi_c + thmmp_c
18,FA100ACPHi: dcaACP_c + h2o_c --> ACP_c + dca_c + h_c
19,PLDAGAT_HDE_EPA_EPA_PC_4_c: 12dgr1619Z205n3_c + pc180205n3_c --> 1agpc180_c + tag1619Z205n3205n3_c
20,C226CRNt: c226crn_c --> c226crn_m
21,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
22,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
23,CYSDES: cys__L_c + iscsh_c --> ala__L_c + h_c + iscssh_c
24,FACOAL226: atp_c + coa_c + crvnc_c --> amp_c + c226coa_c + ppi_c
25,FAOXC226: c226coa_m + 10.0 coa_m + 4.0 fad_m + 10.0 h2o_m + 10.0 nad_m --> 11.0 accoa_m + 4.0 fadh2_m + 10.0 h_m + 10.0 nadh_m
26,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
27,QMO2: 2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c
28,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
29,PHEMEtm: pheme_m <=> pheme_c
30,DXYTST: dxyl5p_c + imgly_c + thissh_c --> 2c4mthzep_c + 2.0 h2o_c + h_c + this_c
31,CO2tmt: co2_m <=> co2_c
32,4HBZtm: 4hbz_c --> 4hbz_m
33,FAOXC80: 3.0 coa_m + 3.0 fad_m + 3.0 h2o_m + 3.0 nad_m + occoa_m --> 4.0 accoa_m + 3.0 fadh2_m + 3.0 h_m + 3.0 nadh_m
34,CHOPT_STC_STC_c: 12dgr180_c + cdpchol_c --> cmp_c + h_c + pc180_c
35,r2514m: crn_m + hdcea_c --> crn_c + hdcea_m
36,CHOPT_STC_EPA_c: 12dgr180205n3_c + cdpchol_c --> cmp_c + h_c + pc180205n3_c
37,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
38,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
39,RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c
40,ETHAPT_STC_EPA_c: 12dgr180205n3_c + cdpea_c --> cmp_c + h_c + pe180205n3_c
41,LPCAT_STC_STC_sn2_c: 1agpc180_c + ocdccoa_c --> coa_c + pc180_c
42,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
43,FAOXC16180m: 4.0 coa_m + 3.0 fad_m + 4.0 h2o_m + hdcoa_m + 4.0 nad_m --> 4.0 accoa_m + 3.0 fadh2_m + 4.0 h_m + 4.0 nadh_m + occoa_m
44,AMPMS: air_c + h2o_c --> 4ampm_c + 2.0 for_c + 4.0 h_c
45,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
46,PLDAGAT_HDE_EPA_EPA_PE_9_c: 12dgr1619Z205n3_c + pe140205n3_c --> 1agpe140_c + tag1619Z205n3205n3_c
47,C226CPT1: c226coa_c + crn_c --> c226crn_c + coa_c
48,ASPO6_1: asp__L_c + o2_c --> h2o2_c + iasp_c
49,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
50,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
51,PI4P5K_LNA_LNA_c: atp_c + pail4p182_9_12_c --> adp_c + h_c + pail45p182_9_12_c
52,THISAT: atp_c + h_c + this_c --> athis_c + ppi_c
53,PLDAGAT_PALM_EPA_EPA_PE_12_c: 12dgr160205n3_c + pe180205n3_c --> 1agpe180_c + tag160205n3205n3_c
54,C226CPT2: c226crn_m + coa_m --> c226coa_m + crn_m
55,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
56,PRAGSr: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c
57,PRFGCL: atp_c + fpram_c --> adp_c + air_c + pi_c
58,DAGAH_LNA_LNA_c: 12dgr182_9_12_c + h2o_c --> h_c + lnlc_c + mag182n6_c
59,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
60,PIP4K_LNA_LNA_c: atp_c + pail182_9_12_c --> adp_c + h_c + pail4p182_9_12_c
