,rxns_added
0,AATA
1,PYDXO
2,ACOADAGAT_EPA_EPA_ARA_c
3,NTRIR3ppc
4,NMNDA
5,ACOAR4mc
6,FACOAE80
7,VALTA
8,FACOAE180
9,HKYNH
10,EX_ileargile_e
11,LPLIPAL2G160
12,LYSLYSLYSt
13,MMSAD1
14,LYSPHEILEt
15,HCO3E
16,DAGAH_MYRS_MYRS_c
17,PGCD
18,NADDP
19,FACOAE100
20,GST12_e
21,ILEARGILEr
22,CHOPT_MYRS_MYRS_c
23,PLA2PC_PALM_PALM_c
24,HACD4i
25,PUNP3
26,CITL
27,PLDAGAT_HDE_EPA_ARA_PC_1_c
28,FACOAE160
29,DAGAH_MYRS_ARA_c
30,FKYNH
31,HIBHr
32,PSP_L
33,TRPO2
34,GMPt6
35,r1579
36,GLNyLATthc
37,HMGLB
38,LPCAT_MYRS_MYRS_sn2_c
39,PCLAD
40,ADPT
41,ARTCOAL1
42,PLDAGAT_HDE_EPA_ARA_PE_15_c
43,CHOPT_PALM_PALM_c
44,AM6SAD
45,ARTPLM1
46,LPLIPAL2G120
47,LPCH160_sn1_c
48,3HAO
49,NNDPR
50,THRTHRARGr
51,SACCD1
52,H2Ot
53,KYN3OX
54,CYSLY3
55,ACOAR7mc
56,ASPTA6
57,r1523
58,LYSTYRILEt
59,PUNP1
60,DAGAH_PALM_PALM_c
61,LYSLYSLYSr
62,ALCD19
63,THRTHRARGt
64,EX_lyspheile_e
65,PLDAGAT_EPA_EPA_ARA_PE_15_c
66,PLDPC_MYRS_ARA_c
67,SACCD2
68,EX_thrthrarg_e
69,ILEARGILEt
70,LYSTYRILEr
71,NH4t_1
72,GPDDA4
73,AASAD2
74,QUILSYN
75,PDYXPT_c
76,HMR_0410
77,G_Protein_t
78,NDH1_3uc
79,HISD_c
80,HIBD
81,LYSPHEILEr
82,AMCOXO
83,PAPA_MYRS_ARA_c
84,ACOAHim
85,MAGAH160
86,SULR_1
87,MCITLmc
88,CITACt
89,LPLIPAL2G141
90,EX_lystyrile_e
91,DESAT20_1
92,FACOAE60
93,GNNUC
94,EX_lyslyslys_e
95,PSERT
96,ACOADH2
97,NADPPPS
