,rxns_added
0,METHFtxc
1,SK_trnacys_c
2,EX_thmmp_e
3,SK_trnagln_c
4,OCTDPtmt
5,GTPCII
6,4HBZCOAFm
7,RIBFSc
8,SK_trnaphe_c
9,THMMPtrbc
10,T4HCINNMFM
11,SK_trnaval_c
12,NNDPR
13,ACOADAGAT_OLE_PALM_HDE_c
14,SK_trnathr_c
15,SK_trnalys_c
16,SK_trnatrp_c
17,PHEMEtm
18,SK_trnaser_c
19,UDPGtnic
20,COUCOAFm
21,ARTCOAL1
22,SK_trnaasp_c
23,DROPPRx
24,SK_trnaala_c
25,ASPO2y
26,DB4PS
27,PLDAGAT_OLE_PALM_HDE_PE_11_c
28,QULNS
29,SK_trnaarg_c
30,SK_trnagly_c
31,OPHBDCm
32,RBFSa
33,4HBZFm
34,PTD1INOt
35,SK_trnamet_c
36,34HPLtm
37,O2tm
38,SK_trnahis_c
39,ASPO5_1
40,r0853
41,HMR_6782
42,CO2tmt
43,SK_trnaile_c
44,SK_trnapro_c
45,SK_trnaasn_c
46,SK_trnatyr_c
47,EX_ptd1ino_e
48,SK_trnaglu_c
49,SK_trnaleu_c
50,QMO2
