,rxns_added
0,trna_val: trnaval_c <=> 
1,trna_ile: trnaile_c <=> 
2,HMR_6782: 34hpp_c + h_c + nadh_c --> 34hpl_c + nad_c
3,QULNS: dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
4,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
5,T4HCINNMFM: 34hpl_m --> T4hcinnm_m + h2o_m
6,trna_asp: trnaasp_c <=> 
7,trna_leu: trnaleu_c <=> 
8,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
9,CO2tmt: co2_m <=> co2_c
10,trna_cys: trnacys_c <=> 
11,trna_met: trnamet_c <=> 
12,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
13,4HBZFm: 4hbzcoa_m + h2o_m --> 4hbz_m + coa_m + h_m
14,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
15,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
16,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
17,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
18,trna_lys: trnalys_c <=> 
19,O2tm: o2_c --> o2_m
20,DHQS: 2dda7p_c --> 3dhq_c + pi_c
21,trna_trp: trnatrp_c <=> 
22,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
23,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
24,4HBZCOAFm: coa_m + coucoa_m + h2o_m + nad_m --> 4hbzcoa_m + accoa_m + h_m + nadh_m
25,OCTDPtmt: octdp_m <=> octdp_c
26,RBFSb: 2.0 dmlz_c --> 4r5au_c + ribflv_c
27,trna_pro: trnapro_c <=> 
28,trna_arg: trnaarg_c <=> 
29,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
30,trna_tyr: trnatyr_c <=> 
31,trna_ala: trnaala_c <=> 
32,trna_gly: trnagly_c <=> 
33,PHEMEtm: pheme_m <=> pheme_c
34,34HPLtm: 34hpl_c + h_c --> 34hpl_m + h_m
35,trna_asn: trnaasn_c <=> 
36,trna_phe: trnaphe_c <=> 
37,trna_gln: trnagln_c <=> 
38,trna_ser: trnaser_c <=> 
39,trna_thr: trnathr_c <=> 
40,ASPO2: asp__L_c + nad_c --> 2.0 h_c + iasp_c + nadh_c
41,COUCOAFm: T4hcinnm_m + atp_m + coa_m --> amp_m + coucoa_m + ppi_m
42,trna_his: trnahis_c <=> 
43,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
