,rxns_added
0,SK_trnaasn_c
1,SK_trnapro_c
2,SK_trnaval_c
3,LPLIPAL2G180
4,EHGLAT2m
5,SK_trnacys_c
6,EX_ileasnhis_e
7,r2034
8,FTHFLi
9,PCm
10,THRASNTYRr
11,KYN3OX
12,SK_trnamet_c
13,MAGtnhs
14,HMR_4957
15,NADK
16,XOLEST2te_cho
17,4HBZFm
18,ASPTA6
19,SK_trnaser_c
20,NH4t
21,CO2tmt
22,FKYNH
23,PGMmc
24,AATA
25,EX_lyslyslys_e
26,FACOAE120
27,COUCOAFm
28,PSERT
29,FACOAE80
30,CITACt
31,SK_trnahis_c
32,AMCOXO
33,CYSLY3
34,SACCD2
35,ILEASNHISt
36,NTRIR3ppc
37,ARTPLM1
38,LYSPHEILEt
39,AASAD2
40,SK_trnathr_c
41,PINOS
42,GPDDA4
43,R07456
44,SK_trnalys_c
45,FAO141p_oddc
46,EX_fadh2_c
47,CLPNH180
48,MMTSAO
49,GLDBRAN
50,34HPPt2m
51,AKO
52,LPS2nhs
53,3HAO
54,SK_trnaleu_c
55,CLPNH160
56,HCO3Em
57,PTD1INOt
58,LPLIPAL2G141
59,SK_trnatrp_c
60,EX_thrasntyr_e
61,4HPRO_LTtm
62,QUILSYN
63,THMMPt4_1
64,ASPtmt
65,CITL
66,LPLIPAL2A120
67,FBA
68,MTRI
69,4HBZCOAFm
70,r0686
71,OCTDPtmt
72,SUCOAACTr
73,PAPA161
74,FACOAE100
75,GLNGLU
76,NNDPR
77,MI3PP
78,LYSTYRILEt
79,VALDHr
80,GLGNS1
81,PHEMEtm
82,FACOAE60
83,LPS3enhs
84,PLA2_2e_cho
85,SK_trnaphe_c
86,RE3267Enhs
87,RBK
88,DKMPPD2
89,EX_ileargile_e
90,LYSLYSLYSr
91,EX_lystyrile_e
92,LPLIPAL2G140
93,CLPNH181
94,34HPLFM
95,ECOAH12
96,SACCD1
97,r0853
98,G3PT
99,EX_lyspheile_e
100,MALS
101,SK_trnatyr_c
102,T4HCINNMFM
103,HCO3E
104,HBZOPTm
105,SK_trnaile_c
106,UDPGtnic
107,GLBRAN
108,LYSLYSLYSt
109,PSP_L
110,SK_trnaala_c
111,SK_trnaasp_c
112,GTHRDH_syn
113,GLPASE2a
114,HMGLB
115,HMR_0469nhs
116,FADDP
117,EX_thmmp_e
118,THRASNTYRt
119,PCLAD
120,EX_cdpea_e
121,PDYXPT_c
122,O2tm
123,OPHHXm
124,MDRPD
125,MCITLmc
126,LYSPHEILEr
127,EX_cmp_e
128,MTAP
129,HIBHc
130,PGCD
131,H2Ot
132,TMPK
133,LYSTYRILEr
134,LPLIPAL2G160
135,PGLc
136,HMNOc
137,AM6SAD
138,GTHOXti
139,HISD_c
140,EX_ptd1ino_e
141,ILEASNHISr
142,HKYNH
143,METHFtxc
144,ACOADH2
145,ARTCOAL1
146,ACChex
147,GLPASE1
148,CLPNH120
149,GMPt6
150,GLYDHDA
151,TRPO2
152,LCAT1e_cho
153,SULO
154,CLPNH140
155,GMPR
156,MALSm
157,QMO2
158,GTHPe
159,GGNG
160,H2O2t
161,ACP1_FMN
162,DDPGAm
163,PAPA1819Z1819Z
164,MTHFC_1
165,FE3Ri
166,ILEARGILEr
167,SK_trnagln_c
168,OPHBDCm
169,CEPTEnhs
170,HPROym
171,SK_trnagly_c
172,PYDXO
173,ILEARGILEt
174,SK_trnaarg_c
