,rxns_added
0,NH4t
1,FAS100ACPm
2,PAPA1801819Z
3,SK_trnacys_c
4,GLCt1
5,MEVK2
6,EX_hislysile_e
7,LYSTYRILEt
8,SK_trnaala_c
9,AKO
10,ICL
11,SK_trnaser_c
12,EX_ileargile_e
13,EX_glycogen1500_e
14,ARTPLM1
15,LPLIPAL2G120
16,PEDS1801829Z12Z
17,SK_trnathr_c
18,LPLIPAL2G160
19,GGNG
20,PGCD
21,SK_trnatyr_c
22,T4HCINNMFM
23,SK_trnaleu_c
24,HMR_2190
25,ILEARGILEr
26,G3PT
27,SULO
28,SK_trnaile_c
29,AMPt
30,SK_trnaasn_c
31,FKYNH
32,HMR_3427
33,FBA
34,GLGNS1
35,GPAM_hsnhs
36,FACOAE80
37,HOCDACBP
38,HBZOPTm
39,FAS80ACPm_L
40,TRPAS1
41,RTOT_2_cho
42,HISLYSILEt
43,COUCOAFm
44,HIBHr
45,TAGtnhs
46,SK_trnahis_c
47,4HBZFm
48,SK_trnagly_c
49,DPMVD
50,ASPTA
51,HMR_6782
52,HISD_c
53,LCAT43enhs
54,FACOAE100
55,CLPNH181
56,EX_idl_hs_e
57,GTHRDH_syn
58,DIPEPabc6c
59,CHOLESTle_1nhs
60,AASAD2
61,EX_nad_e
62,LPCAT_EPA_EPA_sn2_c
63,LPCAT_EPA_DGLA_sn2_c
64,CO2tmt
65,ADPRIBt
66,FBA3
67,FACOAE60
68,EX_cdpea_e
69,LPCAT_STC_LNA_sn2_c
70,HISLYSILEr
71,FAOXC180
72,GLNGLU
73,SK_trnaval_c
74,OPHHXm
75,SK_trnapro_c
76,HIBD
77,CLPNH180
78,SK_trnaphe_c
79,FAS120ACPm
80,PLIPA2A180
81,ARTFR205_cho
82,ARTFR12_cho
83,LPLIPAL2G181
84,ALCD19
85,LPCHOLtnhs
86,PCW3DS_EPA_ETA_sn2_c
87,PEDH203_HSABCtnhs
88,SK_trnamet_c
89,LPLIPAL2G141
90,ACOADH2
91,34HPLFM
92,LDL_HSDEGnhs
93,PMEVK
94,KYN3OX
95,FTHFLi
96,METHFtxc
97,CEPTEnhs
98,SK_trnatrp_c
99,HMGCOAtm
100,LYSPHEILEr
101,FA120ACPtm
102,ARTFR42_cho
103,FACOAE120
104,DCATDc
105,PSP_L
106,LPASEnhs
107,LPSnhs
108,RTOT_3_cho
109,CLPNH160
110,HMR_2718
111,MCTC
112,MGCHrm
113,NMNP
114,3OAR40_m
115,PHEMEtm
116,CLPNH120
117,LPLIPAL2G161
118,ILEARGILEt
119,ACOAD8m
120,GLYCOe
121,O2tm
122,PROt3
123,DAGPYP_SC
124,3OAS40_m
125,ACP1_FMN
126,CHOPT_STC_OLE_c
127,DAGCPT
128,PTD1INOt
129,SACCD1
130,SACCD2
131,HACD8
132,PAPA18111Z1819Z
133,AM6SAD
134,GTHOXti
135,OCTAt
136,MI1PP
137,ACChex
138,OCTDPtmt
139,34HPLtm
140,LPLIPAL2G140
141,ARTCOAL1
142,LPCH180_sn1_c
143,GTHPe
144,EX_lystyrile_e
145,MMSAD1
146,EX_adprib_e
147,AMCOXO
148,RE3267Enhs
149,3HAO
150,LAAL15
151,PAPA161
152,NTD4e
153,EX_ileasnhis_e
154,FAOXC18C18OHm
155,R07456
156,HMGCOAR
157,DESAT20_2
158,FA160ACPH_m
159,SK_trnalys_c
160,HCO3Em
161,PPDK
162,FADDP
163,UDPGtnic
164,PYDXO
165,AATA
166,DAGtnhs
167,HMGLB
168,IDL_HSSYNnhs
169,EICOSTETCPT2
170,THRTHRARGt
171,PINOS
172,EX_ptd1ino_e
173,FAO141p_oddc
174,NTRIR3ppc
175,SK_trnaarg_c
176,NADDPe
177,LPLIPAL2G180
178,GLDBRAN
179,LPSenhs
180,4MOPtmt
181,PEDH203_HSPLA2nhs
182,OPHBDCm
183,ARTCOAL3_cho
184,r1602
185,4HBZCOAFm
186,ECOAH2c
187,MALTe
188,ASPTA6
189,HKYNH
190,GPDDA4
191,GLPASE1
192,ADPRDP
193,GLBRAN
194,LYSPHEILEt
195,EX_lyspheile_e
196,GLYO1
197,PSERT
198,EX_HC00009_e
199,H2O2t
200,LCAT1enhs
201,SK_trnagln_c
202,EX_ldl_enhs
203,EX_thrthrarg_e
204,PCD5DS_EPA_EPA_sn2_c
205,MTHFC_1
206,R5PP
207,PCLAD
208,FAS160ACPm
209,MALS
210,NADK
211,AGPAT1_1nhs
212,EX_fadh2_c
213,FA140ACPtm
214,THRTHRARGr
215,PLA2_2enhs
216,34HPPt2m
217,OIVD1m
218,ILEASNHISt
219,CLPNH140
220,EICOSTETCPT1
221,PPAPnhs
222,ILEASNHISr
223,MCITLmc
224,HXAt
225,GLPASE2
226,PCD12DS_STC_LNA_sn2_c
227,TRPO2
228,LYSTYRILEr
229,QMO2
230,PLD_SC
231,SK_trnaasp_c
232,ARTCOAL2
