,rxns_added
0,MALS
1,GLCt1
2,PAPA1819Z1819Z
3,HBZOPTm
4,EX_thrasntyr_e
5,EX_ileasnhis_e
6,LYSPHEILEt
7,PIPLCnhs
8,AHCYStmt
9,PYDXO
10,EX_amet_e
11,G3PT
12,THMMPt4_1
13,NADPHtmt
14,ACP1_FMN
15,PCHOLPm_hsnhs
16,CHLtm
17,MAGAH1819Z_c
18,FPGS7_1
19,GLNGLU
20,PAPA161
21,PEDS18111Z1829Z12Z
22,FA182COAabcpc
23,PLD_SC
24,SK_trnaleu_c
25,MTHFC_1
26,ACACT4pc
27,ADPRDP
28,GLPASE2
29,ILEASNHISr
30,LYSTYRILEt
31,HMR_3426
32,THRASNTYRr
33,SK_trnacys_c
34,PDYXPT_c
35,BPNT
36,ACOAD2
37,PLBPC_SC
38,LPLIPAL2G181
39,ECOAH4
40,OPHHXm
41,ADNK1m
42,ACOADH2
43,SACCD1
44,10FTHF5GLUtm
45,3HAO
46,MTHFO_nadp
47,GTHRDH_syn
48,SK_trnagly_c
49,ILEARGILEt
50,GTHPe
51,LPLIPAL2G120
52,KAT5
53,SK_trnatyr_c
54,HKYNH
55,LYSLYSLYSr
56,GGNG
57,PGCD
58,HMGLB
59,SK_trnahis_c
60,AASAD2
61,4HBZCOAFm
62,METtm
63,RTOT2_cho
64,AATA
65,NCNt
66,FADDP
67,LNLNCACPT1
68,SACCD2
69,PGMfc
70,DIPEPabc6c
71,CITACt
72,GLGNS1
73,THRASNTYRt
74,EX_lyslyslys_e
75,AMPt
76,GLPASE1
77,GTHOXti
78,DAGAH_OLE_HDE_c
79,UDPGtnic
80,ECOAH2_1c
81,DAGPYP_SC
82,EX_thmmp_e
83,MTHFCm_1
84,ILEARGILEr
85,DAGCPT
86,PAPt
87,NMNP
88,SK_trnagln_c
89,SK_trnaphe_c
90,EX_fadh2_c
91,EX_pap_e
92,NTRIR3ppc
93,LPLIPAL2G180
94,COUCOAFm
95,HACD2
96,H2O2t
97,MTHFR
98,3HBCOAHL
99,EX_ileargile_e
100,LNLNCACPT2
101,ARTFR202_cho
102,PHEMEtm
103,THFtmt
104,LPLIPAL2G160
105,FKYNH
106,RHACOAR60
107,MI1PP
108,LPLIPAL2G141
109,GLYO1
110,SK_trnalys_c
111,TMPK
112,SK_trnathr_c
113,34HPLFM
114,FAO161p_oddc
115,OPHBDCm
116,KYN3OX
117,PPDK
118,NADDPe
119,SK_trnaasp_c
120,PINOS
121,PAPA_OLE_HDE
122,ACOAD4_1
123,HISD_c
124,LYSPHEILEr
125,INSH
126,O2tm
127,NADKm
128,FBA3
129,SK_trnatrp_c
130,PSERT
131,CARN1839Z12Z15Zt_m
132,SK_trnapro_c
133,METHFtxc
134,ECOAH12
135,CITL
136,CEPTCnhs
137,P5CDm
138,METSm
139,OCTDPtmt
140,ARTFR210_cho
141,ADPRIBt
142,PIPLC
143,SK_trnaarg_c
144,FAO181p_oddc
145,SK_trnaval_c
146,CITt4_2
147,FAO182p_oddoddc
148,EX_nad_e
149,SK_trnamet_c
150,NADK1
151,HACD4i
152,FBA
153,MTHFD
154,GLBRAN
155,SK_trnaasn_c
156,EX_adprib_e
157,FE3Ri
158,LYSTYRILEr
159,ACACT5r_1
160,AM6SAD
161,GLDBRAN
162,34HPPt2m
163,NH4t
164,MCITLmc
165,H2Ot
166,PSP_L
167,MMSAD1
168,NDH1_3uc
169,ASPTA6
170,r0911
171,LYSLYSLYSt
172,CDPDAGtmnhs
173,TRPO2
174,SK_trnaser_c
175,3HAACOAT60
176,r2034
177,MTHFD2m
178,FPGS7m
179,PRO1xm
180,METS_1
181,EX_lystyrile_e
182,SK_trnaala_c
183,CDSmnhs
184,CDIPTrnhs
185,4HBZFm
186,CO2tmt
187,EX_lyspheile_e
188,R07456
189,TRNFE
190,AMCOXO
191,PCLAD
192,FA80ACPHi
193,T4HCINNMFM
194,PCFLOPmnhs
195,SK_trnaile_c
196,GPDDA4
197,ILEASNHISt
198,LAAL15
199,HIBD
200,AMETt2
