,rxns_added
0,OAAtmt
1,HMR_1077
2,SK_trnapro_c
3,PPCOAtm
4,STRDNCCPT1
5,HMR_3703
6,HMR_3644
7,LPS2enhs
8,SK_trdrd_c
9,SK_trnagln_c
10,SK_trnaasn_c
11,LPEAT_LNA_GLNA_sn2_c
12,FAOXC16OHC16r
13,ETHAPT_OLE_DHA_c
14,HMR_6782
15,LPEAT_LNA_ALNA_sn2_c
16,EX_ptd1ino_e
17,SK_trnatyr_c
18,RBFSa
19,CO2tmt
20,SK_trnaala_c
21,SK_trnathr_c
22,PAPA_LNA_GLNA_c
23,SK_trnaphe_c
24,HMR_2484
25,SK_trnaser_c
26,LPS
27,HMR_0795nhs
28,SK_trnaarg_c
29,OPHBDCm
30,GTPCII
31,r2374
32,3HAACOAT60
33,SK_trnaleu_c
34,ADPHt_h
35,ACOAD5_1
36,SK_trnagly_c
37,PLDAGAT_MYRS_EPA_DHA_PC_5_c
38,MCITLmc
39,PCW3DS_MYRS_EPA_sn2_c
40,HMR_2604
41,CHOPT_OLE_DHA_c
42,r2510
43,QULNS
44,PTD1INOt
45,UDPDOLPT_U
46,ACOADAGAT_DHA_EPA_ARA_c
47,PLDAGAT_PALM_EPA_ARA_PE_13_c
48,DHCR243r
49,LPASEnhs
50,ECOAH3_1c
51,OCTDPtmt
52,PLDPC_LNA_ARA_c
53,SK_trnamet_c
54,COUCOAFm
55,CHSTEROLt2
56,PLA2PC_LNA_STA_c
57,HMR_2862
58,LPS3nhs
59,CRNDCAL2
60,DOLK_U
61,DB4PS
62,FAH3
63,HMR_2861
64,PLDAGAT_DHA_EPA_ARA_PE_13_c
65,PLDAGAT_PALM_EPA_ARA_PC_5_c
66,SK_trnahis_c
67,ACOAR5mc
68,CRNCAR
69,METHFtxc
70,GLCMter
71,ACACT6r_1
72,DHCR71r
73,SMS21enhs
74,ETHAPT_LNA_ALNA_c
75,r2376
76,ASPO6_1
77,RE2649C
78,HMR_2602
79,O2tm
80,HACD3
81,ETHAPT_LNA_GLNA_c
82,AGPATCOA_MYRS_EPA_c
83,UDPGtnic
84,T4HCINNMFM
85,SK_trnacys_c
86,LPCAT_MYRS_MYRS_sn2_c
87,DOLICHOL_Uter
88,PLDPC_MYRS_EPA_c
89,ECOAH5_1
90,MAGtnhs
91,HMR_0770nhs
92,ECOAH5m
93,HMR_2964
94,CHOPT_MYRS_MYRS_c
95,MCITLm
96,PLDPC_LNA_ALNA_c
97,GBA2enhs
98,PLDAGAT_MYRS_EPA_DHA_PE_13_c
99,PPCSCT
100,PLA2PC_OLE_GLNA_c
101,HMR_0410
102,CATm
103,DOLGPP_Uer
104,PCD6DS_OLE_GLNA_sn2_c
105,CRNCAL2
106,RHACOAR100
107,DROPPRy
108,NNDPR
109,FAEL184
110,PLA2_2enhs
111,HACD5i
112,SK_trnatrp_c
113,DAGK_LNA_ARA_c
114,SK_trnaval_c
115,PCD6DS_LNA_GLNA_sn2_c
116,DOLGLCP_Uter
117,OMHPALTD
118,SK_trnaile_c
119,EX_thmmp_e
120,4HBZFm
121,PCD12DS_LNA_LNA_sn1_c
122,4HBZCOAFm
123,SK_trnaasp_c
124,HMR_2472
125,RIBFSc
126,RTOTAL2t
127,G6Pt6er
128,PAPA_LNA_ALNA_c
129,ETHAPT_LNA_ARA_c
130,SK_trnalys_c
131,PHEMEtm
132,SPHMYLN_HsSECtnhs
133,DOLPH_Uer
134,PLDPC_LNA_GLNA_c
135,34HPLtm
136,HMR_2982
137,PLA2PC_MYRS_ARA_c
138,PCD6DS_LNA_STA_sn2_c
139,r2508
140,PLA2PE_HDE_ALNA_c
141,GBAnhs
142,3HAACOAT100
143,HDDACBP
144,r2375
145,THMMPt4_1
146,LPCHOLtnhs
