,rxns_added
0,GPDDA4: g3pg_c + h2o_c --> glyc3p_c + glyc_c + h_c
1,PEPC_h: co2_h + h2o_h + pep_h --> h_h + oaa_h + pi_h
2,SUCOAACTr: ac_c + succoa_c --> accoa_c + succ_c
3,GGTAe2: gthrd_e + h2o_e --> cgly_e + glu__L_e
4,PPDK: atp_c + pi_c + pyr_c --> amp_c + h_c + pep_c + ppi_c
5,GMPt6: gmp_e + h_e --> gmp_c + h_c
6,DHQS: 2dda7p_c --> 3dhq_c + pi_c
7,trna_glu: trnaglu_c <=> 
8,ASPTA6: ala__L_c + oaa_c --> asp__L_c + pyr_c
9,trna_trp: trnatrp_c <=> 
10,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
11,PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c
12,trna_cys: trnacys_c <=> 
13,QMO2: 2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c
14,PYDXO: 2.0 h2o_c + nh4_c + 0.5 o2_c + pydx_c --> 2.0 h2o2_c + pydam_c
15,trna_val: trnaval_c <=> 
16,trna_tyr: trnatyr_c <=> 
17,2OXOADPtim: 2oxoadp_m --> 2oxoadp_c
18,EX_his__L_e: his__L_e <=> 
19,RBK: atp_c + rib__D_c --> adp_c + h_c + r5p_c
20,PDYXPT_c: pydam_c + pyr_c --> ala__L_c + pydx_c
21,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
22,CO2t: co2_e <=> co2_c
23,trna_ala: trnaala_c <=> 
24,ASPth: asp__L_c + h_c --> asp__L_h + h_h
25,GLUS: akg_h + gln__L_h + h_h + nadh_h --> 2.0 glu__L_h + nad_h
26,GLNth: gln__L_c + h_c --> gln__L_h + h_h
27,ANPRT: anth_c + prpp_c --> ppi_c + pran_c
28,ICL: icit_c --> glx_c + succ_c
29,AKO: akg_c + fad_c + h2o_c --> co2_c + fadh2_c + succ_c
30,r2386: h_c + icit_c + succ_m --> h_m + icit_m + succ_c
31,GLUth: glu__L_h + h_h --> glu__L_c + h_c
32,HACNHm: b124tc_m + h2o_m --> hicit_m
33,ICL_1: icit_m --> glx_m + succ_m
34,trna_gln: trnagln_c <=> 
35,trna_asp: trnaasp_c <=> 
36,TRPS1: 3ig3p_c + ser__L_c --> g3p_c + h2o_c + trp__L_c
37,ACSERthi: acser_h --> acser_c
38,trna_asn: trnaasn_c <=> 
39,SAT: accoa_h + ser__L_h --> acser_h + coa_h
40,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
41,CHORM: chor_c --> pphn_c
42,CO2tmt: co2_m <=> co2_c
43,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
44,trna_ser: trnaser_c <=> 
45,ASPK_1: asp__L_h + atp_h --> 4pasp_h + adp_h
46,ACCOAth: accoa_c + coa_h --> accoa_h + coa_c
47,PHSERt_h: phom_h --> phom_c
48,OCDCEAt: ocdcea_e <=> ocdcea_c
49,PRAIi: pran_c --> 2cpr5p_c
50,FORthi: for_h + h_h --> for_c + h_c
51,ACSERL_c: acser_c + seln_c --> ac_c + selcys_c
52,Htu: h_h --> h_u
53,trna_leu: trnaleu_c <=> 
54,trna_lys: trnalys_c <=> 
55,LPLIPAL2G181: 2agpg181_c + h2o_c --> g3pg_c + h_c + ocdcea_c
56,trna_thr: trnathr_c <=> 
57,PSCVT: pep_c + skm5p_c <=> 3psme_c + pi_c
58,PSERT: 3php_c + glu__L_c --> akg_c + pser__L_c
59,PEPPIth: pep_c + pi_h --> pep_h + pi_c
60,IGPS: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
61,trna_ile: trnaile_c <=> 
62,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
63,SHKK: atp_c + skm_c --> adp_c + h_c + skm5p_c
64,PSP_L: h2o_c + pser__L_c --> pi_c + ser__L_c
65,MALSm: accoa_m + glx_m + h2o_m --> coa_m + h_m + mal__L_m
66,trna_met: trnamet_c <=> 
67,ASADH: 4pasp_h + h_h + nadph_h --> aspsa_h + nadp_h + pi_h
68,GMPR: gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c
69,trna_phe: trnaphe_c <=> 
70,HSK_1: atp_h + hom__L_h --> adp_h + h_h + phom_h
71,MCITDm: hcit_m --> b124tc_m + h2o_m
72,THRS: h2o_c + phom_c --> pi_c + thr__L_c
73,MDHh: h_h + nadh_h + oaa_h --> mal__L_h + nad_h
74,trna_arg: trnaarg_c <=> 
75,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
76,HICITDm: hicit_m + nad_m --> h_m + nadh_m + oxag_m
77,PGKh: 13dpg_h + adp_h --> 3pg_h + atp_h
78,OXAGm: h_m + oxag_m --> 2oxoadp_m + co2_m
79,HIStiDF: his__L_e --> his__L_c
80,G3P_pi_thr: g3p_c + pi_h --> g3p_h + pi_c
81,MALS: accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c
82,FTHFLi: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c
83,SACCD1: L2aadp6sa_c + glu__L_c + h_c + nadph_c --> h2o_c + nadp_c + saccrp__L_c
84,AASAD2: L2aadp_c + atp_c + h_c + nadh_c --> L2aadp6sa_c + amp_c + nad_c + ppi_c
85,PFLh: coa_h + pyr_h --> accoa_h + for_h
86,O2tm: o2_c --> o2_m
87,SACCD2: h2o_c + nad_c + saccrp__L_c <=> akg_c + h_c + lys__L_c + nadh_c
88,MDHC_nadp_hr: mal__L_h + nadp_h --> co2_h + nadph_h + pyr_h
89,ANS: chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
90,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
91,trna_gly: trnagly_c <=> 
92,trna_his: trnahis_c <=> 
93,PPNDH: h_c + pphn_c --> co2_c + h2o_c + phpyr_c
94,CYSLY3: cys__L_c + h_c + nadph_c --> ala__L_c + h2s_c + nadp_c
95,AATA: 2oxoadp_c + glu__L_c --> L2aadp_c + akg_c
96,HCITSm: accoa_m + akg_m + h2o_m --> coa_m + h_m + hcit_m
97,PPND2: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c
98,trna_pro: trnapro_c <=> 
99,PGLYDH: 3pg_h + nad_h --> 3php_h + h_h + nadh_h
100,SULO: h2o_c + o2_c + so3_c --> h2o2_c + h_c + so4_c
101,CITt2r: cit_e + h_e <=> cit_c + h_c
102,ATPSu: 3.0 adp_c + 14.0 h_u + 3.0 pi_c --> 3.0 atp_c + 3.0 h2o_c + 11.0 h_c
103,H2Oth: h2o_c --> h2o_h
104,CYSGLYt2ir: cgly_e + h_e --> cgly_c + h_c
105,PIt_h: h_c + pi_c --> h_h + pi_h
