,rxns_added
0,RBFSa: 4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
1,SHK3Dr: 3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
2,DROPPRy: 25dhpp_c + h_c + nadph_c --> 25dthpp_c + nadp_c
3,FAOXC1811603m: 5.0 coa_m + 4.0 fad_m + 5.0 h2o_m + 5.0 nad_m + odecoa_m --> 5.0 accoa_m + 4.0 fadh2_m + 5.0 h_m + 5.0 nadh_m + occoa_m
4,PRAIS: atp_c + fpram_c --> adp_c + air_c + 2.0 h_c + pi_c
5,PROTEIN_BS: 0.6 ala__L_c + 0.377 arg__L_c + 0.2881 asn__L_c + 0.359 asp__L_c + 0.145 cys__L_c + 0.322 gln__L_c + 0.386 glu__L_c + 0.538 gly_c + 0.143 his__L_c + 0.324 ile__L_c + 0.564 leu__L_c + 0.57 lys__L_c + 0.138 met__L_c + 0.219 phe__L_c + 0.313 pro__L_c + 0.43 ser__L_c + 0.386 thr__L_c + 0.044 trp__L_c + 0.182 tyr__L_c + 0.416 val__L_c --> protein_c
6,AMPMS2: air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c
7,PHEMEtm: pheme_m <=> pheme_c
8,GLYCOX1: gly_c + o2_c --> h2o2_c + imgly_c
9,OCTDPtmt: octdp_m <=> octdp_c
10,DB4PS: ru5p__D_c --> db4p_c + for_c + h_c
11,ASPO2: asp__L_c + nad_c --> 2.0 h_c + iasp_c + nadh_c
12,RBFSb_1: 2.0 dmlz_c --> 4r5au_c + h_c + ribflv_c
13,DHQS: 2dda7p_c --> 3dhq_c + pi_c
14,CMPDAi: cmp_c + h2o_c + h_c --> nh4_c + ump_c
15,THISAT: atp_c + h_c + this_c --> athis_c + ppi_c
16,THZT: 2c4mthzep_c --> cthzp_c
17,CO2tmt: co2_m <=> co2_c
18,CYSDES: cys__L_c + iscsh_c --> ala__L_c + h_c + iscssh_c
19,GARFT: 10fthf_c + gar_c --> fgam_c + h_c + thf_c
20,THII: athis_c + iscssh_c + nadph_c --> amp_c + iscsh_c + nadp_c + thissh_c
21,TMPPP_1: 2mahmp_c + cthzp_c + 2.0 h_c --> co2_c + ppi_c + thmmp_c
22,NNDPR: 2.0 h_c + prpp_c + quln_c --> co2_c + nicrnt_c + ppi_c
23,ACCOAtm_1: accoa_c <=> accoa_m
24,PMDPHT: 5aprbu_c + h2o_c --> 4r5au_c + pi_c
25,FAOXC80: 3.0 coa_m + 3.0 fad_m + 3.0 h2o_m + 3.0 nad_m + occoa_m --> 4.0 accoa_m + 3.0 fadh2_m + 3.0 h_m + 3.0 nadh_m
26,PKETF: f6p_c + pi_c --> actp_c + e4p_c + h2o_c
27,4HBZtm: 4hbz_c --> 4hbz_m
28,DXYTST: dxyl5p_c + imgly_c + thissh_c --> 2c4mthzep_c + 2.0 h2o_c + h_c + this_c
29,OPHBDCm: 3ophb_m + h_m --> 2oph_m + co2_m
30,DDPA: e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c
31,r1467: odecoa_c --> odecoa_m
32,GTPCII: gtp_c + 3.0 h2o_c --> 25dhpp_c + for_c + 2.0 h_c + ppi_c
33,QMO2: 2.0 o2_c + q8h2_c --> 2.0 h_c + 2.0 o2s_c + q8_c
34,PPRGL: atp_c + gly_c + pram_c --> adp_c + gar_c + 2.0 h_c + pi_c
35,QULNS_1: dhap_c + iasp_c --> 2.0 h2o_c + h_c + pi_c + quln_c
36,GLUPRT: gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c
37,MI3PP: h2o_c + mi3p__D_c --> inost_c + pi_c
38,PRFGS_1: atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + 2.0 h_c + pi_c
39,TALA: g3p_c + s7p_c --> e4p_c + f6p_c
