,rxns_added
0,PLDAGAT_MYRS_EPA_LNA_PC_4_c
1,AGPATCOA_MYRS_DHA_c
2,EX_ileargile_e
3,SLCBK1
4,3HAO
5,METMETILEr
6,LPLIPAL1A141
7,HMR_2368
8,PLA2PE_MYRS_MYRS_c
9,PSP_L
10,SPHK21c
11,DBRC
12,ILEARGILEt
13,ACOADAGAT_OLE_EPA_DHA_c
14,DMBZIDS
15,PLDPC_STC_ALNA_c
16,CYSLY3
17,HMGLB
18,ARTCOAL1
19,HMR_2472
20,SULO
21,EX_metmetile_e
22,PAPA18111Z1819Z
23,AGPATCOA_HDE_PALM_c
24,LYSLYSLYSt
25,EX_HC00006_e
26,MIP2C226PLC_SC
27,IDL_HSSYNnhs
28,HIBD
29,MALS
30,RHACOAR140
31,ICL
32,SMS21enhs
33,PLIPA2A141
34,C14769td1
35,PCW3DS_OLE_EPA_sn2_c
36,CRMtenhs
37,MIPC126PLC_SC
38,MCITLmc
39,APG3PAT140
40,MIP2C326PLC_SC
41,SACCD1
42,AMCOXO
43,METMETILEt
44,EX_HC00008_e
45,ETHAPT_STC_STC_c
46,EX_lyslyslys_e
47,ARTFR12_cho
48,HMR_0410
49,PHETHPTOX
50,MIP2CS326_SC
51,MEVK2
52,HMR_2611
53,r1579
54,r1953
55,PLA2PC_STC_STC_c
56,DIPEPabc6c
57,AASAD1
58,MMSAD1
59,HMR_2484
60,SACCD2
61,QMO2
62,PPDK
63,PLDPE_STC_ALNA_c
64,PCW3DS_STC_ALNA_sn2_c
65,CLPNH160
66,PLDAGAT_OLE_EPA_DHA_PE_9_c
67,r0786
68,CHOPT_STC_STC_c
69,APH140
70,EX_HC00007_e
71,NADPPPS
72,PLPSD18111Z1819Z
73,PGK_pf
74,DNADDP
75,TTDCPT1
76,GMPt6
77,PGCD
78,PSERT
79,EX_C14769_e
80,GPDDA2
81,HIBHr
82,HISD_c
83,HMR_0795nhs
84,ECOAH3_1c
85,SMPD4nhs
86,EX_hdl_hs_e
87,EX_sphmyln_enhs
88,LYSLYSLYSr
89,MIPCS126_SC
90,AGPATACP_HDE_PALM
91,RE3288C
92,r1457
93,LPEAT_STC_ALNA_sn2_c
94,RTOT2_cho
95,RHACOAR80
96,RTOTAL3FATPc
97,PYDXO
98,HKYNH
99,CERS126
100,IPC226PLC_SC
101,PLDAGAT_LNA_EPA_ARA_PC_6_c
102,AM6SAD
103,TRPO2
104,RTOT_3_cho
105,GMPR
106,SPHPL
107,MIPCS226_SC
108,DHPR
109,FKYNH
110,PEDS18111Z1829Z12Z
111,ETHAPT
112,PLDPE_MYRS_DHA_c
113,LYSTYRILEr
114,SPHMDAcnhs
115,KYN3OX
116,HACD3i
117,EX_lystyrile_e
118,3HAACOAT80
119,EX_idl_enhs
120,ACChex
121,PLD_SC
122,MIP2CS226_SC
123,HMR_0201
124,ATPUP
125,LYSTYRILEt
126,ACOAR3mc
127,PCLAD
128,LPCAT_OLE_EPA_sn2_c
129,PLDAGAT_LNA_EPA_ARA_PC_7_c
130,CITt2r
131,AATA
132,FAEL184_cho
133,ACOADH2
134,LAAL15
135,3HAACOAT140
136,MIPC326PLC_SC
137,UTUP
138,HMR_2380
139,FAO181p_evenc
140,ASPTA6
141,FAEL183_cho
142,HDL_HSSYNnhs
143,LPSenhs
144,MEVK4
145,ILEARGILEr
146,MI1PP
